TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A51051,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51053,50,1.000000,0.517563,1.5,20.00000,48.30326,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51057,50,1.000000,100.0000,1.5,20.00000,0.090767,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51059,50,1.000000,41.35632,1.5,20.00000,0.604503,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51061,50,1.000000,41.88258,1.5,20.00000,0.596907,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51063,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51065,50,1.000000,100.0000,1.5,20.00000,0.130145,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51067,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51069,50,1.000000,100.0000,1.5,20.00000,0.078933,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51071,50,1.000000,96.61962,1.5,20.00000,0.258747,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51073,50,1.000000,81.00150,1.5,20.00000,0.308636,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51075,50,1.000000,24.86992,1.5,20.00000,1.005230,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51077,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51079,50,1.000000,21.37556,1.5,20.00000,1.169560,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51081,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51083,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51085,50,1.000000,79.71788,1.5,20.00000,0.313607,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51087,50,1.000000,100.0000,1.5,20.00000,0.213980,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51089,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51091,50,1.000000,16.80871,1.5,20.00000,1.487322,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51093,50,1.000000,100.0000,1.5,20.00000,0.010000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51095,50,1.000000,64.62024,1.5,20.00000,0.386875,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51097,50,1.000000,100.0000,1.5,20.00000,0.010420,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51099,50,1.000000,39.17199,1.5,20.00000,0.638210,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51101,50,1.000000,100.0000,1.5,20.00000,0.054166,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51103,50,1.000000,59.12611,1.5,20.00000,0.422826,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51105,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51107,50,1.000000,74.49008,1.5,20.00000,0.335616,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51109,50,1.000000,13.59405,1.5,20.00000,1.839039,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51111,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51113,50,1.000000,20.87801,1.5,20.00000,1.197430,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51115,50,1.000000,78.12115,1.5,20.00000,0.320015,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51117,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51119,50,1.000000,100.0000,1.5,20.00000,0.235560,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51121,50,1.000000,81.33337,1.5,20.00000,0.307377,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51125,50,1.000000,89.09100,1.5,20.00000,0.280612,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51127,50,1.000000,68.89128,1.5,20.00000,0.362889,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51131,50,1.000000,65.99783,1.5,20.00000,0.378801,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51133,50,1.000000,53.66168,1.5,20.00000,0.465881,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
