seg,year,month,precip(in),wetno3(lb),wetnh3(lb),dryno3(lb),drynh3(lb),wetorn(lb),wetorp(lb),wetpo4(lb)
A42079,1996,   9,   4.5024,   0.3653,   0.2377,   0.5228,   0.0696,   0.0408,   0.0378,   0.0128
A42079,1996,  10,   5.8581,   0.2461,   0.1562,   0.5017,   0.0601,   0.0531,   0.0491,   0.0166
A42079,1996,  11,   4.9935,   0.2301,   0.2039,   0.4573,   0.0514,   0.0453,   0.0419,   0.0141
A42079,1996,  12,   7.2780,   0.3316,   0.1855,   0.3909,   0.0191,   0.0660,   0.0610,   0.0206
A42079,1997,   1,   2.4811,   0.2028,   0.1056,   0.4732,   0.0239,   0.0225,   0.0208,   0.0070
A42079,1997,   2,   1.4457,   0.1386,   0.0664,   0.4417,   0.0355,   0.0131,   0.0121,   0.0041
A42079,1997,   3,   3.3910,   0.3979,   0.2302,   0.6084,   0.0655,   0.0307,   0.0284,   0.0096
A42079,1997,   4,   1.9293,   0.1865,   0.1489,   0.4764,   0.0702,   0.0350,   0.0324,   0.0109
A42079,1997,   5,   3.2686,   0.2878,   0.2321,   0.5418,   0.0692,   0.0593,   0.0548,   0.0185
A42079,1997,   6,   3.1335,   0.2701,   0.1955,   0.6656,   0.1428,   0.0568,   0.0525,   0.0178
A42079,1997,   7,   2.7991,   0.2550,   0.1486,   0.5504,   0.1445,   0.0254,   0.0235,   0.0079
A42079,1997,   8,   5.9109,   0.4493,   0.2584,   0.5023,   0.0960,   0.0536,   0.0496,   0.0167
A42079,1997,   9,   3.7318,   0.2219,   0.1316,   0.5098,   0.0692,   0.0338,   0.0313,   0.0106
A42079,1997,  10,   1.5125,   0.1087,   0.0683,   0.4892,   0.0598,   0.0137,   0.0127,   0.0043
A42079,1997,  11,   3.4977,   0.2390,   0.1429,   0.4459,   0.0511,   0.0317,   0.0293,   0.0099
A42079,1997,  12,   3.0828,   0.2381,   0.0957,   0.3812,   0.0190,   0.0279,   0.0258,   0.0087
A42079,1998,   1,   4.5232,   0.3021,   0.2034,   0.4611,   0.0238,   0.0410,   0.0379,   0.0128
A42079,1998,   2,   4.6604,   0.1927,   0.0774,   0.4304,   0.0353,   0.0422,   0.0391,   0.0132
A42079,1998,   3,   3.5899,   0.3175,   0.1726,   0.5929,   0.0652,   0.0325,   0.0301,   0.0102
A42079,1998,   4,   6.0239,   0.4682,   0.4434,   0.4642,   0.0699,   0.1092,   0.1010,   0.0341
A42079,1998,   5,   3.6219,   0.2603,   0.2001,   0.5280,   0.0688,   0.0657,   0.0607,   0.0205
A42079,1998,   6,   3.7467,   0.3374,   0.2649,   0.6486,   0.1420,   0.0679,   0.0628,   0.0212
A42079,1998,   7,   2.0413,   0.2146,   0.1503,   0.5363,   0.1437,   0.0185,   0.0171,   0.0058
A42079,1998,   8,   2.7824,   0.2456,   0.1552,   0.4895,   0.0955,   0.0252,   0.0233,   0.0079
A42079,1998,   9,   3.0246,   0.3011,   0.2258,   0.4967,   0.0688,   0.0274,   0.0254,   0.0086
A42079,1998,  10,   3.7424,   0.1832,   0.1306,   0.4767,   0.0595,   0.0339,   0.0314,   0.0106
A42079,1998,  11,   1.5053,   0.1219,   0.0829,   0.4345,   0.0508,   0.0136,   0.0126,   0.0043
