LandSegs,SNH4,INH4,DNH4,BNH4,SNO3,INO3,BNO3,SLON,ILON,DLON,BLON,SRON,IRON,DRON,BRON
 F51740,0.02858,0.73993,0.00137,0.15268,0.01955,5.43946,3.1362,0.00682,0.0358,0.04726,0.08882,0.00358,0.40879,0.49046,0.8944
 A51800,0.3002,0.50938,0.00244,0.16514,0.19528,3.91659,0.94913,0.0181,0.04541,0.02235,0.08519,0.04205,0.20459,0.63099,0.86021
 A51093,0.04042,0.51698,0.00323,0.17898,0.01989,2.72882,6.9939,2e-05,0.07132,0.01872,0.09605,0.00889,0.01831,0.70766,0.81569
 A51700,0.0326,0.70343,0.00135,0.15676,0.02191,5.49514,3.1283,0.00495,0.03026,0.05221,0.08594,0.00256,0.36393,0.50389,0.86375
 F51700,0.03078,0.70557,0.00134,0.15681,0.02159,5.50034,3.12851,0.00479,0.03038,0.05227,0.08595,0.00248,0.364,0.50391,0.86375
 F51810,0.06743,0.87407,0.00124,0.18757,0.0416,4.83754,2.94583,0.00324,0.07154,0.01798,0.08183,0.00374,0.45274,0.4638,0.85233
 F51800,0.02747,0.28004,0.00258,0.1632,0.11379,3.11469,0.43018,0.02075,0.04221,0.01601,0.06749,0.1007,0.19058,0.57885,0.85602
 A51085,0.42555,0.55128,0.00595,0.17474,0.15852,4.48124,2.25226,0.00609,0.04182,0.04153,0.07362,0.03194,0.0316,0.81331,0.87718
 F51085,0.18291,0.55318,0.00609,0.20698,0.11791,3.61299,1.88628,0.00329,0.04437,0.03972,0.11242,0.02553,0.04274,0.81079,0.87654
 B51003,0.0691,0.81528,0.00173,0.16567,0.07031,4.44046,2.76372,0.07283,0.06938,0.04796,0.07498,0.00115,0.63748,0.22918,0.8663
 F51003,0.2242,0.70952,0.00148,0.15796,0.13604,4.55957,2.84388,0.14271,0.03496,0.00943,0.07572,0.00218,0.65888,0.22629,0.8496
 A51125,0.06672,0.79339,0.01023,0.18173,0.07201,4.33783,2.65382,0.00615,0.02226,0.05871,0.07403,0.00852,0.03552,0.79701,0.83967
 B51125,0.05146,0.68143,0.00861,0.1722,0.05546,3.64439,2.38679,0.00563,0.028,0.05469,0.06671,0.00768,0.05068,0.79696,0.85661
