43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EM2_3980_0001,0.15197E+00,0.11200E+00,0.98913E-01,0.89284E-01,0.83196E-01,0.78408E-01,0.74605E-01,0.71948E-01,0.69895E-01,0.68142E-01,0.66608E-01,0.64567E-01,0.62765E-01,0.61388E-01,0.60139E-01,0.59046E-01,0.56953E-01,0.55321E-01,0.53874E-01,0.52619E-01,0.51496E-01,0.50445E-01,0.48803E-01,0.46584E-01,0.44465E-01,0.42455E-01,0.40451E-01,0.38589E-01,0.37834E-01,0.37065E-01,0.36270E-01,0.35420E-01,0.34287E-01,0.33434E-01,0.32349E-01,0.31103E-01,0.29781E-01,0.28247E-01,0.26645E-01,0.24712E-01,0.22297E-01,0.18939E-01,0.91089E-02,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EM2_4100_0001,0.18416E+00,0.14656E+00,0.13022E+00,0.11985E+00,0.11238E+00,0.10618E+00,0.10115E+00,0.97530E-01,0.94486E-01,0.91897E-01,0.89668E-01,0.86226E-01,0.83186E-01,0.80612E-01,0.78492E-01,0.76463E-01,0.72195E-01,0.68526E-01,0.65606E-01,0.62850E-01,0.60465E-01,0.57910E-01,0.54915E-01,0.51888E-01,0.49085E-01,0.46505E-01,0.43819E-01,0.41032E-01,0.39690E-01,0.38081E-01,0.36240E-01,0.34379E-01,0.32425E-01,0.31375E-01,0.30361E-01,0.29343E-01,0.28271E-01,0.27152E-01,0.25881E-01,0.24154E-01,0.22357E-01,0.20472E-01,0.11222E-01,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EU0_3726_0001,0.33792E-01,0.11048E-02,0.55009E-03,0.35513E-03,0.25864E-03,0.20734E-03,0.17145E-03,0.14603E-03,0.12381E-03,0.10907E-03,0.96062E-04,0.78486E-04,0.67410E-04,0.57008E-04,0.50393E-04,0.44340E-04,0.34472E-04,0.26913E-04,0.21408E-04,0.16934E-04,0.13568E-04,0.11375E-04,0.93931E-05,0.75366E-05,0.59424E-05,0.46224E-05,0.34850E-05,0.25776E-05,0.22499E-05,0.19210E-05,0.16106E-05,0.13246E-05,0.10647E-05,0.93631E-06,0.81579E-06,0.70046E-06,0.57602E-06,0.47015E-06,0.35050E-06,0.25183E-06,0.15710E-06,0.64422E-07,0.25829E-08,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EU0_3830_0001,0.20440E+00,0.13208E+00,0.11376E+00,0.10399E+00,0.98912E-01,0.94317E-01,0.91638E-01,0.88937E-01,0.86534E-01,0.84332E-01,0.82904E-01,0.79957E-01,0.77727E-01,0.75710E-01,0.74028E-01,0.72206E-01,0.68131E-01,0.64329E-01,0.61225E-01,0.58431E-01,0.55925E-01,0.53526E-01,0.51270E-01,0.48570E-01,0.45263E-01,0.42444E-01,0.39433E-01,0.36379E-01,0.35195E-01,0.34006E-01,0.32636E-01,0.31303E-01,0.29933E-01,0.29207E-01,0.28426E-01,0.27701E-01,0.26946E-01,0.26100E-01,0.24549E-01,0.22880E-01,0.20454E-01,0.17141E-01,0.83375E-02,
pcnt,   100.000,    99.000,    98.000,    97.000,    96.000,    95.000,    94.000,    93.000,    92.000,    91.000,    90.000,    88.000,    86.000,    84.000,    82.000,    80.000,    75.000,    70.000,    65.000,    60.000,    55.000,    50.000,    45.000,    40.000,    35.000,    30.000,    25.000,    20.000,    18.000,    16.000,    14.000,    12.000,    10.000,     9.000,     8.000,     7.000,     6.000,     5.000,     4.000,     3.000,     2.000,     1.000,     0.000,
EU1_2650_0001,0.76236E+00,0.42414E+00,0.34642E+00,0.31394E+00,0.28696E+00,0.27004E+00,0.25891E+00,0.24926E+00,0.24181E+00,0.23586E+00,0.22977E+00,0.22066E+00,0.21370E+00,0.20841E+00,0.20380E+00,0.20020E+00,0.19222E+00,0.18476E+00,0.17664E+00,0.16899E+00,0.16189E+00,0.15465E+00,0.14754E+00,0.14046E+00,0.13389E+00,0.12742E+00,0.12100E+00,0.11466E+00,0.11202E+00,0.10940E+00,0.10647E+00,0.10360E+00,0.10051E+00,0.99088E-01,0.97033E-01,0.94417E-01,0.91339E-01,0.87565E-01,0.82983E-01,0.77676E-01,0.69366E-01,0.57319E-01,0.00000E+00,
