TABLE->,NIT-CMAX,NIT-SVALPM#1,NIT-SVALPM#1,NIT-SVALPM#1,NIT-SVALPM#2,NIT-SVALPM#2,NIT-SVALPM#2,NIT-SVALPM#3,NIT-SVALPM#3,NIT-SVALPM#3,NIT-SVALPM#4,NIT-SVALPM#4,NIT-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A54027,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A54031,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A54037,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A54057,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A54063,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A54065,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A54071,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A54077,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
A54093,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B24001,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B24021,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B37005,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B37009,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B42001,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B42009,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B42015,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B42027,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B42035,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B42041,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B42043,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B42055,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B42079,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B42081,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B42119,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B42131,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B51003,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B51009,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B51015,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
B51017,5000,1,1,1.5,1,1,1.2,0.7,0.5,1.2,0.3,0.5,1.1
