TABLE->,PHOS-CMAX,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#1,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#2,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#3,PHOS-SVALPM#4,PHOS-SVALPM#4,PHOS-SVALPM#4
VARS->,CMAX,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1,XFIX,K1,N1
A51089,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51091,50,1.000000,16.82031,1.5,20.00000,1.486296,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51093,50,1.000000,100.0000,1.5,20.00000,0.010000,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51095,50,1.000000,64.59743,1.5,20.00000,0.387012,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51097,50,1.000000,100.0000,1.5,20.00000,0.014063,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51099,50,1.000000,39.67676,1.5,20.00000,0.630091,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51101,50,1.000000,100.0000,1.5,20.00000,0.061519,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51103,50,1.000000,59.07381,1.5,20.00000,0.423200,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51105,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51107,50,1.000000,74.86642,1.5,20.00000,0.333929,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51109,50,1.000000,13.99329,1.5,20.00000,1.786569,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51111,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51113,50,1.000000,21.77084,1.5,20.00000,1.148323,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51115,50,1.000000,77.94509,1.5,20.00000,0.320738,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51117,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51119,50,1.000000,100.0000,1.5,20.00000,0.237521,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51121,50,1.000000,81.20351,1.5,20.00000,0.307869,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51125,50,1.000000,88.98388,1.5,20.00000,0.280950,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51127,50,1.000000,68.84869,1.5,20.00000,0.363114,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51131,50,1.000000,65.90355,1.5,20.00000,0.379343,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51133,50,1.000000,53.64403,1.5,20.00000,0.466034,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51135,50,1.000000,2.316647,1.5,20.00000,10.79146,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51137,50,1.000000,33.92519,1.5,20.00000,0.736916,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51139,50,1.000000,0.485657,1.5,20.00000,51.47671,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51141,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51143,50,1,5,1.5,20,5,1.5,100,5,1.5,100,5,1.5
A51145,50,1.000000,16.95921,1.5,20.00000,1.474124,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51147,50,1.000000,18.53385,1.5,20.00000,1.348882,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
A51149,50,1.000000,100.0000,1.5,20.00000,0.067725,1.5,100.0000,5.000000,1.5,100.0000,5.000000,1.5
