landseg,SORGN,UORGN,LROGN,AORGN
F42087,     0.000,    92.543,    13.269,     1.384
A42097,     0.000,   108.374,    21.694,     1.758
A42037,     0.000,    40.408,    18.471,     1.312
A42061,     0.000,    76.860,    22.006,     1.263
A42119,     0.000,   109.241,    14.873,     1.408
B42043,     0.000,   137.477,     9.786,     1.078
A42013,     0.000,    92.834,    24.666,     1.516
A42021,     0.000,    32.741,    23.069,     1.260
B42027,     0.000,    72.069,    30.800,     1.631
B42119,     0.000,   116.627,    15.340,     1.433
A42093,     0.000,    51.723,    13.950,     1.033
B42081,     0.000,    68.850,    24.529,     1.812
A42025,     0.000,    28.442,    18.499,     2.630
A42079,     0.000,    55.970,    25.318,     2.329
F42013,     0.000,    88.137,    22.537,     1.439
F42021,     0.000,    32.581,    22.958,     1.253
A42113,     0.000,    32.160,    22.510,     2.791
B42079,     0.000,    27.458,    18.215,     1.987
B42035,     0.000,    81.891,    27.583,     1.548
A42081,     0.000,    39.459,    20.179,     1.732
F42061,     0.000,    79.583,    25.179,     1.598
A42115,     0.000,    32.939,    25.349,     2.200
A42127,     0.000,    28.854,    25.986,     2.063
A42117,     0.000,    38.211,    25.318,     1.532
F42009,     0.000,    40.873,    14.601,     1.262
B42015,     0.000,    40.360,    22.452,     1.570
B42131,     0.000,    33.248,    20.620,     1.962
A42131,     0.000,    63.169,    26.694,     2.194
A42069,     0.000,    56.841,    31.659,     2.961
F42069,     0.000,    55.885,    30.838,     2.982
A42035,     0.000,    74.931,    28.177,     1.599
A42015,     0.000,    42.910,    22.200,     1.479
A42105,     0.000,    32.499,    22.897,     1.093
A42023,     0.000,   256.024,    17.357,     0.784
A36015,     0.000,    48.586,     7.227,     0.755
A36101,     0.000,    44.555,     8.812,     0.646
F42117,     0.000,    33.500,    20.918,     1.004
A36097,     0.000,    46.554,     8.999,     0.760
A36107,     0.000,    56.136,     8.422,     0.798
A36109,     0.000,    54.102,     8.401,     0.785
A42033,     0.000,    46.533,    26.310,     1.262
F42027,     0.000,    75.941,    28.926,     1.590
A36051,     0.000,    56.383,     9.264,     0.577
A36069,     0.000,    55.540,    13.394,     0.982
A36123,     0.000,    50.001,    11.593,     0.876
F36101,     0.000,    44.668,     8.682,     0.624
A36007,     0.000,    51.098,     9.359,     0.901
A42047,     0.000,    26.503,    22.264,     1.088
A36023,     0.000,    66.198,    11.928,     1.069
A42083,     0.000,    25.271,    22.216,     1.037
A42063,     0.000,    40.231,    22.838,     1.281
A42065,     0.000,    27.856,    18.765,     1.166
F42033,     0.000,    29.873,    22.817,     1.194
A36003,     0.000,    40.957,     7.792,     0.628
F36003,     0.000,    41.400,     8.030,     0.629
A36017,     0.000,    62.474,    10.428,     1.025
A36053,     0.000,    67.975,    11.539,     1.111
F42035,     0.000,    50.692,    20.148,     1.297
F42081,     0.000,    33.527,    18.048,     1.578
A36067,     0.000,    63.848,    10.495,     1.262
F36007,     0.000,    51.867,    10.655,     0.986
F42119,     0.000,   109.048,    13.857,     1.329
A36065,     0.000,    67.762,    11.432,     1.399
A36025,     0.000,    59.605,     9.880,     1.386
A36077,     0.000,    62.922,     9.793,     1.172
F36025,     0.000,    60.769,    10.435,     1.431
A36043,     0.000,    67.534,     9.670,     1.423
F36015,     0.000,    46.998,     7.143,     0.753
A36095,     0.000,    52.959,    10.726,     1.409
F42115,     0.000,    33.849,    19.496,     1.816
F42079,     0.000,    28.794,    15.559,     1.830
F42097,     0.000,   109.447,    18.798,     1.580
end
