TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A37181,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37185,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A37189,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A42001,0.101000,1,0.03,0.3,0,50,420.9855,5,0.5,2,0,550,135.1800,5,1,8,0,300,6.654000,6,0.5,1,0,100,0,0,0,0,na,na
A42009,0.200000,1,0.03,0.3,0,50,488.7795,5,0.5,2,0,550,109.1855,5,1,8,0,300,6.331000,6,0.5,1,0,100,0,0,0,0,na,na
A42011,0.051000,1,0.03,0.3,0,50,407.9540,5,0.5,2,0,550,59.01450,5,1,8,0,300,3.526000,6,0.5,1,0,100,0,0,0,0,na,na
A42013,0.261500,1,0.03,0.3,0,50,271.7670,5,0.5,2,0,550,136.6520,5,1,8,0,300,8.096500,6,0.5,1,0,100,0,0,0,0,na,na
A42015,0.416500,1,0.03,0.3,0,50,304.2655,5,0.5,2,0,550,114.5920,5,1,8,0,300,5.959500,6,0.5,1,0,100,0,0,0,0,na,na
A42021,0.127500,1,0.03,0.3,0,50,528.4565,5,0.5,2,0,550,87.51700,5,1,8,0,300,4.526000,6,0.5,1,0,100,0,0,0,0,na,na
A42023,0.184000,1,0.03,0.3,0,50,524.9075,5,0.5,2,0,550,50.21000,5,1,8,0,300,2.579000,6,0.5,1,0,100,0,0,0,0,na,na
A42025,0.045000,1,0.03,0.3,0,50,387.6705,5,0.5,2,0,550,6.413000,5,1,8,0,300,0.466000,6,0.5,1,0,100,0,0,0,0,na,na
A42027,0.383500,1,0.03,0.3,0,50,84.16850,5,0.5,2,0,550,728.9510,5,1,8,0,300,23.32000,6,0.5,1,0,100,0,0,0,0,na,na
A42029,0.241000,1,0.03,0.3,0,50,141.5885,5,0.5,2,0,550,123.5720,5,1,8,0,300,6.281500,6,0.5,1,0,100,0,0,0,0,na,na
A42033,0.464500,1,0.03,0.3,0,50,271.1225,5,0.5,2,0,550,166.9430,5,1,8,0,300,8.639999,6,0.5,1,0,100,0,0,0,0,na,na
A42035,0.341000,1,0.03,0.3,0,50,154.9905,5,0.5,2,0,550,92.66750,5,1,8,0,300,5.376000,6,0.5,1,0,100,0,0,0,0,na,na
A42037,0.551000,1,0.03,0.3,0,50,211.9580,5,0.5,2,0,550,371.1220,5,1,8,0,300,11.19200,6,0.5,1,0,100,0,0,0,0,na,na
A42041,0.101500,1,0.03,0.3,0,50,364.2085,5,0.5,2,0,550,136.5615,5,1,8,0,300,8.218000,6,0.5,1,0,100,0,0,0,0,na,na
A42043,0.290000,1,0.03,0.3,0,50,315.3385,5,0.5,2,0,550,113.5160,5,1,8,0,300,7.041000,6,0.5,1,0,100,0,0,0,0,na,na
A42047,0.202000,1,0.03,0.3,0,50,413.4355,5,0.5,2,0,550,51.48650,5,1,8,0,300,3.204000,6,0.5,1,0,100,0,0,0,0,na,na
A42055,0.082500,1,0.03,0.3,0,50,331.9115,5,0.5,2,0,550,228.0305,5,1,8,0,300,12.79650,6,0.5,1,0,100,0,0,0,0,na,na
A42057,0.406000,1,0.03,0.3,0,50,173.9350,5,0.5,2,0,550,133.3000,5,1,8,0,300,4.144000,6,0.5,1,0,100,0,0,0,0,na,na
A42061,0.272500,1,0.03,0.3,0,50,274.3690,5,0.5,2,0,550,65.56450,5,1,8,0,300,3.228500,6,0.5,1,0,100,0,0,0,0,na,na
A42063,0.186500,1,0.03,0.3,0,50,446.0400,5,0.5,2,0,550,23.08450,5,1,8,0,300,1.228000,6,0.5,1,0,100,0,0,0,0,na,na
A42065,0.250500,1,0.03,0.3,0,50,434.9155,5,0.5,2,0,550,41.56150,5,1,8,0,300,2.116500,6,0.5,1,0,100,0,0,0,0,na,na
A42067,0.227000,1,0.03,0.3,0,50,344.5110,5,0.5,2,0,550,176.6890,5,1,8,0,300,10.53850,6,0.5,1,0,100,0,0,0,0,na,na
A42069,0.235500,1,0.03,0.3,0,50,123.3175,5,0.5,2,0,550,162.4475,5,1,8,0,300,11.61500,6,0.5,1,0,100,0,0,0,0,na,na
A42071,0.309500,1,0.03,0.3,0,50,43.55400,5,0.5,2,0,550,224.2720,5,1,8,0,300,11.28750,6,0.5,1,0,100,0,0,0,0,na,na
A42075,0.480500,1,0.03,0.3,0,50,47.09700,5,0.5,2,0,550,300.6900,5,1,8,0,300,13.35600,6,0.5,1,0,100,0,0,0,0,na,na
A42079,0.341500,1,0.03,0.3,0,50,158.3725,5,0.5,2,0,550,165.5645,5,1,8,0,300,10.47200,6,0.5,1,0,100,0,0,0,0,na,na
A42081,0.208000,1,0.03,0.3,0,50,339.1855,5,0.5,2,0,550,137.5910,5,1,8,0,300,8.424000,6,0.5,1,0,100,0,0,0,0,na,na
A42083,0.133000,1,0.03,0.3,0,50,518.7791,5,0.5,2,0,550,30.76800,5,1,8,0,300,1.503500,6,0.5,1,0,100,0,0,0,0,na,na
A42087,0.176500,1,0.03,0.3,0,50,381.3480,5,0.5,2,0,550,106.7655,5,1,8,0,300,6.552000,6,0.5,1,0,100,0,0,0,0,na,na
A42093,0.522000,1,0.03,0.3,0,50,169.8920,5,0.5,2,0,550,300.0940,5,1,8,0,300,7.079500,6,0.5,1,0,100,0,0,0,0,na,na
A42097,0.631500,1,0.03,0.3,0,50,75.58100,5,0.5,2,0,550,504.2810,5,1,8,0,300,17.92350,6,0.5,1,0,100,0,0,0,0,na,na
A42099,0.300000,1,0.03,0.3,0,50,344.8335,5,0.5,2,0,550,92.16900,5,1,8,0,300,5.360500,6,0.5,1,0,100,0,0,0,0,na,na
A42105,0.356500,1,0.03,0.3,0,50,412.5640,5,0.5,2,0,550,132.6790,5,1,8,0,300,7.096500,6,0.5,1,0,100,0,0,0,0,na,na
A42107,0.141000,1,0.03,0.3,0,50,403.2115,5,0.5,2,0,550,90.36450,5,1,8,0,300,5.054500,6,0.5,1,0,100,0,0,0,0,na,na
A42109,0.243500,1,0.03,0.3,0,50,281.1720,5,0.5,2,0,550,102.1900,5,1,8,0,300,6.730000,6,0.5,1,0,100,0,0,0,0,na,na
A42111,0.237500,1,0.03,0.3,0,50,592.5290,5,0.5,2,0,550,52.80700,5,1,8,0,300,2.800500,6,0.5,1,0,100,0,0,0,0,na,na
A42113,0.266500,1,0.03,0.3,0,50,380.9925,5,0.5,2,0,550,131.8480,5,1,8,0,300,11.78550,6,0.5,1,0,100,0,0,0,0,na,na
A42115,0.331000,1,0.03,0.3,0,50,442.6590,5,0.5,2,0,550,66.44800,5,1,8,0,300,4.447000,6,0.5,1,0,100,0,0,0,0,na,na
A42117,0.434500,1,0.03,0.3,0,50,205.9785,5,0.5,2,0,550,231.6230,5,1,8,0,300,11.02700,6,0.5,1,0,100,0,0,0,0,na,na
A42119,0.564000,1,0.03,0.3,0,50,339.3600,5,0.5,2,0,550,158.1835,5,1,8,0,300,6.961500,6,0.5,1,0,100,0,0,0,0,na,na
A42127,0.158000,1,0.03,0.3,0,50,606.4265,5,0.5,2,0,550,72.02000,5,1,8,0,300,4.466000,6,0.5,1,0,100,0,0,0,0,na,na
A42131,0.303000,1,0.03,0.3,0,50,229.4635,5,0.5,2,0,550,142.5035,5,1,8,0,300,9.311000,6,0.5,1,0,100,0,0,0,0,na,na
A42133,0.378500,1,0.03,0.3,0,50,148.3845,5,0.5,2,0,550,295.6805,5,1,8,0,300,10.58900,6,0.5,1,0,100,0,0,0,0,na,na
A47091,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A47163,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51001,1.111500,1,0.03,0.3,0,50,250.0835,5,0.5,2,0,550,28.56350,5,1,8,0,300,0.872000,6,0.5,1,0,100,0,0,0,0,na,na
A51003,0.197000,1,0.03,0.3,0,50,321.0485,5,0.5,2,0,550,199.0160,5,1,8,0,300,9.981500,6,0.5,1,0,100,0,0,0,0,na,na
A51005,0.620500,1,0.03,0.3,0,50,444.0775,5,0.5,2,0,550,53.68300,5,1,8,0,300,3.020500,6,0.5,1,0,100,0,0,0,0,na,na
A51007,0.048000,1,0.03,0.3,0,50,143.7695,5,0.5,2,0,550,28.16150,5,1,8,0,300,1.195000,6,0.5,1,0,100,0,0,0,0,na,na
A51009,0.112000,1,0.03,0.3,0,50,247.3180,5,0.5,2,0,550,206.0985,5,1,8,0,300,10.97000,6,0.5,1,0,100,0,0,0,0,na,na
A51011,0.429000,1,0.03,0.3,0,50,74.15250,5,0.5,2,0,550,49.62600,5,1,8,0,300,1.213500,6,0.5,1,0,100,0,0,0,0,na,na
A51013,1.204000,1,0.03,0.3,0,50,336.5720,5,0.5,2,0,550,7.988500,5,1,8,0,300,0.406500,6,0.5,1,0,100,0,0,0,0,na,na
A51015,0.232000,1,0.03,0.3,0,50,25.79300,5,0.5,2,0,550,219.0725,5,1,8,0,300,13.18800,6,0.5,1,0,100,0,0,0,0,na,na
A51017,0.748000,1,0.03,0.3,0,50,176.9085,5,0.5,2,0,550,70.91050,5,1,8,0,300,2.169500,6,0.5,1,0,100,0,0,0,0,na,na
A51019,0.101000,1,0.03,0.3,0,50,311.1620,5,0.5,2,0,550,148.1980,5,1,8,0,300,7.889500,6,0.5,1,0,100,0,0,0,0,na,na
A51021,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51023,0.135000,1,0.03,0.3,0,50,438.5375,5,0.5,2,0,550,67.79050,5,1,8,0,300,3.787500,6,0.5,1,0,100,0,0,0,0,na,na
A51025,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51027,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51029,0.398500,1,0.03,0.3,0,50,100.2715,5,0.5,2,0,550,26.47750,5,1,8,0,300,0.552500,6,0.5,1,0,100,0,0,0,0,na,na
A51031,0.036000,1,0.03,0.3,0,50,45.02400,5,0.5,2,0,550,63.00900,5,1,8,0,300,3.800000,6,0.5,1,0,100,0,0,0,0,na,na
A51033,0.270500,1,0.03,0.3,0,50,101.9160,5,0.5,2,0,550,100.3065,5,1,8,0,300,3.693000,6,0.5,1,0,100,0,0,0,0,na,na
A51035,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
