TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A42035,7.189000,1,0.03,0.3,0,50,536.8515,5,0.5,2,0,550,70.63451,5,1,8,0,300,7.122000,6,0.5,1,0,100,0,0,0,0,na,na
A42037,4.407500,1,0.03,0.3,0,50,486.4465,5,0.5,2,0,550,45.94250,5,1,8,0,300,3.817000,6,0.5,1,0,100,0,0,0,0,na,na
A42041,3.762500,1,0.03,0.3,0,50,470.3970,5,0.5,2,0,550,69.68500,5,1,8,0,300,6.353500,6,0.5,1,0,100,0,0,0,0,na,na
A42043,3.638000,1,0.03,0.3,0,50,458.1205,5,0.5,2,0,550,64.87250,5,1,8,0,300,5.896500,6,0.5,1,0,100,0,0,0,0,na,na
A42047,14.32800,1,0.03,0.3,0,50,563.4240,5,0.5,2,0,550,11.01250,5,1,8,0,300,0.895500,6,0.5,1,0,100,0,0,0,0,na,na
A42055,3.012500,1,0.03,0.3,0,50,211.1905,5,0.5,2,0,550,154.2880,5,1,8,0,300,13.77100,6,0.5,1,0,100,0,0,0,0,na,na
A42057,6.102500,1,0.03,0.3,0,50,389.3700,5,0.5,2,0,550,6.811000,5,1,8,0,300,0.709000,6,0.5,1,0,100,0,0,0,0,na,na
A42061,2.804000,1,0.03,0.3,0,50,523.2715,5,0.5,2,0,550,20.57700,5,1,8,0,300,1.666000,6,0.5,1,0,100,0,0,0,0,na,na
A42063,8.910000,1,0.03,0.3,0,50,503.7025,5,0.5,2,0,550,34.85250,5,1,8,0,300,3.136500,6,0.5,1,0,100,0,0,0,0,na,na
A42065,5.404500,1,0.03,0.3,0,50,483.6710,5,0.5,2,0,550,11.88650,5,1,8,0,300,1.018000,6,0.5,1,0,100,0,0,0,0,na,na
A42067,0.798000,1,0.03,0.3,0,50,274.8495,5,0.5,2,0,550,73.90700,5,1,8,0,300,5.412000,6,0.5,1,0,100,0,0,0,0,na,na
A42069,8.243999,1,0.03,0.3,0,50,548.5170,5,0.5,2,0,550,56.08050,5,1,8,0,300,6.741500,6,0.5,1,0,100,0,0,0,0,na,na
A42071,1.081000,1,0.03,0.3,0,50,187.2940,5,0.5,2,0,550,266.9905,5,1,8,0,300,22.51850,6,0.5,1,0,100,0,0,0,0,na,na
A42075,1.827000,1,0.03,0.3,0,50,76.64050,5,0.5,2,0,550,309.7430,5,1,8,0,300,22.31550,6,0.5,1,0,100,0,0,0,0,na,na
A42079,6.626500,1,0.03,0.3,0,50,433.1515,5,0.5,2,0,550,63.21250,5,1,8,0,300,7.418000,6,0.5,1,0,100,0,0,0,0,na,na
A42081,3.703000,1,0.03,0.3,0,50,449.4800,5,0.5,2,0,550,49.38550,5,1,8,0,300,5.171500,6,0.5,1,0,100,0,0,0,0,na,na
