river,cal5 name  ***
PL0_5000_0001,"CAMERON RUN AT ALEXANDRIA, VA"
PL0_5010_5130,"ACCOTINK CREEK NEAR ANNANDALE, VA"
PL0_5070_0001,"PISCATAWAY CREEK AT PISCATAWAY, MD"
PL0_5141_5140,T. NELSON ELLIOTT DAM
PL0_5490_0001,QUANTICO CR
PL0_5510_0001,GILBERT SWAMP RUN
PL0_5530_5710,CLARK RUN
PL0_5540_5490,"S F QUANTICO CREEK NEAR INDEPENDENT HILL, VA"
PL0_5710_0001,CLARK RUN
PL0_5720_0001,NANJEMOY CR
PL0_5730_5690,"AQUIA CREEK NEAR GARRISONVILLE, VA"
PL0_5750_0001,"ST CLEMENT CREEK NEAR CLEMENTS, MD"
PL0_5830_0001,MCINTOSH RUN
PL1_4460_4780,"ROCK CREEK AT SHERRILL DRIVE WASHINGTON, DC"
PL1_4540_0001,"NORTH EAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD"
PL1_4780_0001,ROCK CR
PL1_5130_0001,ACCOTINK CR
PL1_5230_0001,"MATTAWOMAN CREEK NEAR POMONKEY, MD"
PL1_5370_5470,"CEDAR RUN NEAR CATLETT, VA"
PL1_5690_0001,AQUIA CR
PL1_5910_0001,"ST MARYS RIVER AT GREAT MILLS, MD"
PL2_4945_0000,DC COMBINED SEWER
PL2_4970_5250,BULL RUN
PL2_5140_5360,BROAD RUN
PL2_5300_5630,"ZEKIAH SWAMP RUN NEAR NEWTOWN, MD"
PL2_5470_5360,CEDAR RUN
PL2_5630_0001,ZEKIAH SWAMP RUN
PL3_5250_0001,OCCOQUAN MAIN DAM
PL3_5360_5250,CEDAR RUN
PM0_4640_4820,CABIN JOHN CR
PM1_3120_3400,"BIG PIPE CREEK AT BRUCEVILLE, MD"
PM1_3450_3400,LITTLE PIPE CR
PM1_3510_4000,"CATOCTIN CREEK NEAR MIDDLETOWN, MD"
PM1_3710_4040,LINGAMORE CR
PM1_4000_4290,CATOCTIN CR
PM1_4250_4500,"SENECA CREEK AT DAWSONVILLE, MD"
PM1_4430_4200,"CATOCTIN CREEK AT TAYLORSTOWN, VA"
PM1_4500_4580,SENECA CR
PM2_2860_3040,"MONOCACY RIVER AT BRIDGEPORT, MD"
PM2_3400_3340,BIG PIPE CR
PM2_4860_4670,"GOOSE CREEK NEAR MIDDLEBURG, VA"
PM3_3040_3340,MONOCACY R
PM3_4660_4620,GOOSE CR
PM3_4670_4660,"GOOSE CREEK NEAR LEESBURG, VA"
PM4_3340_3341,MONOCACY R
PM4_3341_4040,MONOCACY R
PM4_4040_0003,"MONOCACY RIVER AT JUG BRIDGE NEAR FREDERICK, MD"
PM4_4040_4410,MONOCACY R
PM7_4150_4290,POTOMAC R
PM7_4200_0003,"POTOMAC RIVER AT POINT OF ROCKS, MD"
PM7_4200_4410,POTOMAC R
PM7_4290_4200,POTOMAC R
PM7_4410_4620,POTOMAC R
PM7_4580_4820,POTOMAC R
PM7_4620_4580,POTOMAC R
PM7_4820_0001,"POTOMAC RIVER NEAR WASH, DC"
PS0_6150_6160,"BLACKS RUN AT RT 726 AT HARRISONBURG, VA"
PS0_6160_6161,BLACKS RUN
PS1_4790_4830,"CEDAR CREEK NEAR WINCHESTER, VA"
PS1_4830_5080,CEDAR CR
PS2_5550_5560,"N F SHENANDOAH RIVER AT COOTES STORE, VA"
PS2_5560_5100,"N F SHENANDOAH RIVER AT MOUNT JACKSON, VA"
PS2_6420_6360,SOUTH R
PS2_6490_6420,"SOUTH RIVER AT HARRISTON, VA"
PS2_6660_6490,"SOUTH RIVER NEAR DOOMS, VA"
PS2_6730_6660,"SOUTH RIVER NEAR WAYNESBORO, VA"
PS3_5100_5080,"N F SHENANDOAH RIVER NEAR STRASBURG, VA"
PS3_5990_6161,DRY R
PS3_6161_6280,"NORTH RIVER NEAR BURKETOWN, VA"
PS3_6280_6230,NORTH R
PS3_6460_6230,"MIDDLE RIVER NEAR GROTTOES, VA"
PS4_5080_4380,SHENANDOAH R  N FK
PS4_5840_5240,"S F SHENANDOAH RIVER NEAR LURAY, VA"
PS4_6230_6360,MIDDLE R
PS4_6360_5840,"S F SHENANDOAH RIVER NEAR LYNNWOOD, VA"
PS5_4370_4150,SHENANDOAH R
PS5_4380_4370,"SHENANDOAH RIVER AT MILLVILLE, WV"
PS5_5200_4380,SHENANDOAH R  S FK
PS5_5240_5200,"S F SHENANDOAH RIVER AT FRONT ROYAL, VA"
PU0_3000_3090,ANTIETAM CR  E BR
PU0_3601_3602,LITTLE CONOCOCHEAGUE CR
PU0_3611_3530,LITTLE TONOLOWAY CR
PU0_3751_3752,MARSH RUN
PU0_3871_3690,FIFTEEN MILE CR
PU0_5620_5380,SOUTH BRANCH POTOMAC
PU0_6080_5620,"SOUTH BRANCH POTOMAC RIVER AT FRANKLIN, WV"
PU1_3030_3440,TONOLOWAY CR
PU1_3100_3690,"SIDELING HILL CREEK NEAR BELLEGROVE, MD"
PU1_3170_3580,EVITTS CR
PU1_3580_3780,EVITTS CR
PU1_3850_4190,"SAVAGE RIVER NEAR BARTON, MD"
PU1_3940_3970,GEORGES CR
PU1_4190_4300,"SAVAGE RIV BL SAVAGE RIV DAM NEAR BLOOMINGTON, MD"
PU1_4300_4440,SAVAGE R
PU1_4760_4450,STONY R
PU1_4840_4760,"STONY RIVER NEAR MOUNT STORM,WV"
PU1_5380_5050,REEDS CR
PU1_5520_5210,SENECA CR
PU1_5820_5380,REEDS CR
PU2_2790_3290,CONOCOCHEAGUE CR
PU2_2840_3080,LICKING CR
PU2_3080_3640,LICKING CR
PU2_3090_4050,"ANTIETAM CREEK NEAR SHARPSBURG, MD"
PU2_3140_3680,WILLS CR
PU2_3180_3370,TOWN CR
PU2_3370_4020,TOWN CR
PU2_3630_3590,SLEEPY CR
PU2_3770_3600,BACK CR
PU2_3900_3750,OPEQUON CR
PU2_4050_4180,ANTIETAM CR
PU2_4160_3930,PATTERSON CR
PU2_4220_3900,"OPEQUON CREEK NEAR MARTINSBURG, WV"
PU2_4340_3860,NORTH R
PU2_4360_4160,"PATTERSON CREEK NEAR HEADSVILLE, WV"
PU2_4720_4750,"NORTH BRANCH POTOMAC RIVER AT STEYER, MD"
PU2_4730_4220,"OPEQUON CREEK NEAR BERRYVILLE, VA"
PU2_4750_4450,POTOMAC R  N BR
PU2_5190_4310,"SO FK SOUTH BRANCH POTOMAC R NR MOOREFIELD, WV"
PU2_5700_5210,POTOMAC R  S BR  N FK
PU2_6050_5190,"SO FK SO BR POTOMAC R AT BRANDYWINE, WV"
PU3_2510_3290,CONOCOCHEAGUE CR  W BR
PU3_3290_3390,"CONOCOCHEAGUE CREEK AT FAIRVIEW, MD"
PU3_3390_3730,CONOCOCHEAGUE CR
PU3_3680_3890,"WILLS CREEK NEAR CUMBERLAND, MD"
PU3_3860_3610,"CACAPON RIVER NEAR GREAT CACAPON, WV"
PU3_4280_3860,LOST R
PU3_4450_4440,BLOOMINGTON/JENNINGS RANDOLPH
PU3_5210_5050,POTOMAC R  S BR  N FK
PU4_3780_3930,POTOMAC R  N BR
PU4_3890_3990,"NORTH BRANCH POTOMAC RIVER NEAR CUMBERLAND, MD"
PU4_3970_3890,POTOMAC R  N BR
PU4_3990_3780,POTOMAC R  N BR
PU4_4210_4170,POTOMAC R  S BR
PU4_4310_4210,"SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV"
PU4_4440_0003,"NORTH BRANCH POTOMAC RIVER AT LUKE, MD"
PU4_4440_3970,POTOMAC R  N BR
PU4_5050_0003,"SO. BRANCH POTOMAC RIVER NR PETERSBURG, WV"
PU4_5050_4310,POTOMAC R  S BR
PU5_3930_4170,POTOMAC R  N BR
PU5_4170_4020,POTOMAC R
PU6_3440_3590,POTOMAC R
PU6_3530_3440,POTOMAC R
PU6_3590_3640,POTOMAC R
PU6_3600_3602,POTOMAC R
PU6_3602_3730,POTOMAC R
PU6_3610_3530,"POTOMAC RIVER AT HANCOCK, MD"
PU6_3640_3600,POTOMAC R
PU6_3690_3610,POTOMAC R
PU6_3730_3750,POTOMAC R
PU6_3750_3752,POTOMAC R
PU6_3752_4080,"POTOMAC RIVER AT SHEPHERDSTOWN, WV"
PU6_3870_3690,POTOMAC R
PU6_4020_3870,"POTOMAC RIVER AT PAW PAW, WV"
PU6_4080_4180,POTOMAC R
PU6_4180_4150,POTOMAC R
RL0_6540_0001,"PISCATAWAY CREEK NEAR TAPPAHANNOCK, VA"
RL1_6180_0001,"CAT POINT CREEK NEAR MONTROSS, VA"
RU2_5220_5640,RAPPAHANNOCK R
RU2_5500_5610,THORNTON R
RU2_5810_5610,HAZEL R
RU2_5940_6200,"ROBINSON RIVER NEAR LOCUST DALE, VA"
RU2_6090_6220,"RAPIDAN RIVER NEAR RUCKERSVILLE, VA"
RU2_6200_6170,ROBINSON R
RU2_6220_6170,RAPIDAN R
RU3_5610_0003,"HAZEL RIVER AT RIXEYVILLE, VA"
RU3_5610_5640,HAZEL R
RU3_6170_6040,"RAPIDAN RIVER NEAR CULPEPER, VA"
RU4_5640_0003,"RAPPAHANNOCK RIVER AT REMINGTON, VA"
RU4_5640_6030,RAPPAHANNOCK R
RU4_6040_6030,RAPIDAN R
RU5_6030_0001,"RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA"
SJ1_2280_2450,BLACKLOG CR
SJ2_1900_1930,CUSH CR
SJ2_2110_2170,E LICKING CR
SJ2_2150_2130,BUFFALO CR
SJ2_2500_2450,AUGHWICK CR
SJ2_2530_2820,"DUNNING CREEK AT BELDEN, PA"
SJ2_2570_2660,YELLOW CR
