TABLE->,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#1,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#2,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#3,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR1#4,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2,NIT-STOR2
VARS->,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,ORGN,AMAD,AMSU,NO3,PLTN,RORGN,IAMSU,INO3,ISLON,ISRON,AGPLTN,LITTRN
A51009,0.004000,1,0.03,0.3,0,50,60.04150,5,0.5,2,0,550,122.6765,5,1,8,0,300,4.498000,6,0.5,1,0,100,0,0,0,0,na,na
A51011,0.004000,1,0.03,0.3,0,50,709.5615,5,0.5,2,0,550,186.2115,5,1,8,0,300,4.112000,6,0.5,1,0,100,0,0,0,0,na,na
A51013,0.002000,1,0.03,0.3,0,50,1461.164,5,0.5,2,0,550,267.9800,5,1,8,0,300,4.385000,6,0.5,1,0,100,0,0,0,0,na,na
A51015,0.004000,1,0.03,0.3,0,50,28.55800,5,0.5,2,0,550,181.0195,5,1,8,0,300,6.064000,6,0.5,1,0,100,0,0,0,0,na,na
A51017,0.,1,0.03,0.3,0,50,806.6730,5,0.5,2,0,550,338.2355,5,1,8,0,300,7.653000,6,0.5,1,0,100,0,0,0,0,na,na
A51019,0.,1,0.03,0.3,0,50,636.4040,5,0.5,2,0,550,280.1565,5,1,8,0,300,5.917000,6,0.5,1,0,100,0,0,0,0,na,na
A51021,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51023,0.001000,1,0.03,0.3,0,50,815.2060,5,0.5,2,0,550,340.5475,5,1,8,0,300,7.398000,6,0.5,1,0,100,0,0,0,0,na,na
A51025,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51027,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51029,0.004000,1,0.03,0.3,0,50,749.5380,5,0.5,2,0,550,126.6835,5,1,8,0,300,3.050000,6,0.5,1,0,100,0,0,0,0,na,na
A51031,0.006000,1,0.03,0.3,0,50,531.1855,5,0.5,2,0,550,172.6590,5,1,8,0,300,3.963500,6,0.5,1,0,100,0,0,0,0,na,na
A51033,0.009000,1,0.03,0.3,0,50,69.13200,5,0.5,2,0,550,190.0250,5,1,8,0,300,4.457500,6,0.5,1,0,100,0,0,0,0,na,na
A51035,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51036,0.015000,1,0.03,0.3,0,50,25.16900,5,0.5,2,0,550,48.04950,5,1,8,0,300,1.991000,6,0.5,1,0,100,0,0,0,0,na,na
A51037,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51041,0.015000,1,0.03,0.3,0,50,26.99700,5,0.5,2,0,550,18.60850,5,1,8,0,300,1.329000,6,0.5,1,0,100,0,0,0,0,na,na
A51043,0.009000,1,0.03,0.3,0,50,56.30150,5,0.5,2,0,550,75.08100,5,1,8,0,300,3.133000,6,0.5,1,0,100,0,0,0,0,na,na
A51045,0.001000,1,0.03,0.3,0,50,342.0540,5,0.5,2,0,550,409.4660,5,1,8,0,300,9.226999,6,0.5,1,0,100,0,0,0,0,na,na
A51047,0.004500,1,0.03,0.3,0,50,330.7995,5,0.5,2,0,550,304.5425,5,1,8,0,300,6.291500,6,0.5,1,0,100,0,0,0,0,na,na
A51049,0.008500,1,0.03,0.3,0,50,248.5685,5,0.5,2,0,550,53.15900,5,1,8,0,300,1.904500,6,0.5,1,0,100,0,0,0,0,na,na
A51051,150,1,0.03,0.3,0,50,500,5,0.5,2,0,550,1200,5,1,8,0,300,800,6,0.5,1,0,100,0,0,0,0,na,na
A51053,0.008500,1,0.03,0.3,0,50,521.2535,5,0.5,2,0,550,66.74100,5,1,8,0,300,1.719000,6,0.5,1,0,100,0,0,0,0,na,na
A51057,0.008000,1,0.03,0.3,0,50,62.15000,5,0.5,2,0,550,332.0385,5,1,8,0,300,6.307500,6,0.5,1,0,100,0,0,0,0,na,na
