 seg,scen,Total,Stream,PS,Sep,Atdep,calscen,Total,Stream,PS,Sep,Atdep
SJ3_2250_2230,p53_1985                 , 0.49406E+08, 0.36133E+08, 0.72941E+07, 0.17500E+07, 0.42291E+07,p53cal                   , 0.49412E+08, 0.34962E+08, 0.88152E+07, 0.17489E+07, 0.38855E+07
PS3_5990_6161,p53_1985                 , 0.68160E+08, 0.61923E+08, 0.25210E+07, 0.62989E+06, 0.30861E+07,p53cal                   , 0.66359E+08, 0.61026E+08, 0.18229E+07, 0.66360E+06, 0.28468E+07
SU3_0810_0970,p53_1985                 , 0.16541E+08, 0.72983E+07, 0.28208E+07, 0.26563E+06, 0.61564E+07,p53cal                   , 0.14648E+08, 0.66266E+07, 0.23328E+07, 0.26984E+06, 0.54187E+07
SW4_1260_1300,p53_1985                 , 0.33094E+08, 0.29700E+08, 0.21736E+06, 0.29427E+06, 0.28825E+07,p53cal                   , 0.29591E+08, 0.26515E+08, 0.23130E+06, 0.29971E+06, 0.25443E+07
SJ2_2530_2820,p53_1985                 , 0.24672E+08, 0.23683E+08, 0.11544E+06, 0.46255E+06, 0.41081E+06,p53cal                   , 0.23365E+08, 0.22358E+08, 0.11578E+06, 0.47612E+06, 0.41523E+06
SU1_0660_0710,p53_1985                 , 0.15728E+08, 0.10212E+08, 0.00000E+00, 0.19935E+06, 0.53160E+07,p53cal                   , 0.13950E+08, 0.89621E+07, 0.57938E+05, 0.21347E+06, 0.47169E+07
PU3_3290_3390,p53_1985                 , 0.91648E+08, 0.89656E+08, 0.37490E+06, 0.22140E+06, 0.13960E+07,p53cal                   , 0.90186E+08, 0.88170E+08, 0.50425E+06, 0.23902E+06, 0.12723E+07
JL4_6520_6710,p53_1985                 , 0.49061E+08, 0.34338E+08, 0.53695E+07, 0.72027E+06, 0.86339E+07,p53cal                   , 0.48774E+08, 0.32590E+08, 0.72806E+07, 0.93554E+06, 0.79673E+07
PS2_6490_6420,p53_1985                 , 0.24748E+08, 0.23760E+08, 0.11555E+06, 0.35424E+06, 0.51840E+06,p53cal                   , 0.25666E+08, 0.23090E+08, 0.17078E+07, 0.37687E+06, 0.49202E+06
SW3_1080_1350,p53_1985                 , 0.13760E+08, 0.13034E+08, 0.00000E+00, 0.10547E+06, 0.62057E+06,p53cal                   , 0.12732E+08, 0.12080E+08, 0.10781E+03, 0.10816E+06, 0.54323E+06
SU2_0990_0950,p53_1985                 , 0.12465E+08, 0.95630E+07, 0.53736E+05, 0.80451E+05, 0.27679E+07,p53cal                   , 0.11210E+08, 0.86175E+07, 0.54268E+05, 0.87016E+05, 0.24515E+07
SW0_1520_1600,p53_1985                 , 0.86530E+07, 0.82047E+07, 0.57849E+03, 0.16179E+06, 0.28599E+06,p53cal                   , 0.83760E+07, 0.78964E+07, 0.64806E+05, 0.16370E+06, 0.25107E+06
SJ3_1980_2060,p53_1985                 , 0.38925E+08, 0.37688E+08, 0.00000E+00, 0.36449E+06, 0.87270E+06,p53cal                   , 0.37657E+08, 0.36468E+08, 0.00000E+00, 0.40567E+06, 0.78316E+06
PU3_3390_3730,p53_1985                 , 0.10600E+09, 0.10011E+09, 0.19091E+07, 0.48397E+06, 0.34957E+07,p53cal                   , 0.10350E+09, 0.97372E+08, 0.24426E+07, 0.51383E+06, 0.31668E+07
PS0_6160_6161,p53_1985                 , 0.16657E+08, 0.16191E+08, 0.85427E+02, 0.35644E+06, 0.10940E+06,p53cal                   , 0.16715E+08, 0.16229E+08, 0.87803E+02, 0.38261E+06, 0.10308E+06
JL2_6850_6890,p53_1985                 , 0.13355E+08, 0.10573E+08, 0.66433E+05, 0.21092E+06, 0.25048E+07,p53cal                   , 0.14171E+08, 0.11540E+08, 0.70494E+05, 0.22857E+06, 0.23317E+07
SW2_1000_1110,p53_1985                 , 0.10456E+08, 0.96484E+07, 0.00000E+00, 0.16271E+06, 0.64516E+06,p53cal                   , 0.93957E+07, 0.86544E+07, 0.39175E+03, 0.16065E+06, 0.58020E+06
PU2_3630_3590,p53_1985                 , 0.17183E+08, 0.15497E+08, 0.41606E+05, 0.30355E+06, 0.13413E+07,p53cal                   , 0.16412E+08, 0.14213E+08, 0.45203E+05, 0.35050E+06, 0.18039E+07
SU3_0970_1120,p53_1985                 , 0.62553E+08, 0.22445E+08, 0.21901E+08, 0.10902E+07, 0.17116E+08,p53cal                   , 0.59649E+08, 0.20799E+08, 0.22627E+08, 0.10887E+07, 0.15134E+08
JL1_7530_7430,p53_1985                 , 0.48208E+07, 0.43948E+07, 0.00000E+00, 0.13943E+06, 0.28658E+06,p53cal                   , 0.46358E+07, 0.42210E+07, 0.00000E+00, 0.14357E+06, 0.27119E+06
SJ3_2230_2060,p53_1985                 , 0.54367E+08, 0.52067E+08, 0.10104E+06, 0.32197E+06, 0.18764E+07,p53cal                   , 0.55176E+08, 0.52835E+08, 0.32419E+06, 0.32234E+06, 0.16942E+07
PS2_6420_6360,p53_1985                 , 0.22084E+08, 0.20891E+08, 0.69510E+06, 0.11922E+06, 0.37882E+06,p53cal                   , 0.22727E+08, 0.21525E+08, 0.70900E+06, 0.13094E+06, 0.36218E+06
SW2_0880_0930,p53_1985                 , 0.63989E+07, 0.62347E+07, 0.54711E+05, 0.40783E+05, 0.68648E+05,p53cal                   , 0.61135E+07, 0.59289E+07, 0.54925E+05, 0.43319E+05, 0.86359E+05
SU2_0780_0710,p53_1985                 , 0.11052E+08, 0.73430E+07, 0.92840E+05, 0.21948E+06, 0.33969E+07,p53cal                   , 0.97990E+07, 0.63892E+07, 0.23824E+06, 0.23070E+06, 0.29409E+07
SJ2_2900_2740,p53_1985                 , 0.21913E+08, 0.16719E+08, 0.12704E+07, 0.39686E+06, 0.35261E+07,p53cal                   , 0.20758E+08, 0.15917E+08, 0.11846E+07, 0.40834E+06, 0.32482E+07
JL4_6710_6740,p53_1985                 , 0.36790E+08, 0.35140E+08, 0.71725E+05, 0.13396E+06, 0.14437E+07,p53cal                   , 0.37194E+08, 0.35592E+08, 0.90160E+05, 0.15633E+06, 0.13555E+07
PU2_3080_3640,p53_1985                 , 0.19489E+08, 0.18517E+08, 0.13600E+05, 0.82362E+05, 0.87569E+06,p53cal                   , 0.18163E+08, 0.17272E+08, 0.14250E+05, 0.84479E+05, 0.79191E+06
SW2_1100_1130,p53_1985                 , 0.78691E+07, 0.78355E+07, 0.00000E+00, 0.28460E+05, 0.51421E+04,p53cal                   , 0.74748E+07, 0.74404E+07, 0.00000E+00, 0.29778E+05, 0.46637E+04
