
ITER 1
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set TSED      = (	-14.7	-27.6	-9.4	-19.5	1.0	46.4	8.4	50.5	168.1 )
set TSSX      = (	-15.1	-27.2	17.4	6.0	19.0	88.8	63.8	52.2	169.5 )

ITER 17
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-39.9	-0.6	45.4	54.9	11.6	27.7	82.4	3.8	91.0 )
set NO23      = (	-35.0	-31.1	22.1	23.3	69.8	40.2	115.9	-9.4	68.0 )
set ORGN      = (	56.0	-30.7	-52.2	-44.4	-41.2	-22.2	-12.4	50.3	-52.3 )
set TOTN      = (	-10.8	-30.1	-25.9	-10.8	-8.0	-0.2	23.1	9.4	28.1 )
set PO4X      = (	-1.8	-24.5	36.5	-6.0	-27.7	18.1	20.9	-6.5	-14.9 )
set PIPX      = (	54.4	-16.9	-69.4	-17.4	312.5	98.1	947.9	-10.1	348.0 )
set ORGP      = (	-40.1	-69.5	-54.7	-66.5	-56.7	-45.7	-56.0	-43.5	-85.2 )
set TOTP      = (	-10.9	-42.1	-41.8	-33.8	-9.2	-3.3	-19.9	-23.2	4.6 )
set TSED      = (	-9.5	-26.2	-8.8	-17.0	1.6	49.5	9.6	52.4	168.3 )
set TSSX      = (	-9.5	-25.8	18.0	9.3	19.6	92.7	65.5	54.0	169.7 )

ITER 18
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-37.1	0.0	52.2	56.0	11.9	27.5	81.7	4.1	90.8 )
set NO23      = (	-34.2	-31.1	22.2	22.8	69.5	40.6	115.6	-9.1	67.9 )
set ORGN      = (	53.0	-30.7	-51.8	-44.4	-40.9	-22.3	-12.2	50.4	-52.4 )
set TOTN      = (	-10.9	-30.1	-25.5	-11.0	-7.8	-0.1	23.1	9.7	28.0 )
set PO4X      = (	29.4	-24.1	35.4	-6.9	-27.4	18.5	20.4	-7.3	-15.0 )
set PIPX      = (	42.5	-17.3	-69.9	-17.2	311.2	99.3	964.5	-8.7	348.4 )
set ORGP      = (	-44.1	-69.4	-54.1	-66.4	-56.3	-45.8	-56.0	-43.4	-85.1 )
set TOTP      = (	-11.8	-42.1	-42.0	-33.8	-8.9	-3.1	-19.6	-22.8	4.7 )
set TSED      = (	-14.4	-26.0	-9.6	-15.4	1.8	52.5	11.0	54.2	168.6 )
set TSSX      = (	-14.7	-25.7	17.1	11.4	20.0	96.5	67.6	55.8	170.1 )

ITER 19
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-39.3	1.1	54.3	53.4	12.1	27.7	81.5	4.4	90.9 )
set NO23      = (	-34.4	-31.1	22.5	23.1	69.7	40.4	115.5	-9.0	68.1 )
set ORGN      = (	56.1	-30.7	-52.0	-44.4	-40.7	-22.3	-12.2	50.4	-52.9 )
set TOTN      = (	-10.4	-30.1	-25.4	-11.0	-7.7	-0.1	23.1	9.8	27.9 )
set PO4X      = (	-1.4	-23.4	37.4	-5.2	-27.3	18.9	19.9	-7.6	-14.9 )
set PIPX      = (	52.7	-17.7	-71.0	-18.0	311.1	100.4	983.6	-7.3	348.6 )
set ORGP      = (	-40.3	-69.3	-54.3	-66.5	-56.1	-45.8	-56.0	-43.6	-85.2 )
set TOTP      = (	-11.4	-42.1	-42.2	-34.0	-8.8	-2.8	-19.3	-22.3	4.7 )
set TSED      = (	-9.8	-25.5	-12.9	-21.7	2.7	55.3	12.9	55.8	168.9 )
set TSSX      = (	-9.8	-25.1	12.8	3.1	21.0	100.2	70.3	57.5	170.3 )

ITER 20
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-36.8	2.7	60.7	55.4	12.3	26.2	81.3	4.6	90.9 )
set NO23      = (	-33.9	-31.1	22.8	23.6	69.1	40.4	115.7	-8.9	68.0 )
set ORGN      = (	53.2	-30.8	-51.9	-44.6	-40.4	-22.3	-12.1	50.5	-53.4 )
set TOTN      = (	-10.7	-30.1	-25.0	-10.8	-7.6	-0.2	23.2	9.8	27.7 )
set PO4X      = (	30.5	-23.4	37.2	-5.1	-26.9	20.1	19.7	-8.2	-14.9 )
set PIPX      = (	40.6	-17.7	-71.3	-17.8	309.8	98.1	997.6	-6.0	348.9 )
set ORGP      = (	-44.1	-69.3	-54.2	-66.8	-55.7	-45.8	-55.9	-43.6	-85.3 )
set TOTP      = (	-12.1	-42.0	-42.4	-34.0	-8.6	-2.9	-19.1	-22.0	4.7 )
set TSED      = (	-16.4	-24.1	-14.3	-16.5	2.8	52.6	14.3	57.5	169.1 )
set TSSX      = (	-16.7	-23.8	11.0	9.9	21.1	96.7	72.4	59.2	170.5 )

ITER 21
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-38.5	4.0	58.2	51.8	12.3	26.8	81.4	4.7	90.9 )
set NO23      = (	-34.0	-31.3	22.9	23.7	69.2	40.5	115.4	-8.6	67.9 )
set ORGN      = (	56.2	-31.0	-52.0	-44.5	-40.2	-22.3	-12.0	50.4	-53.7 )
set TOTN      = (	-10.0	-30.2	-25.2	-10.8	-7.5	-0.2	23.2	10.0	27.5 )
set PO4X      = (	-0.3	-23.8	39.1	-2.7	-26.8	20.1	19.7	-8.3	-14.8 )
set PIPX      = (	53.5	-18.1	-72.7	-19.0	310.1	100.0	1009.8	-4.8	349.1 )
set ORGP      = (	-40.3	-69.2	-54.5	-66.7	-55.5	-45.9	-55.9	-43.8	-85.4 )
set TOTP      = (	-11.0	-42.2	-42.6	-34.4	-8.4	-2.6	-18.9	-21.6	4.7 )
set TSED      = (	-9.9	-23.5	-18.9	-27.5	3.7	55.9	15.7	59.0	169.3 )
set TSSX      = (	-10.0	-23.1	5.1	-4.6	22.2	100.8	74.4	60.6	170.7 )

ITER 22
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-35.3	4.4	64.9	54.4	12.5	25.9	81.3	5.0	90.7 )
set NO23      = (	-33.4	-31.3	23.2	23.6	68.6	40.5	116.0	-8.6	68.1 )
set ORGN      = (	53.3	-31.1	-52.0	-44.5	-40.2	-22.3	-12.0	50.6	-53.7 )
set TOTN      = (	-10.2	-30.3	-24.8	-10.7	-7.6	-0.2	23.3	10.1	27.6 )
set PO4X      = (	29.7	-23.0	38.5	-4.6	-26.6	20.9	19.6	-9.1	-14.9 )
set PIPX      = (	42.3	-18.4	-72.7	-18.8	309.9	98.0	1020.2	-3.6	349.5 )
set ORGP      = (	-44.1	-69.3	-54.4	-66.6	-55.4	-45.8	-55.9	-43.6	-85.2 )
set TOTP      = (	-11.9	-42.2	-42.8	-34.4	-8.3	-2.8	-18.6	-21.2	4.8 )
set TSED      = (	-14.8	-22.9	-18.4	-26.7	4.5	53.5	17.0	60.4	169.5 )
set TSSX      = (	-15.1	-22.6	5.6	-3.5	23.1	97.9	76.2	62.1	170.9 )

ITER 23
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-37.4	5.5	78.1	56.2	12.5	26.5	81.6	5.1	90.9 )
set NO23      = (	-33.6	-31.5	23.6	23.6	68.8	40.6	115.4	-8.6	67.9 )
set ORGN      = (	56.2	-31.3	-52.1	-44.4	-40.1	-22.4	-12.0	50.7	-54.3 )
set TOTN      = (	-9.7	-30.4	-24.3	-10.6	-7.5	-0.2	23.2	10.1	27.3 )
set PO4X      = (	-0.6	-23.4	39.8	-5.7	-26.6	20.8	19.6	-9.1	-14.9 )
set PIPX      = (	53.7	-19.0	-71.5	-18.4	309.5	99.5	1030.7	-2.6	349.7 )
set ORGP      = (	-40.3	-69.3	-54.6	-66.5	-55.2	-45.9	-55.9	-43.7	-85.3 )
set TOTP      = (	-11.0	-42.5	-42.0	-34.3	-8.3	-2.6	-18.4	-20.8	4.8 )
set TSED      = (	-9.2	-22.9	-13.1	-23.4	5.4	56.0	18.2	61.6	169.7 )
set TSSX      = (	-9.3	-22.5	12.5	0.8	24.1	101.0	78.1	63.4	171.1 )

ITER 24
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-34.2	5.9	85.6	57.0	12.7	25.7	81.6	5.2	90.8 )
set NO23      = (	-32.9	-31.6	24.2	23.6	68.4	40.7	115.0	-8.4	67.8 )
set ORGN      = (	53.4	-31.4	-52.1	-44.3	-39.9	-22.4	-12.0	50.7	-54.7 )
set TOTN      = (	-9.8	-30.5	-23.9	-10.6	-7.5	-0.2	23.1	10.3	27.1 )
set PO4X      = (	29.2	-23.0	39.6	-5.9	-26.2	21.5	19.6	-9.4	-14.8 )
set PIPX      = (	41.7	-19.6	-71.1	-18.2	307.9	98.0	1041.1	-1.5	349.9 )
set ORGP      = (	-43.9	-69.3	-54.6	-66.4	-55.0	-45.9	-55.9	-43.7	-85.4 )
set TOTP      = (	-12.0	-42.6	-41.9	-34.1	-8.2	-2.8	-18.3	-20.5	4.8 )
set TSED      = (	-14.0	-22.9	-11.2	-21.1	5.5	54.0	19.4	62.9	169.9 )
set TSSX      = (	-14.4	-22.5	14.9	3.9	24.3	98.5	79.9	64.7	171.3 )

ITER 25
                    SUSQ POTO JAME RAPP APPO PAMU MATT PATU CHOP
set NH3X      = (	-36.7	6.4	90.0	54.4	12.8	26.4	81.4	5.2	90.8 )
set NO23      = (	-33.3	-31.6	24.8	23.7	68.4	40.8	114.8	-8.3	68.0 )
set ORGN      = (	56.1	-31.7	-52.2	-44.5	-39.8	-22.4	-12.0	50.7	-55.0 )
set TOTN      = (	-9.5	-30.6	-23.6	-10.7	-7.4	-0.2	23.0	10.3	27.1 )
set PO4X      = (	0.1	-23.0	41.1	-3.3	-26.2	21.4	19.6	-9.3	-14.8 )
set PIPX      = (	53.5	-20.8	-71.1	-18.8	306.8	99.3	1049.8	-1.1	350.3 )
