river,land,weight***
JB3_6820_7053,A51760, 1.000
JL2_6240_6520,A51003, 0.161
JL2_6240_6520,A51079, 0.534
JL2_6240_6520,B51079, 0.454
JL2_7110_7120,A51029, 0.882
JL1_6560_6440,A51003, 0.331
JL1_6560_6440,B51003, 0.305
JL2_6441_6520,A51003, 0.272
JL2_6441_6520,B51003, 0.498
JL1_7080_7190,A51125, 0.284
JL1_7080_7190,B51125, 1.000
JL1_7080_7190,A51009, 0.167
JL1_7080_7190,B51009, 0.731
JL4_6520_6710,A51003, 0.236
JL4_6520_6710,A51065, 0.525
JL4_6520_6710,A51079, 0.143
JL4_6520_6710,B51079, 0.122
JL4_6520_6710,B51003, 0.197
JL4_6520_6710,A51540, 0.876
JL2_7240_7350,A51009, 0.833
JL2_7240_7350,B51009, 0.269
JU1_7750_7560,A51023, 0.475
JU1_7750_7560,A51161, 1.000
JU2_6410_6640,C51015, 0.462
JU1_7630_7490,A51045, 0.900
JU1_7630_7490,A51071, 1.000
JU3_6640_6790,C51015, 0.281
JU3_6640_6790,A51163, 0.282
JU3_6640_6790,B51017, 0.206
JU1_6300_6650,B51091, 0.708
JU1_6300_6650,A51091, 0.146
JU4_7260_0003,C51015, 0.153
JU4_7260_0003,A51163, 0.468
JU4_7260_0003,B51163, 0.445
JU4_7260_0003,B51017, 0.109
JU4_7260_0003,A51678, 0.753
JU3_6650_7300,B51091, 0.292
JU3_6650_7300,B51017, 0.574
JU3_6380_6900,A51091, 0.235
JU3_6380_6900,A51017, 0.227
JU2_6600_6810,A51091, 0.230
JU2_6600_6810,A51017, 0.240
JU3_6900_6950,A51091, 0.174
JU3_6900_6950,A51017, 0.215
JU3_6950_7330,A51091, 0.101
JU3_6950_7330,A51017, 0.148
JU3_6950_7330,A51005, 0.105
JU3_6950_7330,A51580, 0.148
JU4_7330_0003,A51091, 0.115
JU4_7330_0003,A51017, 0.170
JU4_7330_0003,A51005, 0.344
JU4_7330_0003,A54063, 0.325
JU4_7330_0003,A51580, 0.169
JU4_7000_7300,A51005, 0.328
JU4_7000_7300,A54063, 0.423
JU4_7000_7300,A51580, 0.428
JL6_7160_7440,A51023, 0.138
JL6_7160_7440,A51163, 0.119
JL6_7160_7440,B51163, 0.145
JL6_7160_7440,A51678, 0.117
JL6_7160_7440,A51530, 0.225
JL6_7160_7440,A51121, 0.225
JL6_7160_7440,A51005, 0.106
JL6_7160_7440,A54063, 0.120
JL6_7160_7440,A51580, 0.121
JL6_7160_7440,B51023, 0.225
JL6_7160_7440,A51019, 0.225
JL6_7160_7440,B51019, 0.110
JL6_7430_7320,A51031, 0.322
JL6_7430_7320,A51023, 0.153
JL6_7430_7320,A51163, 0.132
JL6_7430_7320,B51163, 0.161
JL6_7430_7320,A51045, 0.100
JL6_7430_7320,B51017, 0.111
JL6_7430_7320,A51678, 0.130
JL6_7430_7320,A51530, 0.249
JL6_7430_7320,A51121, 0.249
JL6_7430_7320,A51005, 0.117
JL6_7430_7320,A54063, 0.133
JL6_7430_7320,A51580, 0.134
JL6_7430_7320,B51023, 0.249
JL6_7430_7320,A51019, 0.249
JL6_7430_7320,B51019, 0.286
JL6_7430_7320,A51680, 0.322
JL6_6890_6990,A51125, 0.270
JL6_6890_6990,A51031, 0.257
JL6_6890_6990,A51023, 0.122
JL6_6890_6990,B51163, 0.128
JL6_6890_6990,A51530, 0.199
JL6_6890_6990,A51121, 0.199
JL6_6890_6990,B51023, 0.199
JL6_6890_6990,A51019, 0.199
JL6_6890_6990,B51019, 0.228
JL6_6890_6990,A51680, 0.257
JL7_7100_7030,A51065, 0.269
JL7_7100_7030,A51075, 0.194
JL7_7100_7030,A51029, 0.118
JL7_7100_7030,A51049, 0.139
JL7_7100_7030,A51125, 0.253
JL7_7100_7030,A51540, 0.124
JL7_7100_7030,A51031, 0.239
JL7_7100_7030,A51023, 0.114
JL7_7100_7030,B51163, 0.120
JL7_7100_7030,A51530, 0.186
JL7_7100_7030,A51121, 0.186
JL7_7100_7030,B51023, 0.186
JL7_7100_7030,A51019, 0.186
JL7_7100_7030,B51019, 0.213
JL7_7100_7030,A51680, 0.239
JL7_6800_7070,A51065, 0.205
JL7_6800_7070,A51075, 0.632
JL7_6800_7070,A51145, 0.317
JL7_6800_7070,A51049, 0.143
JL7_6800_7070,A51125, 0.193
JL7_6800_7070,A51031, 0.182
JL7_6800_7070,A51530, 0.141
JL7_6800_7070,A51121, 0.141
JL7_6800_7070,B51023, 0.141
JL7_6800_7070,A51019, 0.141
JL7_6800_7070,B51019, 0.162
JL7_6800_7070,A51680, 0.182
WM0_3650_0001,A24005, 0.118
WM0_3650_0001,A24510, 0.398
WM1_3660_3910,A24005, 0.231
WM1_3910_0001,A24005, 0.161
WM1_3910_0001,A24510, 0.602
WM0_3881_3880,A24013, 0.187
WM3_3880_4060,A24013, 0.205
WM3_4060_0001,A24013, 0.172
WM3_4060_0001,A24003, 0.249
WU0_3021_3020,A24005, 0.121
WU0_3021_3020,A24013, 0.132
WU2_3020_3320,A24005, 0.159
WU3_3481_0001,A24005, 0.210
GY0_3800_3801,A24023, 0.158
GY0_4240_3951,A24023, 0.168
GY0_4530_4532,A24023, 0.167
GY0_4532_0003,A54077, 0.629
GY0_3951_3952,A24023, 0.132
GY0_3951_3952,A54077, 0.371
XL0_5320_0001,A24009, 1.000
XL1_4690_0001,A24033, 0.394
XU0_4130_4070,A24031, 0.122
XU0_4130_4070,A24027, 0.214
XU2_4270_0003,A24027, 0.348
XU2_4330_4480,A24027, 0.189
XU3_4650_0001,A24003, 0.751
XU3_4650_0001,A24027, 0.249
end
