  river,land,weight,maxLsegImportance***
PM1_3120_3400,A24013, 0.791, 1.000
PM1_4430_4200,A51107, 0.576, 1.000
PM3_4670_4660,A51061, 0.168, 1.000
PM3_4670_4660,A51107, 0.315, 1.000
PM3_4670_4660,B51061, 0.267, 0.213
EU0_3830_0001,A24035, 1.000, 1.000
PM2_4860_4670,A51061, 0.269, 1.000
PM2_4860_4670,A51107, 0.109, 1.000
PM2_4860_4670,B51061, 0.733, 0.213
PM1_4250_4500,A24031, 0.308, 1.000
PL1_5370_5470,A51061, 0.448, 1.000
PL2_5300_5630,A24017, 0.619, 0.909
PL1_5910_0001,A24037, 0.500, 1.000
PL0_5730_5690,A51179, 1.000, 0.880
PL1_5230_0001,A24033, 0.139, 1.000
PL1_5230_0001,A24017, 0.381, 0.909
PL0_5010_5130,A51059, 0.484, 0.819
PL0_5010_5130,A51600, 1.000, 0.232
PL1_4460_4780,A11001, 0.304, 0.049
PL1_4460_4780,A24031, 0.302, 1.000
PL1_4540_0001,A24033, 0.229, 1.000
PL0_5750_0001,A24037, 0.500, 1.000
PL0_5540_5490,A51153, 1.000, 1.000
PL0_5070_0001,A24033, 0.316, 1.000
PL0_5000_0001,A51510, 1.000, 0.143
PL0_5000_0001,A51059, 0.516, 0.819
PL0_5000_0001,A51610, 1.000, 0.039
PL0_4510_0001,A11001, 0.696, 0.049
PL0_4510_0001,A24031, 0.239, 1.000
OR5_8200_8370,A51031, 0.167, 0.735
OR5_8200_8370,B51019, 0.113, 0.782
OR5_8200_8370,A51083, 0.133, 0.295
OR5_8200_8370,A51067, 0.111, 0.750
OR5_8200_8370,A51770, 0.106, 0.084
OD5_8780_8660,A37033, 1.000, 0.113
OD5_8780_8660,A37145, 1.000, 0.002
OD5_8780_8660,A51089, 0.109, 0.506
OD5_8780_8660,A37157, 0.327, 0.198
OD5_8780_8660,A51590, 0.722, 0.017
OD5_8780_8660,A51690, 0.144, 0.020
OD5_8780_8660,A37067, 0.211, 0.086
OD5_8780_8660,A37169, 0.179, 0.371
OD5_8780_8660,A37081, 0.211, 0.011
MN0_8300_0001,A51800, 1.000, 1.000
MN3_7540_7680,A51149, 0.679, 0.366
MN3_7540_7680,A51730, 0.679, 0.026
MN3_7540_7680,A51181, 0.578, 0.380
MN3_7540_7680,A51183, 0.363, 0.234
OR3_7740_8271,A51023, 0.127, 0.462
OR3_7740_8271,A51161, 0.210, 0.538
OR3_7740_8271,A51121, 0.132, 0.735
OR3_7740_8271,B51161, 0.151, 0.182
OR3_7740_8271,A51770, 0.613, 0.084
OR3_7740_8271,A51775, 0.426, 0.038
OD4_9140_8990,A51141, 0.113, 0.850
OD4_9140_8990,A37157, 0.314, 0.198
OD4_9140_8990,A37067, 0.521, 0.086
OD4_9140_8990,A37169, 0.442, 0.371
OD4_9140_8990,A37171, 0.206, 0.047
OD4_9140_8990,A37081, 0.521, 0.011
OR2_7900_7740,A51161, 0.224, 0.538
OR2_7900_7740,A51121, 0.178, 0.735
OR2_7900_7740,B51161, 0.159, 0.182
OR2_7900_7740,A51770, 0.281, 0.084
OR2_7900_7740,A51775, 0.574, 0.038
OR2_8130_7900,A51161, 0.106, 0.538
OR2_8130_7900,A51121, 0.239, 0.735
OR2_8130_7900,B51161, 0.184, 0.182
OR2_8020_8130,A51121, 0.261, 0.735
OR2_8020_8130,B51161, 0.152, 0.182
OD2_8840_9020,A51141, 0.201, 0.850
OD2_8840_9020,B51141, 0.685, 0.428
OD2_8840_9020,A37169, 0.151, 0.371
OD2_8840_9020,A37171, 0.688, 0.047
OR1_8280_8020,A51121, 0.190, 0.735
OR1_8280_8020,A51063, 0.197, 0.835
OR1_8280_8020,B51161, 0.354, 0.182
OR2_8460_8271,A51143, 0.111, 0.861
OR2_8460_8271,A51067, 0.465, 0.750
OD1_8910_8930,A51141, 0.429, 0.850
OD1_8910_8930,B51141, 0.210, 0.428
EU1_2650_0001,A24015, 1.000, 0.202
EU1_2650_0001,A42029, 1.000, 0.798
OD3_8720_8900,B51141, 0.105, 0.428
OD3_8720_8900,A51089, 0.381, 0.506
OD3_8720_8900,A51690, 0.673, 0.020
OR1_8320_8271,A51067, 0.424, 0.750
OR1_8320_8271,B51067, 1.000, 0.315
OR2_7650_8070,A51019, 0.727, 0.328
OR2_7650_8070,B51019, 0.410, 0.782
MN4_8080_8110,A51149, 0.321, 0.366
MN4_8080_8110,A51730, 0.321, 0.026
MN4_8080_8110,A51181, 0.422, 0.380
MN4_8080_8110,A51093, 1.000, 0.206
MN4_8080_8110,A51175, 0.724, 0.180
MN4_8080_8110,A51183, 0.240, 0.234
OD3_8850_8931,A51141, 0.257, 0.850
OD3_8850_8931,A51089, 0.371, 0.506
OR2_7610_7780,A51019, 0.273, 0.328
OR2_7610_7780,B51019, 0.478, 0.782
OR2_7610_7780,A51515, 1.000, 0.022
MN1_7990_8100,A51037, 0.162, 0.529
MN1_7990_8100,A51111, 0.399, 0.898
GY0_3800_3801,A24023, 0.194, 1.000
OR1_7700_7980,A51011, 0.395, 0.471
OR1_7700_7980,A51037, 0.838, 0.529
GY0_3950_3952,A24023, 0.205, 1.000
OR2_7670_7840,A51011, 0.222, 0.471
OR2_7670_7840,A51031, 0.833, 0.735
OD2_8670_8890,A51143, 0.488, 0.861
MN2_8530_8510,A37131, 1.000, 0.053
MN2_8530_8510,A51025, 0.506, 0.818
MN2_8530_8510,A51081, 0.521, 0.129
OD3_8340_8520,A51083, 0.867, 0.295
OD3_8340_8520,A51143, 0.400, 0.861
GY0_3951_3952,A24023, 0.159, 1.000
GY0_3951_3952,A54077, 0.370, 0.383
MN3_8190_8260,A51111, 0.267, 0.898
MN3_8190_8260,A51025, 0.103, 0.818
MN3_8190_8260,A51117, 0.579, 0.196
MN4_8260_8400,A51111, 0.198, 0.898
MN4_8260_8400,A51025, 0.221, 0.818
MN4_8260_8400,A51117, 0.421, 0.196
MN4_8260_8400,A51595, 1.000, 0.002
NR3_9310_9240,A37009, 0.402, 0.221
NR3_9310_9240,B37009, 0.518, 0.260
NR3_9310_9240,A37189, 0.834, 0.519
NR2_8600_8700,A51197, 0.840, 0.996
JA1_7600_7570,A51007, 0.725, 0.288
JA1_7600_7570,A51135, 0.501, 0.712
NR3_8690_8500,A51035, 0.773, 0.633
NR3_8690_8500,A51063, 0.219, 0.835
NR3_8690_8500,A51155, 0.241, 0.104
NR3_8290_8170,B51071, 0.849, 0.047
NR3_8290_8170,A51021, 0.441, 0.640
NR3_8290_8170,C51071, 0.656, 0.208
NR3_8290_8170,A51155, 0.493, 0.104
NR3_8420_8430,A51063, 0.584, 0.835
NR3_8420_8430,A51155, 0.266, 0.104
JA2_7550_7280,A51147, 0.520, 0.505
JA2_7550_7280,A51011, 0.267, 0.471
JA2_7550_7280,A51029, 0.102, 0.999
JA2_7550_7280,A51049, 0.261, 0.147
JA4_7280_7340,A51145, 0.760, 0.086
JA4_7280_7340,A51007, 0.275, 0.288
JA4_7280_7340,A51147, 0.480, 0.505
JA4_7280_7340,A51011, 0.115, 0.471
JA4_7280_7340,A51049, 0.619, 0.147
NR2_8210_8180,A51185, 0.259, 0.402
NR2_8210_8180,B51071, 0.151, 0.047
NR2_8210_8180,A51021, 0.410, 0.640
NR2_8210_8180,C51071, 0.344, 0.208
MN3_7930_8010,A51135, 0.182, 0.712
MN3_7930_8010,A51053, 0.109, 0.984
MN3_7930_8010,A51025, 0.170, 0.818
MN3_7930_8010,A51081, 0.192, 0.129
MN2_7720_7830,A51053, 0.686, 0.984
MN3_7770_7930,A51135, 0.318, 0.712
MN3_7770_7930,A51111, 0.136, 0.898
end
