TABLE->,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#1,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#2,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#3,PHOS-STOR1#4,PHOS-STOR1#4,PHOS-STOR1#4,PHOS-STOR1#4
VARS->,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP,ORGP,P4AD,P4SU,PLTP
A51770,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51775,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51790,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51800,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51810,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51820,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51830,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A51840,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A54003,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A54023,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A54027,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A54031,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A54037,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A54057,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A54063,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A54065,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A54071,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A54077,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
A54093,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B24001,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B24021,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B37005,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B37009,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B42001,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B42009,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B42015,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B42027,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B42035,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B42041,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B42043,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B42055,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B42079,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B42081,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B42119,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B42131,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51003,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51009,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51015,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51017,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51019,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51023,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51035,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51061,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51067,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51071,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51077,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51079,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51091,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51105,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51113,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51125,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51139,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51141,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51157,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51161,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51163,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51165,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51167,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51169,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51171,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51173,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51185,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51187,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51191,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51195,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B51197,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B54023,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B54031,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B54057,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
B54071,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
C42009,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
C51015,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
C51071,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
C51165,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F10005,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F11001,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24001,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24003,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24005,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24009,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24013,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24015,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24017,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24019,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24021,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24023,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24025,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24027,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24029,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24031,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24033,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24035,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24037,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24039,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24041,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24043,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24045,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F24510,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F36003,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F36007,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F36015,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F36025,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F36101,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
F42001,10,1,0,0,80,20,0,0,150,100,0,0,200,100,0,0
