TABLE->,OX-FLAGS,OX-GENPARM,OX-GENPARM,OX-GENPARM,OX-GENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-CFOREA,OX-REAPARM,OX-REAPARM,OX-REAPARM,OX-REAPARM,OX-INIT,OX-INIT,OX-INIT
VARS->,REAM,KBOD20,TCBOD,KODSET,SUPSAT,BENOD,TCBEN,EXPOD,BRBOD1,BRBOD2,EXPREL,CFOREA,TCGINV,REAK,EXPRED,EXPREV,DOX,BOD,SATDO
OD5_8890_8770,3,0.05,1.047,0.01,1.150000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.500000,-1.673,0.969,14,3,14
OD3_8850_8931,3,0.05,1.047,0.01,1.039516,3.333866,1.047,1.22,0.01,0.01,1,na,1.047,0.050162,-1.673,0.969,14,3,14
OR2_7840_7970,3,0.05,1.047,0.01,1.016537,37.68702,1.047,1.22,0.01,0.01,1,na,1.047,0.063901,-1.673,0.969,14,3,14
OR5_7980_8200,3,0.05,1.047,0.01,1.016537,37.68702,1.047,1.22,0.01,0.01,1,na,1.047,0.063901,-1.673,0.969,14,3,14
OD3_8630_8720,3,0.05,1.047,0.01,1.150000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.500000,-1.673,0.969,14,3,14
OD1_9270_9110,3,0.05,1.047,0.01,1.150000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.500000,-1.673,0.969,14,3,14
OR2_7650_8070,3,0.05,1.047,0.01,1.000000,34.76860,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
OR2_7780_7890,3,0.05,1.047,0.01,1.016537,37.68702,1.047,1.22,0.01,0.01,1,na,1.047,0.063901,-1.673,0.969,14,3,14
OR1_8320_8271,3,0.05,1.047,0.01,1.137066,33.71999,1.047,1.22,0.01,0.01,1,na,1.047,0.223490,-1.673,0.969,14,3,14
OD3_8720_8900,3,0.05,1.047,0.01,1.150000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.500000,-1.673,0.969,14,3,14
OD1_8910_8930,3,0.05,1.047,0.01,1.122234,29.56978,1.047,1.22,0.01,0.01,1,na,1.047,0.215667,-1.673,0.969,14,3,14
OD3_8930_8931,3,0.05,1.047,0.01,1.150000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,0.500000,-1.673,0.969,14,3,14
OR2_8070_8120,3,0.05,1.047,0.01,1.000000,34.76860,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
OR2_8460_8271,3,0.05,1.047,0.01,1.000000,34.76860,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
