TABLE->,HYDR-PARM2,HYDR-PARM2,HYDR-PARM2,HYDR-PARM2,HYDR-PARM2,HYDR-PARM2,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT,HYDR-INIT
SU3_0870_0730,1,6.34,75.44,NA,0.5,NA,228.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0370_0490,1,28.92,249.28,NA,0.5,NA,1543.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0470_0590,1,20.54,154.16,NA,0.5,NA,468.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0440_0550,1,18.21,446.08,NA,0.5,NA,336.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0640_0630,1,25.75,823.28,NA,0.5,NA,520.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0490_0530,1,12.51,78.72,NA,0.5,NA,808.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU1_0330_0560,1,31.4,646.16,NA,0.5,NA,530.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU1_0390_0560,1,21.47,396.88,NA,0.5,NA,297.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU1_0820_0740,1,13.94,577.28,NA,0.5,NA,215.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0510_0570,1,12.81,65.6,NA,0.5,NA,303.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0110_0240,1,31.97,432.96,NA,0.5,NA,715.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU1_0410_0480,1,10.05,396.88,NA,0.5,NA,60.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0560_0590,1,4.68,49.2,NA,0.5,NA,125.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0590_0540,1,2.67,36.08,NA,0.5,NA,112.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0620_0580,1,19.69,885.6,NA,0.5,NA,319.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU1_0840_0831,1,18.42,544.48,NA,0.5,NA,301.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0740_0741,1,24.44,314.88,NA,0.5,NA,823.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0280_0430,1,26.51,675.68,NA,0.5,NA,461.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0120_0260,1,33.3,475.6,NA,0.5,NA,914.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0360_0460,1,4.01,127.92,NA,0.5,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0240_0350,1,10,2,NA,0.5,NA,3462,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0570_0580,1,7.08,19.68,NA,0.5,NA,190.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU4_0580_0630,1,30.77,134.48,NA,0.5,NA,1451.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0920_0830,1,27.64,967.6,NA,0.5,NA,634.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0741_0690,1,10,2,NA,0.5,NA,4283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU1_0200_0270,1,7.73,196.8,NA,0.5,NA,90.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU1_0050_0090,1,23.43,209.92,NA,0.5,NA,277.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0160_0260,1,17.6,472.32,NA,0.5,NA,306.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU4_0630_0650,1,4.95,36.08,NA,0.5,NA,299.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0830_0831,1,5.6,49.2,NA,0.5,NA,143.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0831_0790,1,10,2,NA,0.5,NA,6230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0790_0770,1,3.81,26.24,NA,0.5,NA,194.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU1_0380_0400,1,10.61,492,NA,0.5,NA,89.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU1_0080_0210,1,22.46,583.84,NA,0.5,NA,255.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU4_0260_0350,1,25.33,141.04,NA,0.5,NA,1330.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU4_0350_0420,1,12.35,62.32,NA,0.5,NA,952.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0070_0090,1,19.81,226.32,NA,0.5,NA,379.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0090_0170,1,4.66,22.96,NA,0.5,NA,161.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0770_0690,1,4.38,16.4,NA,0.5,NA,229.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU4_0690_0650,1,9.98,39.36,NA,0.5,NA,807.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU5_0650_0530,1,5.22,6.56,NA,0.5,NA,628.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0170_0270,1,16.39,55.76,NA,0.5,NA,681.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0290_0291,1,20.49,797.04,NA,0.5,NA,316.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU1_0060_0190,1,28.61,344.4,NA,0.5,NA,455.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU4_0270_0430,1,32.03,95.12,NA,0.5,NA,2075.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0210_0300,1,15.89,88.56,NA,0.5,NA,324.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0130_0250,1,16.35,137.76,NA,0.5,NA,292.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU4_0430_0420,1,6.51,6.56,NA,0.5,NA,483.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU5_0530_0610,1,27.54,121.36,NA,0.5,NA,4775.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU5_0610_0600,1,10.74,29.52,NA,0.5,NA,2022.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU5_0420_0500,1,15.7,59.04,NA,0.5,NA,2121.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0291_0320,1,10,2,NA,0.5,NA,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0010_0190,1,39.46,410,NA,0.5,NA,1135.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU5_0600_0750,1,13.65,52.48,NA,0.5,NA,2638.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0190_0300,1,21.75,62.32,NA,0.5,NA,984.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU4_0300_0310,1,9.81,32.8,NA,0.5,NA,601.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0150_0220,1,31.1,751.12,NA,0.5,NA,796.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0100_0230,1,30.43,741.28,NA,0.5,NA,583.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0320_0340,1,4.7,91.84,NA,0.5,NA,84.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0040_0180,1,26.1,354.24,NA,0.5,NA,409.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0020_0140,1,29.6,331.28,NA,0.5,NA,505.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU2_0030_0140,1,10,2,NA,0.5,NA,1950,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0140_0180,1,7.35,26.24,NA,0.5,NA,229.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU3_0180_0230,1,11.78,49.2,NA,0.5,NA,511.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU4_0230_0220,1,3.34,9.84,NA,0.5,NA,182.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU4_0220_0250,1,7.19,42.64,NA,0.5,NA,509.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU4_0250_0340,1,15.66,39.36,NA,0.5,NA,1332.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU5_0340_0310,1,8.55,29.52,NA,0.5,NA,825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU5_0310_0400,1,6.97,9.84,NA,0.5,NA,950.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU5_0400_0460,1,4.32,9.84,NA,0.5,NA,602.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU5_0460_0480,1,7.37,9.84,NA,0.5,NA,1061.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU6_0480_0520,1,43.1,101.68,NA,0.5,NA,7451.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU6_0520_0500,1,10.98,19.68,NA,0.5,NA,1931.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU6_0500_0550,1,12.2,16.4,NA,0.5,NA,3273.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU7_0550_0540,1,14.95,22.96,NA,0.5,NA,4177.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU7_0540_0720,1,20.21,36.08,NA,0.5,NA,6190.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU7_0720_0750,1,5.78,16.4,NA,0.5,NA,1814.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU7_0750_0850,1,12.76,26.24,NA,0.5,NA,5532.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU7_0850_0730,1,4.59,6.56,NA,0.5,NA,2028.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU7_0730_0860,1,20.42,49.2,NA,0.5,NA,9427.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU7_0860_0960,1,20.44,36.08,NA,0.5,NA,9745.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU7_0960_0950,1,3.73,6.56,NA,0.5,NA,1798.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU7_0950_1010,1,12.91,22.96,NA,0.5,NA,6303.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU7_1010_0980,1,2.61,16.4,NA,0.5,NA,1319.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU7_0980_1120,1,21.47,36.08,NA,0.5,NA,11258.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU7_1120_1140,1,9.45,9.84,NA,0.5,NA,5140.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU7_1140_1420,1,31.3,39.36,NA,0.5,NA,17451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU7_1420_1590,1,16.62,29.52,NA,0.5,NA,9443.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU8_1590_1620,1,1.94,1.64,NA,0.5,NA,1134.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU8_1620_1610,1,3.91,3.28,NA,0.5,NA,2312.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SU8_1610_1530,1,6.48,6.56,NA,0.5,NA,3866.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW1_1570_1640,1,28.03,1318.56,NA,0.5,NA,499.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW1_1560_1460,1,28.04,1069.28,NA,0.5,NA,212.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW1_1180_1190,1,9.75,924.96,NA,0.5,NA,55.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW1_1160_1260,1,12.87,708.48,NA,0.5,NA,101.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW2_1190_1410,1,27.88,557.6,NA,0.5,NA,796.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1040_1220,1,21.28,534.64,NA,0.5,NA,539.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW2_1030_1060,1,18.98,698.64,NA,0.5,NA,273.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW2_1070_1060,1,27.47,1062.72,NA,0.5,NA,567.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1250_1340,1,22.65,944.64,NA,0.5,NA,346.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1220_1320,1,19.53,196.8,NA,0.5,NA,695.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1060_1260,1,30.33,380.48,NA,0.5,NA,1426.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW4_1260_1300,1,11.16,121.36,NA,0.5,NA,621.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1080_1350,1,32.59,1144.72,NA,0.5,NA,850.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW0_1520_1600,1,19.6,485.44,NA,0.5,NA,451.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW2_1000_1110,1,20.36,934.8,NA,0.5,NA,415.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW2_0880_0930,1,16.75,695.36,NA,0.5,NA,267.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW2_1100_1130,1,22.2,879.04,NA,0.5,NA,474.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW1_1910_1890,1,9.73,209.92,NA,0.5,NA,89.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW2_1050_0930,1,17.19,777.36,NA,0.5,NA,224.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1600_1580,1,10.73,150.88,NA,0.5,NA,232.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1090_1091,1,29.25,895.44,NA,0.5,NA,809.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW2_1770_1690,1,28.54,642.88,NA,0.5,NA,463.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_0930_1110,1,34.77,465.76,NA,0.5,NA,1673.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW4_1110_1150,1,5.94,59.04,NA,0.5,NA,382.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW1_1890_1830,1,7.24,121.36,NA,0.5,NA,89.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1130_1390,1,10,2,NA,0.5,NA,470,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1920_1750,1,13.88,380.48,NA,0.5,NA,176.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW1_1830_1690,1,5.62,108.24,NA,0.5,NA,107.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW4_1150_1350,1,22.99,183.68,NA,0.5,NA,1761.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW5_1350_1470,1,13.68,78.72,NA,0.5,NA,1272.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1690_1660,1,10,2,NA,0.5,NA,6885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW2_1360_1430,1,46.21,688.8,NA,0.5,NA,2050.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1390_1330,1,4.02,95.12,NA,0.5,NA,132.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1091_1380,1,10,2,NA,0.5,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1660_1580,1,2.27,13.12,NA,0.5,NA,93.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1870_1800,1,56.82,665.84,NA,0.5,NA,2542.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1750_1540,1,40.1,606.8,NA,0.5,NA,1433.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW1_1170_1270,1,16.83,715.04,NA,0.5,NA,223.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW2_1240_1270,1,23.59,678.96,NA,0.5,NA,535.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1380_1490,1,8.23,137.76,NA,0.5,NA,288.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1580_1440,1,10.05,60.68,NA,0.5,NA,716.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW2_1950_1940,1,30.65,469.04,NA,0.5,NA,764.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1800_1650,1,7.68,62.32,NA,0.5,NA,359.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW2_2020_1940,1,33.73,554.32,NA,0.5,NA,685.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1270_1370,1,10.5,124.64,NA,0.5,NA,397.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW3_1370_1430,1,10.33,78.72,NA,0.5,NA,412.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW4_1940_1860,1,4.24,19.68,NA,0.5,NA,168.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW4_1860_1720,1,10,2,NA,0.5,NA,2075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW4_1430_1490,1,4.17,42.64,NA,0.5,NA,299.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW4_1490_1400,1,13.42,82,NA,0.5,NA,1298.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW4_1720_1650,1,13.42,108.24,NA,0.5,NA,752.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW5_1650_1540,1,38.29,232.88,NA,0.5,NA,3914.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW5_1540_1400,1,28.02,173.84,NA,0.5,NA,3757.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW6_1400_1330,1,7.04,19.68,NA,0.5,NA,1392.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW6_1330_1230,1,6.91,22.96,NA,0.5,NA,1479.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW6_1230_1440,1,32.76,100.04,NA,0.5,NA,7666.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW6_1440_1470,1,9.03,14.76,NA,0.5,NA,2457.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW7_1470_1340,1,5.33,6.56,NA,0.5,NA,1732.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW7_1340_1320,1,12.66,13.12,NA,0.5,NA,4213.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW7_1320_1300,1,7.53,13.12,NA,0.5,NA,2619.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW7_1300_1410,1,9.24,19.68,NA,0.5,NA,3453.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW7_1410_1460,1,15.71,29.52,NA,0.5,NA,6120.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW7_1460_1640,1,8.45,9.84,NA,0.5,NA,3336.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ2_2150_2130,1,27.7,518.24,NA,0.5,NA,308.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ2_2110_2170,1,24.84,770.8,NA,0.5,NA,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ2_1900_1930,1,28.16,734.72,NA,0.5,NA,664.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ3_2160_2170,1,43.45,419.84,NA,0.5,NA,1118.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ3_2170_1970,1,1.46,55.76,NA,0.5,NA,45.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ1_2280_2450,1,27.19,596.96,NA,0.5,NA,299.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ3_2040_1980,1,28.92,613.36,NA,0.5,NA,764.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ2_2580_2500,1,37.53,682.24,NA,0.5,NA,932.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ2_2500_2450,1,6,22.96,NA,0.5,NA,156.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ2_2570_2660,1,16.12,478.88,NA,0.5,NA,221.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ3_2450_2120,1,11.6,68.88,NA,0.5,NA,414.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ3_2250_2230,1,35.3,501.84,NA,0.5,NA,1155.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ2_2530_2820,1,30.62,701.92,NA,0.5,NA,663.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ3_1980_2060,1,7.56,101.68,NA,0.5,NA,282.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ3_2230_2060,1,18.47,173.84,NA,0.5,NA,774.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ2_2900_2740,1,33.06,780.64,NA,0.5,NA,681.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ4_2060_2010,1,8.28,62.32,NA,0.5,NA,95000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ4_2010_2210,1,3.55,13.12,NA,0.5,NA,307.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ2_2820_2740,1,4.24,45.92,NA,0.5,NA,102.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ4_2740_2660,1,30.69,226.32,NA,0.5,NA,1851.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ4_2660_2360,1,9.51,59.04,NA,0.5,NA,661.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ4_2360_2340,1,10,2,NA,0.5,NA,95000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ4_2340_2210,1,5.08,13.12,NA,0.5,NA,430.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ5_2210_2320,1,7.28,32.8,NA,0.5,NA,1107.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ5_2320_2120,1,7.18,22.96,NA,0.5,NA,1114.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ5_2120_1930,1,34.88,88.56,NA,0.5,NA,6340.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ6_1930_1970,1,15.81,29.52,NA,0.5,NA,3165.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SJ6_1970_2130,1,20.71,39.36,NA,0.5,NA,4640.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL0_2721_2720,1,17.72,505.12,NA,0.5,NA,158.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL2_2750_2720,1,25.84,564.16,NA,0.5,NA,592.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL2_2410_2700,1,33.96,321.44,NA,0.5,NA,848.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL1_2390_2420,1,23.89,337.84,NA,0.5,NA,276.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL2_2300_2520,1,25.94,439.52,NA,0.5,NA,553.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL1_2190_2350,1,24.03,229.6,NA,0.5,NA,555.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL2_2200_2350,1,27.88,380.48,NA,0.5,NA,646.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL0_2831_2830,1,10,2,NA,0.5,NA,40000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL3_2460_2430,1,75.46,678.96,NA,0.5,NA,4719.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL3_2350_2470,1,8.2,68.88,NA,0.5,NA,356.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL1_2770_2730,1,15.21,282.08,NA,0.5,NA,306.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL0_2180_2220,1,11.12,101.68,NA,0.5,NA,156.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL3_2470_2420,1,6.97,22.96,NA,0.5,NA,310.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL3_2420_2700,1,13.46,68.88,NA,0.5,NA,790.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL3_2400_2440,1,49.57,718.32,NA,0.5,NA,1283.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL1_2830_2760,1,6.83,75.44,NA,0.5,NA,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL1_2760_2730,1,9.65,52.48,NA,0.5,NA,153.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL1_2000_2090,1,23.16,121.36,NA,0.5,NA,325.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL1_2670_2370,1,13.32,711.76,NA,0.5,NA,101.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL3_2730_2550,1,2.3,16.4,NA,0.5,NA,75.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL3_2440_2380,1,3.48,21.32,NA,0.5,NA,113.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL0_2220_2140,1,3.83,16.4,NA,0.5,NA,44.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL2_1850_1990,1,12.24,150.88,NA,0.5,NA,194.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL3_2550_2490,1,14.51,129.56,NA,0.5,NA,566.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL2_2540_2370,1,31.82,685.52,NA,0.5,NA,476.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL3_2290_2260,1,43.44,501.84,NA,0.5,NA,1090.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL2_1990_2070,1,10.66,52.48,NA,0.5,NA,226.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL2_2070_2090,1,6.74,19.68,NA,0.5,NA,159.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL3_1960_2080,1,37.93,411.64,NA,0.5,NA,605.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL4_2370_2330,1,49.79,183.68,NA,0.5,NA,2309.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL4_2330_2270,1,15.32,60.68,NA,0.5,NA,778.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL4_2090_2100,1,8.41,39.36,NA,0.5,NA,301.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SL4_2100_2140,1,5.49,36.08,NA,0.5,NA,205.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
