TABLE->,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM1,IWAT-PARM2,IWAT-PARM2,IWAT-PARM2,IWAT-PARM2,IWAT-PARM3,IWAT-PARM3
VARS->,CSNO,RTOP,VRS,VNN,RTLI,LSUR,SLSUR,NSUR,RETSC,PETMAX,PETMIN
A51740,1,1,0,0,0,537,0.007,0.08,0.1,40,35
A51750,1,1,0,0,0,152,0.232,0.08,0.1,40,35
A51760,1,1,0,0,0,347,0.04,0.08,0.1,40,35
A51770,1,1,0,0,0,276,0.076,0.08,0.1,40,35
A51775,1,1,0,0,0,280,0.073,0.08,0.1,40,35
A51790,1,1,0,0,0,245,0.1,0.08,0.1,40,35
A51800,1,1,0,0,0,456,0.015,0.08,0.1,40,35
A51810,1,1,0,0,0,523,0.008,0.08,0.1,40,35
A51820,1,1,0,0,0,323,0.049,0.08,0.1,40,35
A51830,1,1,0,0,0,386,0.028,0.08,0.1,40,35
A51840,1,1,0,0,0,311,0.055,0.08,0.1,40,35
A54003,1,1,0,0,0,309,0.056,0.08,0.1,40,35
A54023,1,1,0,0,0,226,0.119,0.08,0.1,40,35
A54027,1,1,0,0,0,240,0.105,0.08,0.1,40,35
A54031,1,1,0,0,0,244,0.101,0.08,0.1,40,35
A54037,1,1,0,0,0,306,0.058,0.08,0.1,40,35
A54057,1,1,0,0,0,242,0.103,0.08,0.1,40,35
A54063,1,1,0,0,0,230,0.114,0.08,0.1,40,35
A54065,1,1,0,0,0,234,0.111,0.08,0.1,40,35
A54071,1,1,0,0,0,215,0.131,0.08,0.1,40,35
A54077,1,1,0,0,0,234,0.111,0.08,0.1,40,35
A54093,1,1,0,0,0,218,0.127,0.08,0.1,40,35
B24001,1,1,0,0,0,222,0.123,0.08,0.1,40,35
B24021,1,1,0,0,0,275,0.076,0.08,0.1,40,35
B37005,1,1,0,0,0,264,0.084,0.08,0.1,40,35
B37009,1,1,0,0,0,235,0.109,0.08,0.1,40,35
B42001,1,1,0,0,0,237,0.107,0.08,0.1,40,35
B42009,1,1,0,0,0,255,0.091,0.08,0.1,40,35
B42015,1,1,0,0,0,219,0.126,0.08,0.1,40,35
B42027,1,1,0,0,0,264,0.084,0.08,0.1,40,35
B42035,1,1,0,0,0,273,0.078,0.08,0.1,40,35
B42041,1,1,0,0,0,305,0.058,0.08,0.1,40,35
B42043,1,1,0,0,0,307,0.057,0.08,0.1,40,35
B42055,1,1,0,0,0,276,0.075,0.08,0.1,40,35
B42079,1,1,0,0,0,254,0.092,0.08,0.1,40,35
B42081,1,1,0,0,0,281,0.072,0.08,0.1,40,35
B42119,1,1,0,0,0,308,0.057,0.08,0.1,40,35
B42131,1,1,0,0,0,217,0.128,0.08,0.1,40,35
B51003,1,1,0,0,0,228,0.116,0.08,0.1,40,35
B51009,1,1,0,0,0,167,0.202,0.08,0.1,40,35
B51015,1,1,0,0,0,228,0.116,0.08,0.1,40,35
B51017,1,1,0,0,0,247,0.098,0.08,0.1,40,35
B51019,1,1,0,0,0,260,0.087,0.08,0.1,40,35
B51023,1,1,0,0,0,223,0.122,0.08,0.1,40,35
B51035,1,1,0,0,0,203,0.146,0.08,0.1,40,35
B51061,1,1,0,0,0,245,0.1,0.08,0.1,40,35
B51067,1,1,0,0,0,225,0.12,0.08,0.1,40,35
