specifier,FLOW,HEAT,NH3X,NO23,ORGN,TOTN,PO4X,PIPX,ORGP,TOTP,TSSX,ORGC,TSED,acre
EL0_5262_0000, 0.3290899E+03, 0.4489298E+04, 0.3785861E+03, 0.1918545E+04, 0.9105385E+03, 0.3207669E+04, 0.3978280E+02, 0.3300816E+02, 0.3155897E+02, 0.1043499E+03, 0.4716379E+04, 0.9964582E+04, 0.2358190E+01, 0.2457874E+03
EL0_5284_0000, 0.2037302E+04, 0.2737208E+05, 0.1682106E+04, 0.8447749E+04, 0.5789588E+04, 0.1591944E+05, 0.6550189E+03, 0.2388685E+03, 0.3334005E+03, 0.1227288E+04, 0.3666016E+05, 0.6627718E+05, 0.1833009E+02, 0.1406866E+04
EL0_5285_0000, 0.1984241E+03, 0.2657479E+04, 0.1250114E+03, 0.4849631E+03, 0.2227604E+03, 0.8327350E+03, 0.1633423E+02, 0.2050173E+02, 0.1922163E+02, 0.5605759E+02, 0.2454114E+04, 0.3908305E+04, 0.1227057E+01, 0.1378860E+03
EL0_5282_0000, 0.4787224E+03, 0.6470208E+04, 0.4352449E+03, 0.2451853E+04, 0.1464615E+04, 0.4351713E+04, 0.5658720E+02, 0.5979038E+02, 0.5187107E+02, 0.1682486E+03, 0.4510615E+04, 0.1668777E+05, 0.2255308E+01, 0.3369962E+03
EL0_5764_0000, 0.1041070E+03, 0.1426504E+04, 0.1886119E+03, 0.5195560E+03, 0.2345352E+03, 0.9427031E+03, 0.1298345E+02, 0.1218207E+02, 0.1439619E+02, 0.3956170E+02, 0.6461688E+03, 0.2810829E+04, 0.3230844E+00, 0.7135917E+02
EL0_4598_0000, 0.7543816E+04, 0.1038772E+06, 0.1303365E+05, 0.7970241E+05, 0.4686878E+05, 0.1396049E+06, 0.8509020E+03, 0.9194780E+03, 0.4747014E+03, 0.2245081E+04, 0.1314036E+06, 0.4248529E+06, 0.6570181E+02, 0.5356750E+04
EL2_4634_0000, 0.1424711E+05, 0.1921711E+06, 0.1876858E+05, 0.1351525E+06, 0.5749438E+05, 0.2114155E+06, 0.2555764E+04, 0.1872872E+04, 0.1583559E+04, 0.6012195E+04, 0.2124307E+06, 0.5357624E+06, 0.1062153E+03, 0.9685587E+04
EL0_5765_0000, 0.1277404E+04, 0.1781749E+05, 0.1371350E+04, 0.6726086E+04, 0.5231469E+04, 0.1332890E+05, 0.1583949E+03, 0.1990444E+03, 0.1372122E+03, 0.4946516E+03, 0.3487315E+05, 0.5784074E+05, 0.1743657E+02, 0.1020266E+04
EL0_5894_0000, 0.1414257E+04, 0.1941545E+05, 0.1352762E+04, 0.1252518E+05, 0.5001475E+04, 0.1887942E+05, 0.2134792E+03, 0.2639608E+03, 0.1920670E+03, 0.6695070E+03, 0.3510568E+05, 0.6381350E+05, 0.1755284E+02, 0.1057817E+04
EL0_6010_0000, 0.3467384E+04, 0.4934876E+05, 0.1802544E+04, 0.7568822E+04, 0.4915293E+04, 0.1428666E+05, 0.3886635E+03, 0.3790230E+03, 0.3325974E+03, 0.1100284E+04, 0.4814967E+05, 0.7282518E+05, 0.2407484E+02, 0.3068676E+04
EL0_6004_0000, 0.1514847E+02, 0.2169099E+03, 0.1161859E+02, 0.3700747E+02, 0.1862319E+02, 0.6724924E+02, 0.2256343E+01, 0.1956052E+01, 0.2280847E+01, 0.6493242E+01, 0.6812631E+03, 0.3031701E+03, 0.3406315E+00, 0.1344385E+02
EL3_5970_0000, 0.1575873E+05, 0.2218212E+06, 0.2136692E+05, 0.8193059E+05, 0.5278161E+05, 0.1560791E+06, 0.7979196E+04, 0.3558410E+04, 0.3255504E+04, 0.1479311E+05, 0.6554846E+06, 0.6786475E+06, 0.3277422E+03, 0.1128434E+05
EL0_5973_0000, 0.9374133E+04, 0.1376760E+06, 0.7092755E+04, 0.5910448E+05, 0.2133592E+05, 0.8753316E+05, 0.2954573E+04, 0.3443887E+04, 0.9536187E+03, 0.7352081E+04, 0.1928443E+06, 0.3660120E+06, 0.9642213E+02, 0.8029689E+04
EL0_6191_0000, 0.8564276E+04, 0.1251029E+06, 0.9557369E+04, 0.6809102E+05, 0.2420976E+05, 0.1018581E+06, 0.3013422E+04, 0.3098824E+04, 0.1204497E+04, 0.7316743E+04, 0.2276802E+06, 0.3646308E+06, 0.1138401E+03, 0.7067924E+04
EL0_5896_0000, 0.4297516E+03, 0.6230056E+04, 0.2116277E+04, 0.4585584E+04, 0.1597068E+04, 0.8298928E+04, 0.4323089E+03, 0.5918762E+02, 0.2014137E+03, 0.6929102E+03, 0.6048951E+04, 0.1908885E+05, 0.3024475E+01, 0.2496841E+03
EL0_6190_0000, 0.3950032E+05, 0.5830087E+06, 0.6452838E+05, 0.3929051E+06, 0.1212621E+06, 0.5786957E+06, 0.2661022E+05, 0.1071996E+05, 0.1025846E+05, 0.4758863E+05, 0.9072918E+06, 0.1589179E+07, 0.4536459E+03, 0.3246736E+05
EL0_5890_0000, 0.1297689E+04, 0.1842976E+05, 0.2893759E+04, 0.2668124E+04, 0.1702130E+04, 0.7264013E+04, 0.3581866E+03, 0.7016987E+02, 0.1940544E+03, 0.6224108E+03, 0.2104597E+05, 0.2087639E+05, 0.1052299E+02, 0.1079251E+04
EL0_5895_0000, 0.7680128E+02, 0.1149346E+04, 0.1375346E+03, 0.3154074E+03, 0.7590449E+02, 0.5288464E+03, 0.7402578E+01, 0.2183262E+01, 0.1838369E+02, 0.2796953E+02, 0.1496682E+03, 0.8907117E+03, 0.7483407E-01, 0.7325387E+02
EL0_5766_0000, 0.2147664E+02, 0.2960942E+03, 0.2873713E+02, 0.5922994E+02, 0.2154167E+02, 0.1095087E+03, 0.2211956E+01, 0.1874471E+01, 0.4070615E+01, 0.8157042E+01, 0.3537554E+03, 0.2858320E+03, 0.1768777E+00, 0.1637975E+02
EL0_4597_0000, 0.1397878E+05, 0.1959922E+06, 0.1371136E+05, 0.9118577E+05, 0.4722165E+05, 0.1521187E+06, 0.2277423E+04, 0.1620303E+04, 0.8753185E+03, 0.4773045E+04, 0.2741114E+06, 0.4691650E+06, 0.1370557E+03, 0.1007341E+05
EL3_5974_0000, 0.1171743E+05, 0.1650797E+06, 0.8095251E+04, 0.4951048E+05, 0.2695462E+05, 0.8456034E+05, 0.2800978E+04, 0.3147600E+04, 0.1564225E+04, 0.7512805E+04, 0.3752415E+06, 0.4621614E+06, 0.1876207E+03, 0.9768808E+04
EL3_5971_0000, 0.1447923E+05, 0.2047808E+06, 0.1213573E+05, 0.8696788E+05, 0.4297118E+05, 0.1420748E+06, 0.3781646E+04, 0.4204568E+04, 0.1838723E+04, 0.9824936E+04, 0.6471158E+06, 0.6411991E+06, 0.3235579E+03, 0.1193265E+05
EM0_5263_0000, 0.4519869E+02, 0.6245471E+03, 0.7998739E+03, 0.1352104E+04, 0.1241280E+03, 0.2276106E+04, 0.3038341E+02, 0.2254807E+01, 0.8661940E+02, 0.1192576E+03, 0.1532391E+04, 0.4968894E+03, 0.7661954E+00, 0.3515124E+02
EM0_5260_0000, 0.8408034E+04, 0.1141197E+06, 0.8269343E+04, 0.4788874E+05, 0.2528691E+05, 0.8144498E+05, 0.1253416E+04, 0.1266734E+04, 0.6951191E+03, 0.3215269E+04, 0.1510426E+06, 0.3101260E+06, 0.7552127E+02, 0.6098157E+04
EU0_3130_0000, 0.7580810E+04, 0.1063963E+06, 0.6934798E+04, 0.4711638E+05, 0.2014893E+05, 0.7420011E+05, 0.1845628E+04, 0.9659193E+03, 0.6858884E+03, 0.3497436E+04, 0.1034616E+07, 0.2958247E+06, 0.5173082E+03, 0.5350843E+04
EU0_3302_0000, 0.2436430E+04, 0.3477171E+05, 0.1097897E+04, 0.5737399E+04, 0.3802506E+04, 0.1063780E+05, 0.1062876E+03, 0.7628331E+02, 0.5793819E+02, 0.2405091E+03, 0.1226420E+06, 0.5234466E+05, 0.6132103E+02, 0.1872152E+04
WU0_3163_0000, 0.3642274E+04, 0.5197598E+05, 0.5160576E+03, 0.2354134E+04, 0.2639841E+04, 0.5510033E+04, 0.1404806E+03, 0.6562256E+02, 0.1111631E+03, 0.3172663E+03, 0.1397566E+05, 0.4598630E+05, 0.6987832E+01, 0.2553573E+04
WU0_3164_0000, 0.6760195E+04, 0.9614095E+05, 0.1292675E+04, 0.6204354E+04, 0.8062358E+04, 0.1555939E+05, 0.2993100E+03, 0.1470352E+03, 0.2129974E+03, 0.6593425E+03, 0.3976834E+05, 0.1144411E+06, 0.1988417E+02, 0.4696677E+04
WU0_3252_0000, 0.1763866E+05, 0.2924206E+06, 0.2705154E+06, 0.1814735E+06, 0.7441362E+05, 0.5264026E+06, 0.2041987E+05, 0.3992006E+03, 0.9472453E+04, 0.3029153E+05, 0.5124422E+06, 0.5067753E+06, 0.2562211E+03, 0.4047792E+04
WU0_3255_0000, 0.1368249E+04, 0.1921057E+05, 0.4681745E+03, 0.1182531E+04, 0.2232485E+04, 0.3883190E+04, 0.6266203E+02, 0.3882344E+02, 0.4671368E+02, 0.1481991E+03, 0.2547864E+05, 0.2819467E+05, 0.1273932E+02, 0.9208360E+03
WU0_3254_0000, 0.4159223E+04, 0.5493707E+05, 0.3106078E+04, 0.6778860E+04, 0.8840091E+04, 0.1872503E+05, 0.5896662E+03, 0.3981631E+03, 0.2706998E+03, 0.1258529E+04, 0.4313700E+06, 0.1468261E+06, 0.2156850E+03, 0.2440658E+04
WU0_3541_0000, 0.1861923E+04, 0.2393133E+05, 0.2727964E+04, 0.1779350E+05, 0.6685745E+04, 0.2720721E+05, 0.5228576E+04, 0.2668086E+03, 0.2141890E+04, 0.7637274E+04, 0.5788911E+05, 0.9511814E+05, 0.2894455E+02, 0.1123477E+04
WU0_3542_0000, 0.9456853E+02, 0.1273110E+04, 0.7554934E+02, 0.2351850E+03, 0.1504377E+03, 0.4611721E+03, 0.1255509E+02, 0.7757174E+01, 0.8403416E+01, 0.2871568E+02, 0.1750751E+04, 0.2555723E+04, 0.8753757E+00, 0.7151105E+02
WU0_3540_0000, 0.1721077E+05, 0.2304866E+06, 0.1051850E+05, 0.4250565E+05, 0.3554536E+05, 0.8856951E+05, 0.2136457E+04, 0.1560556E+04, 0.9017802E+03, 0.4598793E+04, 0.9150971E+06, 0.5667595E+06, 0.4575486E+03, 0.1101698E+05
WU0_3821_0000, 0.7912800E+03, 0.1053123E+05, 0.4230259E+03, 0.4473204E+04, 0.1272655E+04, 0.6168885E+04, 0.1338648E+03, 0.9125209E+02, 0.5240462E+02, 0.2775215E+03, 0.4032341E+05, 0.2461788E+05, 0.2016171E+02, 0.5670098E+03
WM0_3742_0000, 0.1415293E+06, 0.2457520E+07, 0.9094987E+06, 0.1997256E+07, 0.9224592E+06, 0.3829214E+07, 0.5163816E+05, 0.1939585E+04, 0.7426532E+05, 0.1278431E+06, 0.2676853E+07, 0.5761047E+07, 0.1338426E+04, 0.7469005E+04
WM0_3744_0000, 0.1637840E+04, 0.2211463E+05, 0.3618362E+05, 0.2296577E+04, 0.7959125E+04, 0.4643933E+05, 0.5016943E+02, 0.4675069E+02, 0.7261069E+03, 0.8230270E+03, 0.1798720E+06, 0.5831247E+05, 0.8993601E+02, 0.1483810E+03
WM0_3965_0000, 0.1117466E+04, 0.1504134E+05, 0.1212847E+04, 0.4526452E+04, 0.5525882E+04, 0.1126518E+05, 0.2191084E+03, 0.1370970E+03, 0.8594014E+02, 0.4421456E+03, 0.2483621E+05, 0.6454614E+05, 0.1241811E+02, 0.7959042E+03
WM0_3966_0000, 0.2064405E+03, 0.2506131E+04, 0.4092397E+03, 0.2252356E+04, 0.1270080E+04, 0.3931676E+04, 0.1569950E+02, 0.2333187E+02, 0.1491342E+02, 0.5394478E+02, 0.9632860E+04, 0.1298262E+05, 0.4816430E+01, 0.1531792E+03
WL0_4393_0000, 0.2603903E+03, 0.3403167E+04, 0.1076137E+04, 0.2928943E+04, 0.1527887E+04, 0.5532966E+04, 0.3210929E+03, 0.2683872E+02, 0.1383251E+03, 0.4862568E+03, 0.1418892E+05, 0.1466114E+05, 0.7094461E+01, 0.1931402E+03
WL0_4394_0000, 0.6255538E+04, 0.1061078E+06, 0.8053423E+05, 0.2179318E+05, 0.2736114E+05, 0.1296885E+06, 0.1186846E+05, 0.2272325E+03, 0.4173429E+04, 0.1626913E+05, 0.1124137E+06, 0.1918025E+06, 0.5620685E+02, 0.8573976E+03
WL0_4424_0000, 0.7654390E+04, 0.9371349E+05, 0.6475918E+04, 0.4519195E+05, 0.1993709E+05, 0.7160495E+05, 0.1018757E+04, 0.1509807E+04, 0.6235703E+03, 0.3152134E+04, 0.3343897E+06, 0.3587024E+06, 0.1671949E+03, 0.5854607E+04
WL0_4923_0000, 0.2330433E+04, 0.3280796E+05, 0.6343246E+03, 0.2619897E+04, 0.2199382E+04, 0.5453603E+04, 0.1018399E+03, 0.6759859E+02, 0.5656367E+02, 0.2260021E+03, 0.8464505E+05, 0.3361561E+05, 0.4232252E+02, 0.1912598E+04
PL0_5791_0000, 0.2700326E+04, 0.3763623E+05, 0.1133892E+04, 0.8154992E+04, 0.3622946E+04, 0.1291183E+05, 0.3325679E+03, 0.2774666E+03, 0.1336709E+03, 0.7437053E+03, 0.3825448E+06, 0.5761510E+05, 0.1912724E+03, 0.2328270E+04
PL0_5391_0000, 0.7208783E+04, 0.1000840E+06, 0.1630152E+04, 0.1115410E+05, 0.6249115E+04, 0.1903336E+05, 0.5207803E+03, 0.5140513E+03, 0.3009733E+03, 0.1335805E+04, 0.2280134E+06, 0.1293143E+06, 0.1140067E+03, 0.6141200E+04
PL0_5392_0000, 0.7423077E+04, 0.1037473E+06, 0.1542154E+04, 0.9558852E+04, 0.6006900E+04, 0.1710791E+05, 0.4455576E+03, 0.3929095E+03, 0.3016579E+03, 0.1140125E+04, 0.2491742E+06, 0.1197382E+06, 0.1245871E+03, 0.6512100E+04
PL0_5390_0000, 0.1819143E+05, 0.2877932E+06, 0.1257786E+06, 0.9905566E+05, 0.5085061E+05, 0.2756848E+06, 0.8672213E+04, 0.7334369E+03, 0.2943625E+04, 0.1234928E+05, 0.4440914E+06, 0.4323243E+06, 0.2220457E+03, 0.7233190E+04
PL7_4980_0000, 0.9424694E+04, 0.1205642E+06, 0.1337108E+05, 0.2244904E+05, 0.4512551E+05, 0.8094563E+05, 0.1269939E+04, 0.1701526E+04, 0.9279131E+03, 0.3899378E+04, 0.6158708E+06, 0.6272916E+06, 0.3079353E+03, 0.6197474E+04
PL7_4981_0000, 0.2758965E+05, 0.3504708E+06, 0.8513098E+05, 0.3647161E+05, 0.9795932E+05, 0.2195619E+06, 0.4298776E+04, 0.3008979E+04, 0.2466740E+04, 0.9774496E+04, 0.9750550E+06, 0.1405527E+07, 0.4875274E+03, 0.1847884E+05
PL7_4960_0000, 0.3675598E+06, 0.6512494E+07, 0.6681246E+06, 0.7670368E+07, 0.1022296E+07, 0.9360787E+07, 0.5816987E+05, 0.2398093E+04, 0.4392628E+05, 0.1044942E+06, 0.3650691E+07, 0.6520336E+07, 0.1825346E+04, 0.1042294E+05
PL7_4962_0000, 0.5271895E+05, 0.8154197E+06, 0.4677154E+06, 0.2640742E+06, 0.2178878E+06, 0.9496772E+06, 0.8879736E+04, 0.3759561E+04, 0.4874173E+04, 0.1751347E+05, 0.3157482E+07, 0.2272959E+07, 0.1578741E+04, 0.1164606E+05
PL7_4940_0000, 0.2305869E+04, 0.2791022E+05, 0.1199502E+05, 0.5579433E+04, 0.2593330E+05, 0.4350776E+05, 0.8586997E+03, 0.3290380E+03, 0.4710037E+03, 0.1658741E+04, 0.6372356E+05, 0.2845209E+06, 0.3186178E+02, 0.1133415E+04
PL7_4941_0000, 0.6095716E+04, 0.7232308E+05, 0.1993070E+05, 0.2949868E+05, 0.5003473E+05, 0.9946413E+05, 0.1666096E+04, 0.1408274E+04, 0.7050633E+03, 0.3779434E+04, 0.8419038E+06, 0.6497711E+06, 0.4209518E+03, 0.3303439E+04
PL7_4910_0000, 0.3680052E+04, 0.4729421E+05, 0.4844508E+04, 0.5094368E+04, 0.1435424E+05, 0.2429312E+05, 0.4493215E+03, 0.3486338E+03, 0.3265440E+03, 0.1124499E+04, 0.4081257E+06, 0.2071239E+06, 0.2040628E+03, 0.2316464E+04
PL7_4911_0000, 0.1727500E+05, 0.2121600E+06, 0.1636463E+05, 0.2213949E+05, 0.5518145E+05, 0.9368555E+05, 0.2813864E+04, 0.2271814E+04, 0.1505135E+04, 0.6590812E+04, 0.2099604E+07, 0.9305458E+06, 0.1049802E+04, 0.1091387E+05
PM7_4820_0001, 0.1126891E+05, 0.1382473E+06, 0.1178820E+05, 0.1141137E+05, 0.3305691E+05, 0.5625647E+05, 0.9741420E+03, 0.6520812E+03, 0.5209617E+03, 0.2147185E+04, 0.8193341E+06, 0.2446084E+06, 0.4057829E+03, 0.6866477E+04
JB0_7391_0000, 0.1500166E+05, 0.2652557E+06, 0.1966412E+06, 0.1710736E+06, 0.7067173E+05, 0.4383866E+06, 0.3624454E+05, 0.2689063E+03, 0.1563320E+05, 0.5214663E+05, 0.8090929E+06, 0.4595169E+06, 0.4045465E+03, 0.1528474E+04
JB0_7392_0000, 0.5858629E+03, 0.9079972E+04, 0.2852217E+04, 0.1636614E+05, 0.7011743E+04, 0.2623010E+05, 0.1008964E+03, 0.7840747E+02, 0.8559312E+02, 0.2648970E+03, 0.5266241E+05, 0.6421900E+05, 0.2633120E+02, 0.5483151E+03
JB0_7271_0000, 0.6418969E+04, 0.1018069E+06, 0.3831657E+04, 0.2707946E+05, 0.1311204E+05, 0.4402316E+05, 0.3043420E+03, 0.2383284E+03, 0.1541167E+03, 0.6967870E+03, 0.1556704E+06, 0.1359933E+06, 0.7783517E+02, 0.6655995E+04
JB0_7075_0000, 0.4339689E+03, 0.5763496E+04, 0.1182993E+04, 0.7462613E+03, 0.3018747E+04, 0.4948001E+04, 0.3875948E+02, 0.6374885E+02, 0.3038212E+02, 0.1328904E+03, 0.1295967E+05, 0.3717952E+05, 0.6479832E+01, 0.2192310E+03
JB0_7076_0000, 0.7401495E+04, 0.1049617E+06, 0.3583351E+04, 0.9938928E+04, 0.1367890E+05, 0.2720118E+05, 0.8388103E+03, 0.9781939E+03, 0.5691301E+03, 0.2386134E+04, 0.2834106E+06, 0.2720658E+06, 0.1417053E+03, 0.6262031E+04
JB0_7580_0000, 0.1862539E+05, 0.2701024E+06, 0.5150968E+05, 0.4525517E+05, 0.1565802E+06, 0.2533451E+06, 0.3366565E+04, 0.3318806E+04, 0.2047617E+04, 0.8732989E+04, 0.1870613E+06, 0.1850622E+07, 0.9353062E+02, 0.9376660E+04
YL0_7371_0000, 0.2260354E+04, 0.3361087E+05, 0.3810800E+04, 0.4055842E+04, 0.1362751E+05, 0.2149416E+05, 0.2840798E+03, 0.3512272E+03, 0.1961851E+03, 0.8314922E+03, 0.1492280E+05, 0.1683331E+06, 0.7461398E+01, 0.1218496E+04
YL0_7370_0000, 0.1477210E+06, 0.2467039E+07, 0.2615497E+06, 0.4834639E+06, 0.3772954E+06, 0.1122310E+07, 0.6020979E+05, 0.9533901E+04, 0.3011513E+05, 0.9985881E+05, 0.6823198E+07, 0.4529558E+07, 0.3411599E+04, 0.4937580E+05
YL0_6932_0000, 0.2223005E+05, 0.3559928E+06, 0.1825074E+05, 0.1536757E+06, 0.6547849E+05, 0.2374049E+06, 0.3101598E+04, 0.1957992E+04, 0.1791221E+04, 0.6850810E+04, 0.4503275E+06, 0.8119044E+06, 0.2251637E+03, 0.1475779E+05
YL0_6931_0000, 0.1837411E+05, 0.2860845E+06, 0.1216199E+05, 0.3071034E+05, 0.3938808E+05, 0.8226041E+05, 0.2269384E+04, 0.1195738E+04, 0.1365770E+04, 0.4830892E+04, 0.4983782E+06, 0.5723572E+06, 0.2491891E+03, 0.1489667E+05
YL0_6929_0000, 0.4224067E+03, 0.5821790E+04, 0.6117810E+03, 0.3604852E+03, 0.1607620E+04, 0.2579886E+04, 0.3170598E+02, 0.4357289E+02, 0.2014778E+02, 0.9542664E+02, 0.2804535E+04, 0.2126294E+05, 0.1402268E+01, 0.2208541E+03
YM0_6621_0000, 0.4533280E+05, 0.7173149E+06, 0.3285689E+05, 0.1574472E+06, 0.6903984E+05, 0.2593439E+06, 0.5261287E+04, 0.1832237E+04, 0.2150444E+04, 0.9243967E+04, 0.1330651E+07, 0.9846113E+06, 0.6653256E+03, 0.4372022E+05
YP0_6783_0000, 0.5499824E+04, 0.8145209E+05, 0.6662619E+04, 0.2261231E+05, 0.1733399E+05, 0.4660892E+05, 0.1162669E+04, 0.5819324E+03, 0.5952021E+03, 0.2339804E+04, 0.1174875E+06, 0.2306500E+06, 0.5874377E+02, 0.4775883E+04
YP0_6782_0000, 0.3801055E+05, 0.6344513E+06, 0.6570274E+05, 0.1138332E+06, 0.3603752E+06, 0.5399111E+06, 0.5136185E+05, 0.1382165E+04, 0.2492701E+05, 0.7767101E+05, 0.1936115E+07, 0.2380876E+07, 0.9680576E+03, 0.1849129E+05
YP0_6781_0000, 0.2929503E+05, 0.4550700E+06, 0.1635625E+05, 0.1232813E+06, 0.4720577E+05, 0.1868433E+06, 0.2139124E+04, 0.1418543E+04, 0.9171392E+03, 0.4474805E+04, 0.6276579E+06, 0.6373626E+06, 0.3138290E+03, 0.3013628E+05
YM0_6623_0000, 0.1662809E+05, 0.2634455E+06, 0.5073203E+04, 0.3585512E+05, 0.1763308E+05, 0.5856138E+05, 0.7167307E+03, 0.4780197E+03, 0.3468718E+03, 0.1541622E+04, 0.3783011E+06, 0.2783725E+06, 0.1891506E+03, 0.1661263E+05
YL0_6870_0000, 0.1523446E+05, 0.2469027E+06, 0.6993725E+04, 0.5556456E+05, 0.2638379E+05, 0.8894208E+05, 0.2653249E+04, 0.1612632E+04, 0.1587508E+04, 0.5853389E+04, 0.2076345E+06, 0.4697735E+06, 0.1038172E+03, 0.1131963E+05
YL0_6871_0000, 0.1128933E+05, 0.1837389E+06, 0.4875923E+04, 0.3193965E+05, 0.2066577E+05, 0.5748134E+05, 0.1024488E+04, 0.9243290E+03, 0.7292135E+03, 0.2678031E+04, 0.1040664E+06, 0.3187095E+06, 0.5203317E+02, 0.8578519E+04
RL0_6531_0000, 0.2927930E+05, 0.4492363E+06, 0.3019081E+05, 0.1646453E+06, 0.9269962E+05, 0.2875357E+06, 0.4601673E+04, 0.2902198E+04, 0.2578448E+04, 0.1008232E+05, 0.6665791E+06, 0.1175987E+07, 0.3332896E+03, 0.2055846E+05
RL5_6072_0000, 0.6164110E+04, 0.9357571E+05, 0.6116104E+04, 0.5219584E+05, 0.2042786E+05, 0.7873981E+05, 0.9474044E+03, 0.6869668E+03, 0.3681328E+03, 0.2002504E+04, 0.2707766E+06, 0.2761670E+06, 0.1353883E+03, 0.4782549E+04
RL5_6071_0000, 0.6219623E+05, 0.9627723E+06, 0.3330759E+05, 0.2868589E+06, 0.1001050E+06, 0.4202715E+06, 0.5981188E+04, 0.3415816E+04, 0.2071770E+04, 0.1146877E+05, 0.2848844E+07, 0.1497491E+07, 0.1424422E+04, 0.5154347E+05
JB0_7390_0000, 0.2056960E+06, 0.3332683E+07, 0.1551367E+07, 0.1233659E+07, 0.1101241E+07, 0.3886267E+07, 0.2147598E+06, 0.1581075E+05, 0.9704343E+05, 0.3276141E+06, 0.8236569E+07, 0.9780477E+07, 0.4118284E+04, 0.1227963E+06
JB0_7382_0000, 0.7092995E+05, 0.1113457E+07, 0.1324308E+06, 0.2631510E+06, 0.3408580E+06, 0.7364399E+06, 0.2524389E+05, 0.1322451E+05, 0.1244577E+05, 0.5091418E+05, 0.8321841E+06, 0.4807959E+07, 0.4160920E+03, 0.5210436E+05
PL0_6271_0000, 0.1285004E+05, 0.1896013E+06, 0.9753230E+04, 0.7650720E+05, 0.3658806E+05, 0.1228485E+06, 0.2702210E+04, 0.2024503E+04, 0.1301859E+04, 0.6028571E+04, 0.5495077E+06, 0.6183354E+06, 0.2747537E+03, 0.9462271E+04
PL0_5921_0000, 0.1007833E+04, 0.1490716E+05, 0.3714879E+03, 0.2923011E+04, 0.1436953E+04, 0.4731453E+04, 0.1326910E+03, 0.7708221E+02, 0.7881577E+02, 0.2885889E+03, 0.3960361E+05, 0.2842839E+05, 0.1980181E+02, 0.8228752E+03
PL0_5491_0000, 0.2175952E+05, 0.2742132E+06, 0.1288691E+05, 0.2748488E+05, 0.3975318E+05, 0.8012495E+05, 0.3898479E+05, 0.2398094E+04, 0.1763378E+04, 0.4314627E+05, 0.1571815E+07, 0.7032611E+06, 0.7859075E+03, 0.1616569E+05
JB0_7661_0000, 0.4760854E+05, 0.7767498E+06, 0.7725248E+06, 0.2430156E+06, 0.5078548E+06, 0.1523396E+07, 0.8319719E+05, 0.8884402E+03, 0.3630395E+05, 0.1203896E+06, 0.1304392E+07, 0.3142707E+07, 0.6521959E+03, 0.1540845E+05
JB0_7662_0000, 0.1667353E+04, 0.2599741E+05, 0.1217288E+05, 0.1626094E+05, 0.3446615E+05, 0.6289996E+05, 0.4415131E+03, 0.1705114E+03, 0.1950654E+03, 0.8070899E+03, 0.5464057E+05, 0.2936063E+06, 0.2732028E+02, 0.1063873E+04
JB0_7394_0000, 0.1407474E+05, 0.2505078E+06, 0.4633951E+06, 0.1054790E+06, 0.2588426E+06, 0.8277167E+06, 0.5891341E+05, 0.1082088E+03, 0.2638097E+05, 0.8540259E+05, 0.8140596E+06, 0.1505616E+07, 0.4070299E+03, 0.2306421E+03
JB0_7393_0000, 0.1226626E+05, 0.1768848E+06, 0.2120152E+05, 0.1298637E+05, 0.5532090E+05, 0.8950879E+05, 0.2029711E+04, 0.1906260E+04, 0.1145526E+04, 0.5081497E+04, 0.4796500E+05, 0.8531039E+06, 0.2398250E+02, 0.6556476E+04
JB0_7398_0000, 0.3779286E+05, 0.6588338E+06, 0.5737078E+06, 0.4034337E+06, 0.2615707E+06, 0.1238712E+07, 0.7142545E+05, 0.9790170E+03, 0.3371436E+05, 0.1061188E+06, 0.1782048E+07, 0.1804648E+07, 0.8910240E+03, 0.2364360E+04
JB0_7396_0000, 0.1597722E+05, 0.2337363E+06, 0.4448371E+05, 0.3682668E+05, 0.1365524E+06, 0.2178628E+06, 0.3118825E+04, 0.3163651E+04, 0.1802845E+04, 0.8085321E+04, 0.2022880E+06, 0.1756798E+07, 0.1011440E+03, 0.8484286E+04
JB0_7381_0000, 0.4272187E+05, 0.6343007E+06, 0.1070929E+06, 0.1164321E+06, 0.2822513E+06, 0.5057763E+06, 0.1149144E+05, 0.7505248E+04, 0.6134243E+04, 0.2513093E+05, 0.2986177E+06, 0.3508604E+07, 0.1493088E+03, 0.2268779E+05
JB0_7399_0000, 0.6294750E+04, 0.9966821E+05, 0.1294221E+06, 0.1171492E+05, 0.6457582E+05, 0.2057129E+06, 0.2555296E+05, 0.6867866E+03, 0.1053915E+05, 0.3677889E+05, 0.3531363E+06, 0.5790872E+06, 0.1765682E+03, 0.1686481E+04
JB0_7383_0000, 0.3389921E+05, 0.5233418E+06, 0.4324436E+05, 0.1000705E+06, 0.1471180E+06, 0.2904329E+06, 0.5578308E+04, 0.6700465E+04, 0.3833213E+04, 0.1611198E+05, 0.6047677E+06, 0.2273223E+07, 0.3023837E+03, 0.2295689E+05
JB0_7397_0000, 0.4497350E+04, 0.6823031E+05, 0.1934054E+05, 0.4204124E+05, 0.1972742E+05, 0.8110921E+05, 0.4447794E+04, 0.6472587E+03, 0.2478060E+04, 0.7573112E+04, 0.1186997E+06, 0.2714284E+06, 0.5934983E+02, 0.2483949E+04
