TABLE->,HT-BED-FLAGS,HT-BED-FLAGS,HT-BED-FLAGS,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,HEAT-PARM,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,MON-HT-TGRND,HEAT-INIT,HEAT-INIT
VARS->,BDFG,TGFG,TSTP,ELEV,ELDAT,CFSAEX,KATRAD,KCOND,KEVAP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,TW,AIRTMP
SU2_0800_0850,0,na,na,1040,-0260,0.20,12.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0890_0900,0,na,na,1181,-0119,0.20,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0680_0610,0,na,na,1141,-0158,0.20,14.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0450_0720,0,na,na,1046,0115,0.20,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0900_0870,0,na,na,0790,-0509,0.20,14.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0870_0730,0,na,na,0733,-1021,0.30,13.56250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0370_0490,0,na,na,1135,-0125,0.30,16.31250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0470_0590,0,na,na,0894,0113,0.20,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0440_0550,0,na,na,1027,0085,0.20,14.06250,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU2_0640_0630,0,na,na,1386,0126,0.20,14.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
SU3_0490_0530,0,na,na,0971,-0289,0.30,14.93750,6.12,2.24,na,na,na,na,na,na,na,na,na,na,na,na,40,40
