riverseg,landseg,landuse,nutrient,loadingrate
JL2_6240_6520,A51137,afo,sedm,15.77
JL2_6240_6520,F51003,afo,sedm,0
JL2_6240_6520,F51003,cfo,sedm,0
JL2_6850_6890,A51125,afo,sedm,22.23
JL2_7350_7090,A51009,cfo,sedm,0
JL6_6890_6990,A51003,cfo,sedm,0
JL6_7160_7440,A51009,afo,sedm,32.779999
JL6_7320_7150,A51011,cfo,sedm,0
JL6_7430_7320,A51009,cfo,sedm,0
JL6_7430_7320,A51011,cfo,sedm,0
JL6_7440_7430,B51019,cfo,sedm,0
JL7_6800_7070,A51085,afo,sedm,34.009998
JL7_7070_0001,A51087,cfo,sedm,0
JU1_6290_6590,F51091,cfo,sedm,0
JU1_6340_6650,B51017,cfo,sedm,0
JU1_6880_7260,F51015,afo,sedm,35.529999
JU1_6880_7260,F51163,afo,sedm,94.050003
JU1_7560_7500,F51045,afo,sedm,0
JU1_7750_7560,A51023,cfo,sedm,0
JU1_7750_7560,A51161,afo,sedm,29.74
JU2_6410_6640,F51163,cfo,sedm,0
JU2_7140_7330,A51005,cfo,sedm,0
JU2_7360_7000,F51005,cfo,sedm,0
JU2_7450_7360,A51005,cfo,sedm,0
JU3_6380_6900,A51091,afo,sedm,52.25
JU3_6640_6790,C51015,cfo,sedm,0
JU3_6950_7330,A51005,cfo,sedm,0
JU3_6950_7330,A51017,cfo,sedm,0
JU3_6950_7330,F51017,cfo,sedm,0
JU4_7000_7300,A51580,afo,sedm,0
JU4_7330_7000,F51005,afo,sedm,14.63
JU5_7300_7510,F51005,afo,sedm,0
JU5_7420_7160,B51163,cfo,sedm,0
MN0_8040_0000,A51550,afo,sedm,0.19
MN2_7720_7830,A51053,cfo,sedm,0
MN3_7680_7860,A51093,afo,sedm,0.47999999
NR1_7880_8050,A51071,cfo,sedm,0
NR1_8030_8051,A51071,afo,sedm,4.5599999
NR2_8210_8180,C51071,afo,sedm,4.5599999
NR3_8290_8170,C51071,cfo,sedm,0
NR3_8430_7820,A51121,afo,sedm,67.169998
NR6_8000_0000,B51071,cfo,sedm,0
NR6_8050_8051,C51071,cfo,sedm,0
NR6_8180_8051,C51071,cfo,sedm,0
OR2_7610_7780,A51031,afo,sedm,10.26
OR2_7650_8070,B51019,afo,sedm,43.130001
OR2_7840_7970,A51031,cfo,sedm,0
DE0_2710_0000,A24015,afo,sedm,4.6599998
DE0_3380_0000,A10003,afo,sedm,7.5999999
DE0_3840_0000,A10001,afo,sedm,1.9
DE0_5020_0000,A24047,cfo,sedm,0
EL0_4591_0000,A24019,afo,sedm,0.75999999
EL0_4597_0000,A24045,cfo,sedm,0
EL0_4631_0000,A10005,cfo,sedm,0
EL0_4632_0000,A10005,cfo,sedm,0
EL0_4633_0000,A24045,cfo,sedm,0
EL0_5040_0000,A24045,afo,sedm,1.52
EL0_5271_0000,A24047,afo,sedm,2.5699999
EL0_5284_0000,F24019,afo,sedm,0
EL0_5766_0000,A24019,afo,sedm,0
EL0_5891_0000,A24039,afo,sedm,0.28999999
