landseg,SORGN,UORGN,LROGN,AORGN
A42111,     0.000,    62.954,    15.170,     6.879
B24001,     0.000,    58.098,    23.476,    10.411
B42009,     0.000,    86.697,     9.817,     6.019
A24023,     0.000,    47.981,    25.271,     8.593
F54023,     0.000,    96.379,     9.613,     7.112
A54077,     0.000,    78.166,     4.145,     4.734
A54093,     0.000,    78.447,     5.415,     5.603
F24023,     0.000,    51.244,    19.724,     7.723
F54057,     0.000,    76.171,     4.114,     6.128
F54065,     0.000,    73.250,     0.000,     3.781
A42071,     0.000,    60.892,    55.987,    17.069
A42133,     0.000,    65.751,    24.507,     6.769
A42075,     0.000,    30.897,    71.265,    16.378
A42011,     0.000,    74.484,    16.867,     5.371
F42133,     0.000,    68.436,    20.027,     6.706
F42075,     0.000,    93.542,    14.764,     6.190
F42071,     0.000,   111.497,    15.748,     7.856
A42041,     0.000,    64.299,    22.500,     7.814
F42041,     0.000,    24.810,    53.626,    13.794
F42011,     0.000,    76.770,    11.518,     4.455
A42107,     0.000,    58.134,    18.492,     6.489
F42107,     0.000,    62.963,    15.209,     5.830
A42067,     0.000,    68.151,    19.285,     8.342
A42043,     0.000,    60.155,    23.966,     7.733
F42043,     0.000,    64.464,    18.782,     5.711
A42087,     0.000,    84.953,    17.046,     7.487
A42027,     0.000,    47.476,    39.758,     9.550
A42109,     0.000,    69.706,    12.843,     6.765
F42087,     0.000,    91.324,     9.725,     5.657
A42097,     0.000,    45.427,    36.336,     9.910
A42037,     0.000,    59.098,    19.272,     6.104
A42061,     0.000,    85.331,    11.842,     6.706
A42119,     0.000,    75.920,    17.168,     5.290
B42043,     0.000,    64.211,    21.728,     6.975
A42013,     0.000,    84.808,    25.187,     8.954
A42021,     0.000,    45.571,    14.774,     6.076
B42027,     0.000,    55.949,    31.000,     8.237
B42119,     0.000,    69.694,    24.091,     7.535
A42093,     0.000,    71.217,    13.808,     3.923
B42081,     0.000,    51.965,    24.030,     9.300
A42025,     0.000,    31.685,    15.246,     8.448
A42079,     0.000,    44.521,    23.447,    10.711
F42013,     0.000,    90.548,    20.337,     8.064
F42021,     0.000,    45.760,    14.391,     6.103
A42113,     0.000,    77.028,    16.170,    10.492
B42079,     0.000,    50.714,    15.249,     8.465
B42035,     0.000,    64.014,    28.886,     8.582
A42081,     0.000,    58.232,    16.191,     7.391
F42061,     0.000,    77.019,    18.777,     8.434
A42115,     0.000,    76.011,    19.312,     9.630
A42127,     0.000,    81.949,    16.896,     8.747
A42117,     0.000,    66.634,    17.125,     7.515
F42009,     0.000,    88.885,     6.758,     5.585
B42015,     0.000,    77.818,     9.601,     6.439
B42131,     0.000,    75.699,     8.516,     7.850
A42131,     0.000,    67.522,    16.801,     9.982
A42069,     0.000,    57.650,    26.398,    13.022
F42069,     0.000,    59.560,    24.267,    12.712
A42035,     0.000,    64.922,    27.537,     7.641
A42015,     0.000,    78.016,    10.974,     6.951
A42105,     0.000,    66.932,    19.149,     6.082
A42023,     0.000,    50.156,    17.107,     4.190
A36015,     0.000,    83.746,    17.287,     7.023
A36101,     0.000,    72.003,    21.342,     6.920
F42117,     0.000,    79.054,     6.848,     5.136
A36097,     0.000,    69.846,    23.105,     7.637
A36107,     0.000,    93.385,    24.403,     8.940
A36109,     0.000,    79.058,    17.862,     7.104
A42033,     0.000,    40.107,    25.178,     6.592
F42027,     0.000,    61.288,    27.275,     7.972
A36051,     0.000,    77.381,    30.911,     6.108
A36069,     0.000,    68.096,    29.962,     8.013
A36123,     0.000,    73.327,    22.578,     7.111
F36101,     0.000,    73.735,    19.633,     6.524
A36007,     0.000,    92.543,    38.290,    11.365
A42047,     0.000,    51.709,    13.652,     5.178
A36023,     0.000,    93.384,    43.673,    12.568
A42083,     0.000,    69.422,    15.217,     5.137
A42063,     0.000,    52.643,    19.426,     6.156
A42065,     0.000,    54.834,     9.941,     5.516
F42033,     0.000,    42.088,    22.985,     6.270
A36003,     0.000,    90.587,    15.262,     5.692
F36003,     0.000,    91.312,    15.956,     5.965
A36017,     0.000,    99.723,    33.011,    11.414
A36053,     0.000,    77.309,    41.668,    12.586
F42035,     0.000,    76.335,    13.538,     5.284
F42081,     0.000,    64.289,    10.042,     6.021
A36067,     0.000,    62.051,    39.680,    13.046
F36007,     0.000,    82.125,    48.634,    12.883
F42119,     0.000,    78.334,    14.548,     4.771
A36065,     0.000,    73.339,    31.664,    11.656
A36025,     0.000,   103.655,    37.239,    13.954
A36077,     0.000,    88.973,    29.201,    11.555
F36025,     0.000,   102.569,    38.366,    14.318
A36043,     0.000,    94.825,    25.501,    11.999
F36015,     0.000,    85.483,    15.184,     6.612
A36095,     0.000,    79.389,    33.450,    12.796
F42115,     0.000,    84.934,     7.409,     7.208
F42079,     0.000,    56.376,     9.279,     7.269
F42097,     0.000,    65.037,    21.696,     6.908
end
