TABLE->,SCR-FLAGS,SCR-FLAGS,SCR-CONC,SCR-CONC
VARS->,RORN,RORP,RORN,RORP
SL0_2721_2720,1,1,6.211452,0.001000
SL2_2750_2720,1,1,6.211452,0.001000
SL2_2410_2700,1,1,0.517277,0.005212
SL1_2390_2420,1,1,0.463541,0.786331
SL2_2300_2520,1,1,6.211452,0.001000
SL1_2190_2350,1,1,1.745162,2.541555
SL2_2200_2350,1,1,1.745162,1.868984
SL0_2831_2830,1,1,7.943607,50.00000
SL3_2460_2430,1,1,20.44745,0.190656
SL3_2350_2470,1,1,1.745162,3.122825
SL1_2770_2730,1,1,7.943606,2.463429
SL0_2180_2220,1,1,6.408412,0.003229
SL3_2470_2420,1,1,0.898303,0.627770
SL3_2420_2700,1,1,0.898303,0.627770
SL3_2400_2440,1,1,1.434927,1.561107
SL1_2830_2760,1,1,7.943607,50.00000
SL1_2760_2730,1,1,7.943607,50.00000
SL1_2000_2090,1,1,6.408412,0.003229
SL1_2670_2370,1,1,11.29430,0.001000
SL3_2730_2550,1,1,7.943607,50.00000
SL3_2440_2380,1,1,6.547799,0.010311
SL0_2220_2140,1,1,6.408412,0.003229
SL2_1850_1990,1,1,3.554889,2.219768
SL3_2550_2490,1,1,3.699777,4.363072
SL2_2540_2370,1,1,11.29430,0.001000
SL3_2290_2260,1,1,1.962063,0.140157
SL2_1990_2070,1,1,4.991259,2.475196
SL2_2070_2090,1,1,6.408412,0.003229
SL3_1960_2080,1,1,2.780622,0.073844
SL4_2370_2330,1,1,11.29430,0.001000
SL4_2330_2270,1,1,15.09990,0.117387
SL4_2090_2100,1,1,6.408412,0.003229
SL4_2100_2140,1,1,6.408412,0.003229
SL3_2260_2050,1,1,10.86460,0.117387
SL2_1810_2030,1,1,2.248825,0.151318
SL2_1670_1880,1,1,2.896644,0.049497
SL1_1790_1840,1,1,3.384103,0.049497
SL4_2140_2240,1,1,6.408412,0.003229
SL1_1730_1700,1,1,5.543771,1.090904
SL4_2240_2310,1,1,7.677640,0.223026
SL3_1710_1740,1,1,2.315850,40.29752
SL3_1740_1840,1,1,10.26800,0.073609
SL1_1700_1780,1,1,7.031816,0.117387
SL3_1840_1880,1,1,40.36964,0.117387
SW1_1450_1510,1,1,8.815973,0.007433
SW1_1510_1680,1,1,8.815973,0.003056
SJ6_2130_2050,1,1,29.59629,0.117387
SW7_1640_1680,1,1,8.815973,0.003056
SW7_1680_1760,1,1,8.815973,0.003056
SU8_1530_1760,1,1,8.815973,0.003056
