TABLE->,OX-FLAGS,OX-GENPARM,OX-GENPARM,OX-GENPARM,OX-GENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-BENPARM,OX-CFOREA,OX-REAPARM,OX-REAPARM,OX-REAPARM,OX-REAPARM,OX-INIT,OX-INIT,OX-INIT
VARS->,REAM,KBOD20,TCBOD,KODSET,SUPSAT,BENOD,TCBEN,EXPOD,BRBOD1,BRBOD2,EXPREL,CFOREA,TCGINV,REAK,EXPRED,EXPREV,DOX,BOD,SATDO
SU4_0580_0630,3,0.05,1.047,0.01,1.350000,178.4997,1.047,1.22,0.01,0.01,1,na,1.047,0.720536,-1.673,0.969,14,3,14
SU2_0920_0830,3,0.05,1.047,0.01,1.079340,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU2_0741_0690,na,0.05,1.047,0.01,1.149732,1.000000,1.047,1.22,0.01,0.01,1,2.000000,na,na,na,na,14,3,14
SU1_0200_0270,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU1_0050_0090,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU2_0160_0260,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU4_0630_0650,3,0.05,1.047,0.01,1.350000,178.4997,1.047,1.22,0.01,0.01,1,na,1.047,0.720536,-1.673,0.969,14,3,14
SU2_0830_0831,3,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU3_0831_0790,na,0.05,1.047,0.01,1.000000,1.000000,1.047,1.22,0.01,0.01,1,2.000000,na,na,na,na,14,3,14
SU3_0790_0770,3,0.05,1.047,0.01,1.168854,37.74276,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU1_0380_0400,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU1_0080_0210,3,0.05,1.047,0.01,1.350000,69.11888,1.047,1.22,0.01,0.01,1,na,1.047,0.283441,-1.673,0.969,14,3,14
SU4_0260_0350,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU4_0350_0420,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU2_0070_0090,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU3_0090_0170,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU3_0770_0690,3,0.05,1.047,0.01,1.350000,200.0000,1.047,1.22,0.01,0.01,1,na,1.047,0.119258,-1.673,0.969,14,3,14
SU4_0690_0650,3,0.05,1.047,0.01,1.350000,200.0000,1.047,1.22,0.01,0.01,1,na,1.047,0.119258,-1.673,0.969,14,3,14
SU5_0650_0530,3,0.05,1.047,0.01,1.350000,178.4997,1.047,1.22,0.01,0.01,1,na,1.047,0.720536,-1.673,0.969,14,3,14
SU3_0170_0270,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU2_0290_0291,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU1_0060_0190,3,0.05,1.047,0.01,1.350000,69.11888,1.047,1.22,0.01,0.01,1,na,1.047,0.283441,-1.673,0.969,14,3,14
SU4_0270_0430,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU2_0210_0300,3,0.05,1.047,0.01,1.350000,69.11888,1.047,1.22,0.01,0.01,1,na,1.047,0.283441,-1.673,0.969,14,3,14
SU2_0130_0250,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU4_0430_0420,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU5_0530_0610,3,0.05,1.047,0.01,1.350000,178.4997,1.047,1.22,0.01,0.01,1,na,1.047,0.720536,-1.673,0.969,14,3,14
SU5_0610_0600,3,0.05,1.047,0.01,1.350000,178.4997,1.047,1.22,0.01,0.01,1,na,1.047,0.720536,-1.673,0.969,14,3,14
SU5_0420_0500,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU2_0291_0320,na,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,1.019405,na,na,na,na,14,3,14
SU3_0010_0190,3,0.05,1.047,0.01,1.350000,69.11888,1.047,1.22,0.01,0.01,1,na,1.047,0.283441,-1.673,0.969,14,3,14
SU5_0600_0750,3,0.05,1.047,0.01,1.350000,40.00000,1.047,1.22,0.01,0.01,1,na,1.047,5.000000,-1.673,0.969,14,3,14
SU3_0190_0300,3,0.05,1.047,0.01,1.350000,69.11888,1.047,1.22,0.01,0.01,1,na,1.047,0.283441,-1.673,0.969,14,3,14
SU4_0300_0310,3,0.05,1.047,0.01,1.350000,69.11888,1.047,1.22,0.01,0.01,1,na,1.047,0.283441,-1.673,0.969,14,3,14
SU2_0150_0220,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU2_0100_0230,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU2_0320_0340,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU2_0040_0180,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU2_0020_0140,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU2_0030_0140,na,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,1.019405,na,na,na,na,14,3,14
SU3_0140_0180,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU3_0180_0230,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU4_0230_0220,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU4_0220_0250,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU4_0250_0340,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU5_0340_0310,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU5_0310_0400,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU5_0400_0460,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU5_0460_0480,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU6_0480_0520,3,0.05,1.047,0.01,1.350000,87.00437,1.047,1.22,0.01,0.01,1,na,1.047,0.522844,-1.673,0.969,14,3,14
SU6_0520_0500,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU6_0500_0550,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU7_0550_0540,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU7_0540_0720,3,0.05,1.047,0.01,1.350000,102.9925,1.047,1.22,0.01,0.01,1,na,1.047,0.754294,-1.673,0.969,14,3,14
SU7_0720_0750,3,0.05,1.047,0.01,1.350000,79.40357,1.047,1.22,0.01,0.01,1,na,1.047,0.632420,-1.673,0.969,14,3,14
SU7_0750_0850,3,0.05,1.047,0.01,1.350000,79.40357,1.047,1.22,0.01,0.01,1,na,1.047,0.632420,-1.673,0.969,14,3,14
SU7_0850_0730,3,0.05,1.047,0.01,1.350000,79.40357,1.047,1.22,0.01,0.01,1,na,1.047,0.632420,-1.673,0.969,14,3,14
SU7_0730_0860,3,0.05,1.047,0.01,1.000000,58.63945,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
SU7_0860_0960,3,0.05,1.047,0.01,1.000000,58.63945,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
SU7_0960_0950,3,0.05,1.047,0.01,1.000000,58.63945,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
SU7_0950_1010,3,0.05,1.047,0.01,1.000000,58.63945,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
SU7_1010_0980,3,0.05,1.047,0.01,1.000000,58.63945,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
SU7_0980_1120,3,0.05,1.047,0.01,1.000000,58.63945,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
SU7_1120_1140,3,0.05,1.047,0.01,1.000000,58.63945,1.047,1.22,0.01,0.01,1,na,1.047,0.050000,-1.673,0.969,14,3,14
SU7_1140_1420,3,0.05,1.047,0.01,1.350000,54.95367,1.047,1.22,0.01,0.01,1,na,1.047,3.636396,-1.673,0.969,14,3,14
SU7_1420_1590,3,0.05,1.047,0.01,1.350000,54.95367,1.047,1.22,0.01,0.01,1,na,1.047,3.636396,-1.673,0.969,14,3,14
SU8_1590_1620,3,0.05,1.047,0.01,1.350000,54.95367,1.047,1.22,0.01,0.01,1,na,1.047,3.636396,-1.673,0.969,14,3,14
