landseg,landuse,nutrient,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
A51057,hom,nh3n,0,0,0,0,0.26288348,12.235859,12.401475,12.401475,11.972975,0.14321892,0,0
A51095,hom,nh3n,0,0,0,0,1.9714568E-2,5.4381877E-2,6.6893049E-2,6.6893049E-2,3.4667309E-2,1.0782352E-2,0,0
A51113,hom,nh3n,0,0,0,0,0.31821129,0.50162315,0.7014097,0.7014097,0.18341184,0.1727342,0,0
A51115,hom,nh3n,0,0,0,0,0.15552574,0.42421934,0.52027935,0.52027935,0.2686936,8.3434984E-2,0,0
A51121,hom,nh3n,0,0,0,0,1.2880543,1.9869025,3.0746801,3.0746801,0.97934771,0.97934771,0,0
A51135,hom,nh3n,0,0,0,0,0.13267565,0.36478922,0.44790453,0.44790453,0.23211357,7.1990222E-2,0,0
A51147,hom,nh3n,0,0,0,0,0.15986966,0.85157818,0.95199358,0.95199358,0.69170851,8.6796254E-2,0,0
A51161,hom,nh3n,0,0,0,0,0.10064238,0.15524086,1.9656386,1.9656386,1.8018619,1.8018619,0,0
A51187,hom,nh3n,0,0,0,0,1.0701844,1.6512419,3.6155438,3.6155438,1.8736748,1.8736748,0,0
A51810,hom,nh3n,0,0,0,0,6.2436795,37.310997,31.093023,31.093023,31.06732,8.5990792E-3,0,0
A54057,hom,nh3n,0,0,0,0,0,3.5533085,3.6987758,3.8797231,3.7342558,0,0,0
A54063,hom,nh3n,0,0,0,0,0,1.747404,1.8792247,2.0441566,1.912336,0,0,0
A54071,hom,nh3n,0,0,0,0,0,3.9322813,4.2285876,4.5995927,4.3032866,0,0,0
B42035,hom,nh3n,0,0,0,0,0,0.6736421,0.68778861,0.71181518,0.69766867,0,0,0
B42041,hom,nh3n,0,0,0,0,0,0.42615911,0.44499534,0.65594411,0.63710791,0,0,0
B42055,hom,nh3n,0,0,0,0,0,4.1960925E-2,6.2941387E-2,0.08392185,6.2941387E-2,0,0,0
B42119,hom,nh3n,0,0,0,0,0,17.214025,17.226889,38.035053,38.02219,0,0,0
B51017,hom,nh3n,0,0,0,0,0.70712703,1.0904746,2.3852451,2.3852451,1.2360277,1.2360277,0,0
B51113,hom,nh3n,0,0,0,0,0.31821129,0.50162315,0.7014097,0.7014097,0.18341184,0.1727342,0,0
B51163,hom,nh3n,0,0,0,0,0.89026266,1.3732288,3.0056009,3.0056009,1.5573796,1.5573796,0,0
B54031,hom,nh3n,0,0,0,0,0,4.9991784,5.3758821,5.8467627,5.4700584,0,0,0
B51061,hom,nh3n,0,0,0,0,0.57986182,0.90380931,1.2673556,1.2673556,0.32394746,0.31463546,0,0
B54023,hom,nh3n,0,0,0,0,0,4.6559711,5.0069051,5.4455729,5.0946388,0,0,0
F24005,hom,nh3n,0,0,0,0,0,7.2102809,8.294836,8.4555111,7.3709559,0,0,0
F24019,hom,nh3n,0,0,0,0,6.192369,6.192369,22.510118,22.436905,0,0,0,0
F24025,hom,nh3n,0,0,0,0,0,2.8125439,7.0267291,7.0419292,2.8277438,0,0,0
F24027,hom,nh3n,0,0,0,0,0,2.2299395,5.2733607,14.716352,11.67293,0,0,0
F24035,hom,nh3n,0,0,0,0,18.1171,18.1171,20.002506,13.248279,0,0,0,0
F24041,hom,nh3n,0,0,0,0,13.623046,13.623046,16.695457,16.035271,0,0,0,0
F36007,hom,nh3n,0,0,0,0,0,0.71385229,0.72705859,1.7978369,1.7846307,0,0,0
F42009,hom,nh3n,0,0,0,0,0,0.1901366,0.2309209,0.92710602,0.88632172,0,0,0
F42021,hom,nh3n,0,0,0,0,0,0.37727857,0.38276449,0.47659588,0.47110993,0,0,0
F42027,hom,nh3n,0,0,0,0,0,40.360798,40.373066,45.613674,45.601406,0,0,0
F42079,hom,nh3n,0,0,0,0,0,2.9100661,2.9139805,3.2230141,3.2190998,0,0,0
F42081,hom,nh3n,0,0,0,0,0,0.55929726,0.58012974,0.93559766,0.91476518,0,0,0
F51001,hom,nh3n,0,0,0,0,2.3693214E-3,7.1472454,7.1487241,7.1487241,7.144876,1.2826403E-3,0,0
