landseg,landuse,nutrient,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
A51095,hyw,nh3n,0,0,0,0,0,0,0,0,0,0,1.2252283726281029E-2,1.2252283726281029E-2
A51109,hwm,nh3n,0,0,0,0,0,1.3044104458372157,1.3044106553196109,1.3044106553196109,1.3044106553196109,1.3044106553196109,0,0
A36097,hwm,nh3n,0,0,0,0,0,0,5.4093213841056258,5.4093213841056258,5.4093213841056258,5.4093213841056258,0,0
A42079,hwm,nh3n,0,0,0,0,0,1.1264566908175242,1.1264566908175242,1.1264566908175242,1.1264566908175242,1.1264566908175242,0,0
A42099,nhi,nh3n,0,0,0,0,4.8823669301918432E-9,2.0072959802052686,2.0072959753229016,2.0072959753229016,2.0072959753229016,2.0072959753229016,0,0
A36109,hwm,nh3n,0,0,0,0,0,0,0.97954958624460198,0.97954958624460198,0.97954958624460198,0.97954958624460198,0,0
A42083,hyw,nh3n,0,0,0,0,0.12264965140077902,0.26847724747399893,0.26847724747399893,0.26847724747399893,0.26847724747399893,0.26847724747399893,0,0
A51087,hom,nh3n,0,0,0,0,0.19123148071566975,0.48660782085185106,0.79724679149509936,0.79724679149509936,0.2953763401361813,0,0,0
B51091,lwm,nh3n,0,0,0,0,0,0.16837663198255043,1.4933689885765826,1.4933689885765826,1.4933689885765826,1.4933689885765826,0,0
A51037,hyw,nh3n,0,0,0,0,0,0,0,0,0,1.0056834062984497E-2,0.01699220106378586,0.01699220106378586
A51159,hyw,nh3n,0,0,0,0,0,0,0,0,0,0,2.2782361163942652E-2,2.2782361163942652E-2
A51163,hwm,nh3n,0,0,0,0,0,0.26803018890270464,0.26803030194514516,0.26803030194514516,0.26803030194514516,0.26803030194514516,0,0
A51065,hwm,nh3n,0,0,0,0,0,1.6723363088254115,2.4099066929395474,2.4099066929395474,2.4099066929395474,2.4099066929395474,0,0
A42069,hyw,nh3n,0,0,0,0,5.0073641016017578E-2,0.10961667675916181,0.10961667675916181,0.10961667675916181,0.10961667675916181,0.10961667675916181,0,0
A54031,nho,nh3n,0,0,0,0,0,3.5811461722194062,3.8377918316497772,3.9917792273080002,3.7351335678776287,0,0,0
A42107,nho,nh3n,0,0,0,0,0,0.29686760305335541,0.33853383856093749,0.79256658818228476,0.75090035267470268,0,0,0
A24021,hom,nh3n,0,0,0,0,0,3.1061971787446865,3.1061971787446865,15.67097184657886,15.67097184657886,0,0,0
A36011,hom,nh3n,0,0,0,0,0,23.725732283971233,23.818996343330213,29.618059494566538,29.524795435207558,0,0,0
B51161,hom,nh3n,0,0,0,0,0.10886421659181923,0.10886421659181923,1.6491145431526784,1.6491145431526784,1.3634246378470445,1.3634246378470445,0,0
A42037,nhy,nh3n,0,0,0,0,5.1732842587734536E-2,0.11324326250944028,0.11324326250944028,0.11324326250944028,0.11324326250944028,0.11324326250944028,0,0
A51147,lwm,nh3n,0,0,0,0,0,0.72658065372249792,0.72658065372249792,0.72658065372249792,0.72658065372249792,0.72658065372249792,0,0
A42093,hwm,nh3n,0,0,0,0,1.1851786943642521E-9,6.0571909015053924,6.0571909003202142,6.0571909003202142,6.0571909003202142,6.0571909003202142,0,0
A24009,lwm,nh3n,0,0,0,0,0,2.4451296940644838,2.4451296940644838,2.4451296940644838,2.4451296940644838,2.4451296940644838,0,0
B42035,nhi,nh3n,0,0,0,0,0,8.9341152158364905E-3,1.9930318122484145,1.9930318122484145,1.9930318122484145,1.9930318122484145,0,0
A42063,hom,nh3n,0,0,0,0,0,1.7643227507114955E-2,0.28776709614188029,2.1439206146347818,1.8737967460000167,0,0,0
B42001,hwm,nh3n,0,0,0,0,1.9679679599622808E-9,3.2148948896924159,3.2148948877244479,3.2148948877244479,3.2148948877244479,3.2148948877244479,0,0
A42065,lwm,nh3n,0,0,0,0,2.2721721917821519E-8,2.8436411615178285E-2,0.2939961164828796,0.2939961164828796,0.2939961164828796,0.2939961164828796,0,0
B42081,lwm,nh3n,0,0,0,0,4.1977625731090864E-9,1.1468180478298177E-2,2.0025578204730956,2.0025578204730956,2.0025578204730956,2.0025578204730956,0,0
A42055,nho,nh3n,0,0,0,0,0,0.12872624490647522,0.48024079764952171,0.517019723069013,0.16550517032596657,0,0,0
A36003,lwm,nh3n,0,0,0,0,3.5711405344472076E-7,3.5711405344472076E-7,0.32515594387233354,0.32515594387233354,0.32515594387233354,0.32515594387233354,0,0
B51071,hyw,nh3n,0,0,0,0,0,0,0,0,0,2.7396450770202883E-2,4.6289091350301154E-2,4.6289091350301154E-2
A24029,hyw,nh3n,0,0,0,0,9.544668350378125E-3,9.544668350378125E-3,9.544668350378125E-3,9.544668350378125E-3,9.544668350378125E-3,9.544668350378125E-3,0,0
A42047,hwm,nh3n,0,0,0,0,0.12654917474692715,0.12654921284109949,0.47279885105086417,0.47279885105086417,0.47279885105086417,0.47279885105086417,0,0
A42119,hwm,nh3n,0,0,0,0,8.7450862612410442E-10,3.4596310080390662,3.4596310071645577,3.4596310071645577,3.4596310071645577,3.4596310071645577,0,0
A42013,hyw,nh3n,0,0,0,0,0.18873057422482656,0.41313367868358963,0.41313367868358963,0.41313367868358963,0.41313367868358963,0.41313367868358963,0,0
A42035,lwm,nh3n,0,0,0,0,0,8.9341159971789048E-3,1.9930318923431063,1.9930318923431063,1.9930318923431063,1.9930318923431063,0,0
A36101,hyw,nh3n,0,0,0,0,5.8463115156176262E-2,5.8463115156176262E-2,5.8463115156176262E-2,5.8463115156176262E-2,5.0612984831569841E-2,5.0612984831569841E-2,0,0
A42117,nhi,nh3n,0,0,0,0,4.1956708812924283E-8,4.9430670602013428E-2,0.94712309632250602,0.94712309632250602,0.94712309632250602,0.94712309632250602,0,0
A42071,nhi,nh3n,0,0,0,0,7.9439583292803956E-10,2.0667044294243841,2.066704428629988,2.066704428629988,2.066704428629988,2.066704428629988,0,0
A42015,hyw,nh3n,0,0,0,0,6.4890890955328906E-2,0.14204806584496821,0.14204806584496821,0.14204806584496821,0.14204806584496821,0.14204806584496821,0,0
A51149,hwm,nh3n,0,0,0,0,0,6.4989926236765143,6.9741246452514041,6.9741246452514041,6.9741246452514041,6.9741246452514041,0,0
B42043,hom,nh3n,0,0,0,0,0,0.52097498107863094,0.74126011706434025,2.2547765861549958,2.0344914501692863,0,0,0
A42025,hom,nh3n,0,0,0,0,0,0.43366816664644486,0.61719365993954955,0.99250140742586401,0.80897591413275927,0,0,0
A42057,nho,nh3n,0,0,0,0,0,1.7675485378153657,2.5146501297272574,7.6498641527323556,6.902762560820463,0,0,0
A51133,hwm,nh3n,0,0,0,0,0,3.3406282847892723,4.9354109302847089,4.9354109302847089,4.9354109302847089,4.9354109302847089,0,0
A51091,lwm,nh3n,0,0,0,0,0,0.16837663198255043,1.4933689885765826,1.4933689885765826,1.4933689885765826,1.4933689885765826,0,0
A36097,hom,nh3n,0,0,0,0,0,3.8776363045346383,4.0123609623985903,5.2904215617300707,5.1556969038661187,0,0,0
A51177,hwm,nh3n,0,0,0,0,0,2.9498408693374172,3.1080361091972417,3.1080361091972417,3.1080361091972417,3.1080361091972417,0,0
B42079,nlo,nh3n,0,0,0,0,0,1.1264565851879049,1.1264565851879049,1.1264565851879049,1.1264565851879049,1.1264565851879049,0,0
