A24037,PL1_5910_0001,   rpd,eof,acres, 0.1522523E+03
A24037,PL1_5910_0001,   npd,eof, FLOW, 0.2563618E+04
A24037,PL1_5910_0001,   npd,eof, HEAT, 0.2642225E+05
A24037,PL1_5910_0001,   npd,eof, NH3X, 0.1009696E+04
A24037,PL1_5910_0001,   npd,eof, NO23, 0.4937854E+04
A24037,PL1_5910_0001,   npd,eof, ORGN, 0.1347519E+05
A24037,PL1_5910_0001,   npd,eof, TOTN, 0.1942274E+05
A24037,PL1_5910_0001,   npd,eof, PO4X, 0.8707997E+03
A24037,PL1_5910_0001,   npd,eof, ORGP, 0.2673076E+03
A24037,PL1_5910_0001,   npd,eof, TOTP, 0.1138107E+04
A24037,PL1_5910_0001,   npd,eof, TSSX, 0.3413338E+07
A24037,PL1_5910_0001,   npd,eof, ORGC, 0.2211881E+06
A24037,PL1_5910_0001,   npd,eof, TSED, 0.1706669E+04
A24037,PL1_5910_0001,   npd,eof,acres, 0.2196270E+04
A24037,PL1_5910_0001,   cpd,eof, FLOW, 0.0000000E+00
A24037,PL1_5910_0001,   cpd,eof, HEAT, 0.0000000E+00
A24037,PL1_5910_0001,   cpd,eof, NH3X, 0.0000000E+00
A24037,PL1_5910_0001,   cpd,eof, NO23, 0.0000000E+00
A24037,PL1_5910_0001,   cpd,eof, ORGN, 0.0000000E+00
A24037,PL1_5910_0001,   cpd,eof, TOTN, 0.0000000E+00
A24037,PL1_5910_0001,   cpd,eof, PO4X, 0.0000000E+00
A24037,PL1_5910_0001,   cpd,eof, ORGP, 0.0000000E+00
A24037,PL1_5910_0001,   cpd,eof, TOTP, 0.0000000E+00
A24037,PL1_5910_0001,   cpd,eof, TSSX, 0.0000000E+00
A24037,PL1_5910_0001,   cpd,eof, ORGC, 0.0000000E+00
A24037,PL1_5910_0001,   cpd,eof, TSED, 0.0000000E+00
A24037,PL1_5910_0001,   cpd,eof,acres, 0.0000000E+00
A24037,PL1_5910_0001,   rcn,eof, FLOW, 0.3440116E+03
A24037,PL1_5910_0001,   rcn,eof, HEAT, 0.3540395E+04
A24037,PL1_5910_0001,   rcn,eof, NH3X, 0.2239184E+03
A24037,PL1_5910_0001,   rcn,eof, NO23, 0.2934579E+04
A24037,PL1_5910_0001,   rcn,eof, ORGN, 0.4209821E+04
A24037,PL1_5910_0001,   rcn,eof, TOTN, 0.7368317E+04
A24037,PL1_5910_0001,   rcn,eof, PO4X, 0.1295145E+04
A24037,PL1_5910_0001,   rcn,eof, ORGP, 0.9072432E+02
A24037,PL1_5910_0001,   rcn,eof, TOTP, 0.1385869E+04
A24037,PL1_5910_0001,   rcn,eof, TSSX, 0.9938458E+07
A24037,PL1_5910_0001,   rcn,eof, ORGC, 0.6713602E+05
A24037,PL1_5910_0001,   rcn,eof, TSED, 0.4969230E+04
A24037,PL1_5910_0001,   rcn,eof,acres, 0.1981870E+03
A24037,PL1_5910_0001,   ccn,eof, FLOW, 0.0000000E+00
A24037,PL1_5910_0001,   ccn,eof, HEAT, 0.0000000E+00
A24037,PL1_5910_0001,   ccn,eof, NH3X, 0.0000000E+00
A24037,PL1_5910_0001,   ccn,eof, NO23, 0.0000000E+00
A24037,PL1_5910_0001,   ccn,eof, ORGN, 0.0000000E+00
A24037,PL1_5910_0001,   ccn,eof, TOTN, 0.0000000E+00
A24037,PL1_5910_0001,   ccn,eof, PO4X, 0.0000000E+00
A24037,PL1_5910_0001,   ccn,eof, ORGP, 0.0000000E+00
A24037,PL1_5910_0001,   ccn,eof, TOTP, 0.0000000E+00
A24037,PL1_5910_0001,   ccn,eof, TSSX, 0.0000000E+00
A24037,PL1_5910_0001,   ccn,eof, ORGC, 0.0000000E+00
A24037,PL1_5910_0001,   ccn,eof, TSED, 0.0000000E+00
A24037,PL1_5910_0001,   ccn,eof,acres, 0.0000000E+00
A24037,PL1_5910_0001,   rex,eof, FLOW, 0.0000000E+00
A24037,PL1_5910_0001,   rex,eof, HEAT, 0.0000000E+00
A24037,PL1_5910_0001,   rex,eof, NH3X, 0.0000000E+00
A24037,PL1_5910_0001,   rex,eof, NO23, 0.0000000E+00
A24037,PL1_5910_0001,   rex,eof, ORGN, 0.0000000E+00
A24037,PL1_5910_0001,   rex,eof, TOTN, 0.0000000E+00
A24037,PL1_5910_0001,   rex,eof, PO4X, 0.0000000E+00
A24037,PL1_5910_0001,   rex,eof, ORGP, 0.0000000E+00
A24037,PL1_5910_0001,   rex,eof, TOTP, 0.0000000E+00
A24037,PL1_5910_0001,   rex,eof, TSSX, 0.0000000E+00
A24037,PL1_5910_0001,   rex,eof, ORGC, 0.0000000E+00
A24037,PL1_5910_0001,   rex,eof, TSED, 0.0000000E+00
A24037,PL1_5910_0001,   rex,eof,acres, 0.0000000E+00
A24037,PL1_5910_0001,   nex,eof, FLOW, 0.0000000E+00
A24037,PL1_5910_0001,   nex,eof, HEAT, 0.0000000E+00
A24037,PL1_5910_0001,   nex,eof, NH3X, 0.0000000E+00
A24037,PL1_5910_0001,   nex,eof, NO23, 0.0000000E+00
A24037,PL1_5910_0001,   nex,eof, ORGN, 0.0000000E+00
A24037,PL1_5910_0001,   nex,eof, TOTN, 0.0000000E+00
A24037,PL1_5910_0001,   nex,eof, PO4X, 0.0000000E+00
A24037,PL1_5910_0001,   nex,eof, ORGP, 0.0000000E+00
A24037,PL1_5910_0001,   nex,eof, TOTP, 0.0000000E+00
A24037,PL1_5910_0001,   nex,eof, TSSX, 0.0000000E+00
A24037,PL1_5910_0001,   nex,eof, ORGC, 0.0000000E+00
A24037,PL1_5910_0001,   nex,eof, TSED, 0.0000000E+00
A24037,PL1_5910_0001,   nex,eof,acres, 0.0000000E+00
A24037,PL1_5910_0001,   cex,eof, FLOW, 0.0000000E+00
A24037,PL1_5910_0001,   cex,eof, HEAT, 0.0000000E+00
A24037,PL1_5910_0001,   cex,eof, NH3X, 0.0000000E+00
A24037,PL1_5910_0001,   cex,eof, NO23, 0.0000000E+00
A24037,PL1_5910_0001,   cex,eof, ORGN, 0.0000000E+00
A24037,PL1_5910_0001,   cex,eof, TOTN, 0.0000000E+00
A24037,PL1_5910_0001,   cex,eof, PO4X, 0.0000000E+00
A24037,PL1_5910_0001,   cex,eof, ORGP, 0.0000000E+00
A24037,PL1_5910_0001,   cex,eof, TOTP, 0.0000000E+00
A24037,PL1_5910_0001,   cex,eof, TSSX, 0.0000000E+00
A24037,PL1_5910_0001,   cex,eof, ORGC, 0.0000000E+00
A24037,PL1_5910_0001,   cex,eof, TSED, 0.0000000E+00
A24037,PL1_5910_0001,   cex,eof,acres, 0.0000000E+00
A24037,PL1_5910_0001,   afo,eof, FLOW, 0.0000000E+00
A24037,PL1_5910_0001,   afo,eof, HEAT, 0.0000000E+00
A24037,PL1_5910_0001,   afo,eof, NH3X, 0.3626865E+03
A24037,PL1_5910_0001,   afo,eof, NO23, 0.0000000E+00
A24037,PL1_5910_0001,   afo,eof, ORGN, 0.1239450E+04
A24037,PL1_5910_0001,   afo,eof, TOTN, 0.1602136E+04
A24037,PL1_5910_0001,   afo,eof, PO4X, 0.5566947E+03
A24037,PL1_5910_0001,   afo,eof, ORGP, 0.1714193E+03
A24037,PL1_5910_0001,   afo,eof, TOTP, 0.7281141E+03
A24037,PL1_5910_0001,   afo,eof, TSSX, 0.1886088E+05
A24037,PL1_5910_0001,   afo,eof, ORGC, 0.7035868E+04
A24037,PL1_5910_0001,   afo,eof, TSED, 0.9430437E+01
A24037,PL1_5910_0001,   afo,eof,acres, 0.3545277E+01
A24037,PL1_5910_0001,   cfo,eof, FLOW, 0.0000000E+00
A24037,PL1_5910_0001,   cfo,eof, HEAT, 0.0000000E+00
A24037,PL1_5910_0001,   cfo,eof, NH3X, 0.0000000E+00
A24037,PL1_5910_0001,   cfo,eof, NO23, 0.0000000E+00
A24037,PL1_5910_0001,   cfo,eof, ORGN, 0.0000000E+00
A24037,PL1_5910_0001,   cfo,eof, TOTN, 0.0000000E+00
A24037,PL1_5910_0001,   cfo,eof, PO4X, 0.0000000E+00
A24037,PL1_5910_0001,   cfo,eof, ORGP, 0.0000000E+00
A24037,PL1_5910_0001,   cfo,eof, TOTP, 0.0000000E+00
A24037,PL1_5910_0001,   cfo,eof, TSSX, 0.0000000E+00
A24037,PL1_5910_0001,   cfo,eof, ORGC, 0.0000000E+00
A24037,PL1_5910_0001,   cfo,eof, TSED, 0.0000000E+00
A24037,PL1_5910_0001,   cfo,eof,acres, 0.0000000E+00
A24037,PL1_5910_0001,   rid,eof, FLOW, 0.1814819E+03
A24037,PL1_5910_0001,   rid,eof, HEAT, 0.1844391E+04
A24037,PL1_5910_0001,   rid,eof, NH3X, 0.3234785E+03
A24037,PL1_5910_0001,   rid,eof, NO23, 0.0000000E+00
A24037,PL1_5910_0001,   rid,eof, ORGN, 0.7064997E+03
A24037,PL1_5910_0001,   rid,eof, TOTN, 0.1029978E+04
A24037,PL1_5910_0001,   rid,eof, PO4X, 0.1095606E+03
A24037,PL1_5910_0001,   rid,eof, ORGP, 0.1655420E+02
