landseg,landuse,nutrient,max_uptake
A42071,pas,Phos,17.13463
F42071,pas,Phos,17.13463
A24013,lwm,Nitr,152.5336
F24013,lwm,Nitr,152.5336
A24013,lwm,Phos,22.023504
F24013,lwm,Phos,22.023504
F42055,pas,Nitr,113.61713
A42055,pas,Nitr,113.61713
B42055,pas,Nitr,113.61713
F42055,pas,Phos,17.04257
A42055,pas,Phos,17.04257
B42055,pas,Phos,17.04257
A42131,trp,Nitr,129.14763
B42131,trp,Nitr,129.14763
A42131,trp,Phos,19.372145
B42131,trp,Phos,19.372145
B42035,lwm,Nitr,146.26547
A42035,lwm,Nitr,146.26547
F42035,lwm,Nitr,146.26547
B42035,lwm,Phos,21.471483
A42035,lwm,Phos,21.471483
F42035,lwm,Phos,21.471483
F51087,trp,Nitr,120.31837
A51087,trp,Nitr,120.31837
F51087,trp,Phos,18.047754
A51087,trp,Phos,18.047754
F24003,trp,Nitr,107.50841
A24003,trp,Nitr,107.50841
F24003,trp,Phos,16.126261
A24003,trp,Phos,16.126261
A42029,hyw,Nitr,156.3591
A42029,hyw,Phos,23.361769
F42061,trp,Nitr,115.60963
A42061,trp,Nitr,115.60963
F42061,trp,Phos,17.341446
A42061,trp,Phos,17.341446
A24035,pas,Nitr,112.60895
F24035,pas,Nitr,112.60895
A24035,pas,Phos,16.891342
F24035,pas,Phos,16.891342
A42071,trp,Nitr,114.23087
F42071,trp,Nitr,114.23087
A42071,trp,Phos,17.134632
F42071,trp,Phos,17.134632
F42133,lwm,Nitr,142.6954
A42133,lwm,Nitr,142.6954
F42133,lwm,Phos,20.724266
A42133,lwm,Phos,20.724266
A51115,pas,Nitr,85.647064
A51115,pas,Phos,12.847059
A51037,pas,Nitr,107.37246
A51037,pas,Phos,16.105869
F24039,trp,Nitr,111.77881
A24039,trp,Nitr,111.77881
F24039,trp,Phos,16.766821
A24039,trp,Phos,16.766821
A36123,hyw,Nitr,150.52362
A36123,hyw,Phos,22.37001
A42111,trp,Nitr,117.75758
A42111,trp,Phos,17.663637
A24031,trp,Nitr,114.55421
F24031,trp,Nitr,114.55421
A24031,trp,Phos,17.18313
F24031,trp,Phos,17.18313
B42009,pas,Nitr,117.65851
A42009,pas,Nitr,117.65851
C42009,pas,Nitr,117.65851
F42009,pas,Nitr,117.65851
B42009,pas,Phos,17.648777
A42009,pas,Phos,17.648777
C42009,pas,Phos,17.648777
F42009,pas,Phos,17.648777
F42061,hyw,Nitr,158.21457
A42061,hyw,Nitr,158.21457
F42061,hyw,Phos,23.664658
A42061,hyw,Phos,23.664658
F42087,lwm,Nitr,154.39728
A42087,lwm,Nitr,154.39728
F42087,lwm,Phos,23.131166
A42087,lwm,Phos,23.131166
A24031,pas,Nitr,114.5542
F24031,pas,Nitr,114.5542
A24031,pas,Phos,17.183128
F24031,pas,Phos,17.183128
A51091,trp,Nitr,125.86263
B51091,trp,Nitr,125.86263
F51091,trp,Nitr,125.86263
A51091,trp,Phos,18.879395
B51091,trp,Phos,18.879395
F51091,trp,Phos,18.879395
F51087,hyw,Nitr,150.80936
A51087,hyw,Nitr,150.80936
F51087,hyw,Phos,22.590849
A51087,hyw,Phos,22.590849
B42035,pas,Nitr,113.69341
A42035,pas,Nitr,113.69341
F42035,pas,Nitr,113.69341
B42035,pas,Phos,17.05401
A42035,pas,Phos,17.05401
F42035,pas,Phos,17.05401
F24003,hyw,Nitr,153.63974
A24003,hyw,Nitr,153.63974
F24003,hyw,Phos,22.971361
A24003,hyw,Phos,22.971361
B54071,hyw,Nitr,160.63326
F54071,hyw,Nitr,160.63326
A54071,hyw,Nitr,160.63326
B54071,hyw,Phos,24.082516
F54071,hyw,Phos,24.082516
A54071,hyw,Phos,24.082516
F51177,hyw,Nitr,157.02432
A51177,hyw,Nitr,157.02432
F51177,hyw,Phos,23.507753
A51177,hyw,Phos,23.507753
A42083,nhy,Nitr,158.09518
A42083,nhy,Phos,23.674501
F42133,hyw,Nitr,151.20084
A42133,hyw,Nitr,151.20084
F42133,hyw,Phos,22.559668
A42133,hyw,Phos,22.559668
A36015,pas,Nitr,119.43799
F36015,pas,Nitr,119.43799
A36015,pas,Phos,17.915697
F36015,pas,Phos,17.915697
A51047,trp,Nitr,119.60972
A51047,trp,Phos,17.941458
B42009,trp,Nitr,117.65852
A42009,trp,Nitr,117.65852
C42009,trp,Nitr,117.65852
F42009,trp,Nitr,117.65852
B42009,trp,Phos,17.648777
A42009,trp,Phos,17.648777
C42009,trp,Phos,17.648777
F42009,trp,Phos,17.648777
A51007,hyw,Nitr,150.31715
A51007,hyw,Phos,22.448463
A54063,trp,Nitr,140.76286
F54063,trp,Nitr,140.76286
A54063,trp,Phos,21.114429
F54063,trp,Phos,21.114429
A10005,hyw,Nitr,120.57938
F10005,hyw,Nitr,120.57938
A10005,hyw,Phos,17.992096
F10005,hyw,Phos,17.992096
A51011,lwm,Nitr,157.13785
F51011,lwm,Nitr,157.13785
A51011,lwm,Phos,22.913988
F51011,lwm,Phos,22.913988
F24003,lwm,Nitr,153.44016
A24003,lwm,Nitr,153.44016
F24003,lwm,Phos,20.604153
A24003,lwm,Phos,20.604153
B42035,trp,Nitr,113.69341
A42035,trp,Nitr,113.69341
F42035,trp,Nitr,113.69341
B42035,trp,Phos,17.05401
A42035,trp,Phos,17.05401
F42035,trp,Phos,17.05401
A51047,hyw,Nitr,158.40956
A51047,hyw,Phos,23.714083
A42111,hyw,Nitr,157.95712
A42111,hyw,Phos,23.63142
A54063,hyw,Nitr,155.63916
F54063,hyw,Nitr,155.63916
A54063,hyw,Phos,23.275057
F54063,hyw,Phos,23.275057
A42131,nal,Nitr,358.27036
B42131,nal,Nitr,358.27036
A42131,nal,Phos,53.740459
B42131,nal,Phos,53.740459
A42029,pas,Nitr,121.73507
A42029,pas,Phos,18.26026
F51137,trp,Nitr,122.71967
A51137,trp,Nitr,122.71967
F51137,trp,Phos,18.407949
A51137,trp,Phos,18.407949
A24013,trp,Nitr,121.3582
F24013,trp,Nitr,121.3582
A24013,trp,Phos,18.20373
F24013,trp,Phos,18.20373
A36015,trp,Nitr,119.43799
F36015,trp,Nitr,119.43799
A36015,trp,Phos,17.915697
F36015,trp,Phos,17.915697
F24039,hyw,Nitr,141.36649
A24039,hyw,Nitr,141.36649
F24039,hyw,Phos,21.109816
A24039,hyw,Phos,21.109816
A42083,pas,Nitr,124.89342
A42083,pas,Phos,18.734013
A51091,hyw,Nitr,163.12141
B51091,hyw,Nitr,163.12141
F51091,hyw,Nitr,163.12141
A51091,hyw,Phos,24.471441
B51091,hyw,Phos,24.471441
F51091,hyw,Phos,24.471441
A42069,trp,Phos,17.921007
F42069,trp,Phos,17.921007
F51149,trp,Nitr,119.69578
A51149,trp,Nitr,119.69578
F51149,trp,Phos,17.954367
A51149,trp,Phos,17.954367
A51111,pas,Nitr,104.74608
A51111,pas,Phos,15.711912
