 STATION SU7_0850_0730 for TOTN
   upstream segment SU1_0200_0270 SU8_1610_1530 TOTP
   upstream segment SU3_0170_0270 SU8_1610_1530 TOTP
   upstream segment SU2_0360_0460 SU8_1610_1530 TOTP
   upstream segment SU5_0400_0460 SU8_1610_1530 TOTP
   upstream segment SU1_0840_0831 SU8_1610_1530 TOTP
   upstream segment SU2_0830_0831 SU8_1610_1530 TOTP
   upstream segment SU3_0090_0170 SU8_1610_1530 TOTP
   upstream segment SU1_0380_0400 SU8_1610_1530 TOTP
   upstream segment SU5_0310_0400 SU8_1610_1530 TOTP
   upstream segment SU2_0920_0830 SU8_1610_1530 TOTP
   upstream segment SU1_0050_0090 SU8_1610_1530 TOTP
   upstream segment SU2_0070_0090 SU8_1610_1530 TOTP
   upstream segment SU4_0300_0310 SU8_1610_1530 TOTP
   upstream segment SU5_0340_0310 SU8_1610_1530 TOTP
   upstream segment SU2_0210_0300 SU8_1610_1530 TOTP
   upstream segment SU3_0190_0300 SU8_1610_1530 TOTP
   upstream segment SU2_0320_0340 SU8_1610_1530 TOTP
   upstream segment SU4_0250_0340 SU8_1610_1530 TOTP
   upstream segment SU1_0080_0210 SU8_1610_1530 TOTP
   upstream segment SU1_0060_0190 SU8_1610_1530 TOTP
   upstream segment SU3_0010_0190 SU8_1610_1530 TOTP
   upstream segment SU2_0291_0320 SU8_1610_1530 TOTP
   upstream segment SU2_0130_0250 SU8_1610_1530 TOTP
   upstream segment SU4_0220_0250 SU8_1610_1530 TOTP
   upstream segment SU2_0290_0291 SU8_1610_1530 TOTP
   upstream segment SU2_0150_0220 SU8_1610_1530 TOTP
   upstream segment SU4_0230_0220 SU8_1610_1530 TOTP
   upstream segment SU2_0100_0230 SU8_1610_1530 TOTP
   upstream segment SU3_0180_0230 SU8_1610_1530 TOTP
   upstream segment SU2_0040_0180 SU8_1610_1530 TOTP
   upstream segment SU3_0140_0180 SU8_1610_1530 TOTP
   upstream segment SU2_0020_0140 SU8_1610_1530 TOTP
   upstream segment SU2_0030_0140 SU8_1610_1530 TOTP
     upstream station SU3_0970_1120 SU8_1610_1530 TOTP
     upstream station SU3_0710_0910 SU8_1610_1530 TOTP
