TABLE->,PSTEMP-PARM1,PSTEMP-PARM1,PSTEMP-PARM1,PSTEMP-PARM1,PSTEMP-PARM2,PSTEMP-PARM2,PSTEMP-PARM2,PSTEMP-PARM2,PSTEMP-PARM2,PSTEMP-PARM2,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-ASLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-BSLT,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP1,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-ULTP2,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,MON-LGTP1,PSTEMP-TEMPS,PSTEMP-TEMPS,PSTEMP-TEMPS,PSTEMP-TEMPS
A36109,1,1,1,1,0,1,0,0,0,0,26.75,27.79,31.67,38.02,43.88,48.33,50.32,49.53,45.42,39.73,34.67,29.23,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,22.55,24.42,31.41,42.83,53.38,61.4,64.97,63.56,56.16,45.91,36.8,27.01,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A36123,1,1,1,1,0,1,0,0,0,0,26.31,27.28,31.07,37.44,43.31,47.74,49.7,48.87,45.01,39.44,34.19,28.73,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,21.75,23.51,30.32,41.79,52.37,60.33,63.86,62.37,55.42,45.39,35.94,26.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A37001,1,1,1,1,0,1,0,0,0,0,34.74,36.48,40.16,44.89,49.17,53.41,55.36,54.17,50.6,45.03,40.29,35.84,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,36.94,40.07,46.68,55.21,62.91,70.54,74.05,71.91,65.48,55.46,46.93,38.91,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A37005,1,1,1,1,0,1,0,0,0,0,30.95,32.65,35.88,40.13,44.4,48.24,50.1,49.24,45.81,40.45,36.2,31.93,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,30.11,33.17,38.99,46.63,54.32,61.23,64.58,63.02,56.85,47.21,39.55,31.88,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A37009,1,1,1,1,0,1,0,0,0,0,30.78,32.54,35.77,39.95,44.21,47.9,49.75,48.91,45.65,40.45,36.24,31.9,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,29.81,32.97,38.78,46.31,53.98,60.62,63.95,62.44,56.57,47.21,39.64,31.82,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A37033,1,1,1,1,0,1,0,0,0,0,34.55,36.35,39.94,44.84,49.16,53.42,55.42,54.26,50.7,45,40.25,35.74,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,36.6,39.82,46.28,55.11,62.88,70.56,74.16,72.07,65.66,55.4,46.85,38.73,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A37067,1,1,1,1,0,1,0,0,0,0,34.59,36.55,40.12,44.87,49.03,53.12,54.96,53.94,50.45,44.94,40.16,35.68,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,36.67,40.19,46.62,55.17,62.65,70.02,73.33,71.49,65.22,55.3,46.69,38.63,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A37077,1,1,1,1,0,1,0,0,0,0,34.24,36.01,39.58,44.5,48.9,53.18,55.29,54.11,50.55,44.71,40.04,35.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,36.03,39.22,45.65,54.49,62.42,70.13,73.92,71.8,65.39,54.88,46.48,38.27,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A37081,1,1,1,1,0,1,0,0,0,0,34.62,36.53,40.1,44.86,49.03,53.16,54.97,53.95,50.46,44.96,40.26,35.74,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,36.71,40.15,46.58,55.15,62.65,70.08,73.35,71.51,65.24,55.34,46.86,38.73,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A37131,1,1,1,1,0,1,0,0,0,0,34.75,36.52,39.97,44.88,49.29,53.58,55.61,54.39,51.04,45.31,40.72,36.18,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,36.95,40.14,46.35,55.19,63.12,70.84,74.5,72.3,66.28,55.95,47.7,39.53,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A37135,1,1,1,1,0,1,0,0,0,0,34.73,36.45,40.14,44.83,49.09,53.32,55.26,54.1,50.5,44.94,40.29,35.84,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,36.91,40,46.65,55.1,62.76,70.37,73.86,71.77,65.3,55.3,46.92,38.91,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A37145,1,1,1,1,0,1,0,0,0,0,34.31,36.06,39.61,44.43,48.78,53.04,55.16,54,50.44,44.72,39.95,35.53,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,36.16,39.32,45.7,54.38,62.2,69.87,73.68,71.6,65.18,54.89,46.32,38.35,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A37157,1,1,1,1,0,1,0,0,0,0,34.4,36.22,39.81,44.75,48.98,53.21,55.11,54.02,50.47,44.82,40.09,35.56,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,36.32,39.6,46.06,54.95,62.56,70.18,73.59,71.63,65.24,55.08,46.55,38.4,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A37169,1,1,1,1,0,1,0,0,0,0,34.14,35.98,39.48,44.28,48.52,52.65,54.48,53.52,50.07,44.5,39.75,35.24,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,35.84,39.16,45.46,54.1,61.74,69.16,72.46,70.74,64.52,54.5,45.95,37.83,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A37171,1,1,1,1,0,1,0,0,0,0,33.69,35.43,38.89,43.42,47.72,51.7,53.52,52.66,49.25,43.9,39.22,34.68,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,35.05,38.17,44.4,52.55,60.29,67.47,70.73,69.18,63.04,53.42,45,36.83,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A37181,1,1,1,1,0,1,0,0,0,0,34.42,36.19,39.83,44.71,49.14,53.4,55.45,54.23,50.81,44.91,40.37,35.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,36.36,39.54,46.1,54.87,62.85,70.52,74.22,72.02,65.85,55.24,47.07,38.65,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A37185,1,1,1,1,0,1,0,0,0,0,34.39,36.18,39.78,44.77,49.2,53.51,55.59,54.37,50.9,44.96,40.42,35.69,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,36.3,39.53,46,54.98,62.95,70.72,74.47,72.26,66.02,55.32,47.16,38.65,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A37189,1,1,1,1,0,1,0,0,0,0,31.26,32.96,36.18,40.66,44.89,48.48,50.38,49.48,46.4,41.5,37.07,32.58,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,30.66,33.73,39.53,47.59,55.2,61.66,65.08,63.47,57.92,49.1,41.13,33.04,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42001,1,1,1,1,0,1,0,0,0,0,30.62,32.33,36.2,41.82,46.78,51.31,53.49,52.48,48.51,42.62,37.62,32.61,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,29.52,32.59,39.55,49.67,58.6,66.76,70.68,68.87,61.72,51.12,42.12,33.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42009,1,1,1,1,0,1,0,0,0,0,29.39,30.99,34.72,40.57,45.31,49.69,51.7,50.78,46.93,41.32,36.36,31.21,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,27.31,30.19,36.89,47.43,55.95,63.84,67.46,65.8,58.88,48.77,39.85,30.57,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42011,1,1,1,1,0,1,0,0,0,0,29.27,30.8,34.87,40.42,45.6,50.16,52.3,51.41,47.29,41.35,36.51,31.34,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,27.08,29.85,37.16,47.16,56.47,64.69,68.54,66.94,59.53,48.84,40.11,30.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42013,1,1,1,1,0,1,0,0,0,0,28.74,30.17,33.9,40,44.9,49.39,51.3,50.43,46.59,40.99,36.02,30.69,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,26.14,28.7,35.42,46.4,55.22,63.31,66.73,65.17,58.27,48.19,39.24,29.64,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42015,1,1,1,1,0,1,0,0,0,0,27.12,28.4,32.32,38.52,44.19,48.61,50.6,49.78,45.66,39.85,34.8,29.52,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,23.22,25.51,32.58,43.74,53.94,61.9,65.47,64,56.59,46.13,37.03,27.53,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42021,1,1,1,1,0,1,0,0,0,0,28.09,29.45,33.18,39.27,44.25,48.62,50.46,49.57,45.85,40.22,35.32,30,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,24.97,27.41,34.12,45.09,54.04,61.91,65.22,63.63,56.93,46.79,37.98,28.39,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42023,1,1,1,1,0,1,0,0,0,0,26.95,28.28,32.11,38.35,43.75,47.81,49.77,49.09,45.25,39.59,34.47,29.08,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,22.91,25.3,32.2,43.43,53.14,60.46,63.99,62.75,55.85,45.65,36.44,26.74,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42025,1,1,1,1,0,1,0,0,0,0,27.36,28.75,32.8,38.4,43.72,48,50.14,49.29,45.2,39.62,34.98,29.62,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,23.64,26.14,33.43,43.53,53.1,60.81,64.65,63.11,55.77,45.71,37.36,27.71,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42027,1,1,1,1,0,1,0,0,0,0,28.33,29.78,33.6,39.78,44.91,49.22,51.17,50.32,46.34,40.63,35.63,30.38,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,25.4,28,34.88,46.01,55.24,63,66.51,64.98,57.81,47.54,38.53,29.08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42029,1,1,1,1,0,1,0,0,0,0,30.46,32.04,35.94,41.28,46.47,51.08,53.1,52.21,48.06,42.14,37.15,32.22,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,29.23,32.07,39.09,48.71,58.04,66.35,69.97,68.38,60.91,50.25,41.27,32.39,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42033,1,1,1,1,0,1,0,0,0,0,27.79,29.17,32.93,39.13,44.21,48.55,50.41,49.65,45.79,40.11,35.13,29.8,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,24.43,26.9,33.67,44.84,53.98,61.78,65.14,63.76,56.81,46.6,37.64,28.04,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42035,1,1,1,1,0,1,0,0,0,0,27.31,28.68,32.52,38.72,44.26,48.27,50.26,49.48,45.56,39.88,34.7,29.36,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,23.56,26.03,32.93,44.1,54.06,61.28,64.87,63.46,56.41,46.18,36.87,27.25,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42037,1,1,1,1,0,1,0,0,0,0,28.34,29.82,33.88,39.82,45.13,49.63,51.69,50.76,46.6,40.82,35.83,30.57,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,25.41,28.07,35.38,46.08,55.64,63.73,67.45,65.76,58.29,47.88,38.9,29.43,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42041,1,1,1,1,0,1,0,0,0,0,30.12,31.78,35.66,41.48,46.52,51.18,53.31,52.34,48.25,42.43,37.31,32.17,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,28.61,31.61,38.6,49.06,58.14,66.52,70.36,68.61,61.25,50.77,41.55,32.31,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42043,1,1,1,1,0,1,0,0,0,0,29.34,30.94,34.9,40.7,45.8,50.39,52.46,51.49,47.47,41.68,36.62,31.48,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,27.21,30.1,37.21,47.66,56.84,65.1,68.82,67.08,59.85,49.42,40.31,31.07,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42047,1,1,1,1,0,1,0,0,0,0,26.9,28.3,32.08,38.34,43.62,47.75,49.67,48.98,45.16,39.54,34.45,29.05,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,22.82,25.33,32.15,43.42,52.91,60.34,63.8,62.57,55.69,45.57,36.41,26.68,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42055,1,1,1,1,0,1,0,0,0,0,30.53,32.3,36.12,41.98,46.9,51.39,53.36,52.4,48.38,42.63,37.45,32.37,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,29.36,32.53,39.42,49.96,58.82,66.91,70.46,68.72,61.48,51.13,41.8,32.67,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42057,1,1,1,1,0,1,0,0,0,0,29.9,31.51,35.28,41,45.86,50.29,52.38,51.37,47.41,41.73,36.79,31.71,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,28.22,31.12,37.91,48.2,56.95,64.92,68.68,66.86,59.74,49.51,40.63,31.48,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42061,1,1,1,1,0,1,0,0,0,0,29.36,30.84,34.51,40.57,45.53,50.04,52.05,51.17,47.25,41.56,36.57,31.35,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,27.25,29.92,36.52,47.43,56.35,64.47,68.09,66.51,59.44,49.21,40.23,30.83,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42063,1,1,1,1,0,1,0,0,0,0,28.28,29.61,33.38,39.48,44.33,48.86,50.68,49.87,46.13,40.39,35.52,30.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,25.31,27.69,34.48,45.46,54.19,62.34,65.62,64.16,57.44,47.1,38.34,28.84,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42065,1,1,1,1,0,1,0,0,0,0,28.02,29.32,33.12,39.26,44.16,48.61,50.41,49.63,45.88,40.19,35.29,29.96,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,24.83,27.18,34.02,45.07,53.89,61.91,65.14,63.73,56.98,46.74,37.93,28.33,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42067,1,1,1,1,0,1,0,0,0,0,29.4,31.02,34.83,40.79,45.83,50.3,52.38,51.48,47.49,41.74,36.68,31.47,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,27.33,30.23,37.1,47.83,56.9,64.94,68.69,67.07,59.88,49.53,40.42,31.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42069,1,1,1,1,0,1,0,0,0,0,27.19,28.52,32.59,38.66,44.09,48.44,50.52,49.72,45.58,39.89,34.92,29.59,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,23.34,25.73,33.07,43.99,53.76,61.59,65.34,63.89,56.44,46.19,37.25,27.67,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42071,1,1,1,1,0,1,0,0,0,0,30.14,31.75,35.7,41.18,46.37,50.96,52.94,52,47.92,42.03,37.01,32.03,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,28.66,31.55,38.66,48.53,57.86,66.12,69.69,68.01,60.65,50.05,41.02,32.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42075,1,1,1,1,0,1,0,0,0,0,29.65,31.24,35.27,40.99,46.13,50.67,52.68,51.72,47.73,41.9,36.86,31.76,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,27.77,30.64,37.89,48.18,57.43,65.61,69.22,67.5,60.31,49.83,40.75,31.56,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42079,1,1,1,1,0,1,0,0,0,0,28,29.43,33.45,39.39,44.73,49.08,51.21,50.39,46.19,40.39,35.54,30.33,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,24.8,27.37,34.62,45.3,54.92,62.75,66.58,65.11,57.55,47.1,38.38,28.99,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42081,1,1,1,1,0,1,0,0,0,0,27.22,28.62,32.49,38.67,44.16,48.3,50.29,49.45,45.44,39.8,34.72,29.36,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,23.4,25.91,32.88,44.01,53.9,61.34,64.91,63.4,56.19,46.04,36.89,27.25,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42083,1,1,1,1,0,1,0,0,0,0,26.3,27.47,31.41,37.7,43.09,47.14,49.08,48.35,44.58,39.01,33.94,28.47,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,21.75,23.84,30.94,42.26,51.96,59.25,62.74,61.43,54.64,44.61,35.5,25.64,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42087,1,1,1,1,0,1,0,0,0,0,29.11,30.66,34.39,40.47,45.55,49.95,51.96,51.08,47.1,41.38,36.37,31.16,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,26.8,29.59,36.3,47.24,56.39,64.3,67.94,66.35,59.18,48.89,39.86,30.48,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42093,1,1,1,1,0,1,0,0,0,0,28.96,30.56,34.6,40.67,45.94,50.49,52.5,51.53,47.33,41.54,36.3,31.08,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,26.54,29.41,36.68,47.6,57.1,65.28,68.9,67.15,59.6,49.17,39.74,30.34,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
A42097,1,1,1,1,0,1,0,0,0,0,29.04,30.65,34.64,40.64,45.85,50.38,52.39,51.43,47.31,41.52,36.35,31.14,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,26.67,29.56,36.75,47.54,56.92,65.08,68.7,66.98,59.55,49.14,39.83,30.45,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,46.51,45.41,46.57,49.09,52.79,56.03,59.01,60.41,59.74,57.2,53.27,49.9,32,32,32,50
