 seg ,TOTN,TOTP
SU2_0160_0260,    1.1107,    0.9547
SU4_0630_0650,    1.1107,    0.9547
SU2_0830_0831,    1.1107,    0.9547
SU3_0831_0790,    1.1107,    0.9547
SU3_0790_0770,    1.1107,    0.9547
SU1_0380_0400,    1.1107,    0.9547
SU1_0080_0210,    1.1107,    0.9547
SU4_0260_0350,    1.1107,    0.9547
SU4_0350_0420,    1.1107,    0.9547
SU2_0070_0090,    1.1107,    0.9547
SU3_0090_0170,    1.1107,    0.9547
SU3_0770_0690,    1.1107,    0.9547
SU4_0690_0650,    1.1107,    0.9547
SU5_0650_0530,    1.1107,    0.9547
SU3_0170_0270,    1.1107,    0.9547
SU2_0290_0291,    1.1107,    0.9547
SU1_0060_0190,    1.1107,    0.9547
SU4_0270_0430,    1.1107,    0.9547
SU2_0210_0300,    1.1107,    0.9547
SU2_0130_0250,    1.1107,    0.9547
SU4_0430_0420,    1.1107,    0.9547
SU5_0530_0610,    1.1107,    0.9547
SU5_0610_0600,    1.1107,    0.9547
SU5_0420_0500,    1.1107,    0.9547
SU2_0291_0320,    1.1107,    0.9547
SU3_0010_0190,    1.1107,    0.9547
SU5_0600_0750,    1.1107,    0.9547
SU3_0190_0300,    1.1107,    0.9547
SU4_0300_0310,    1.1107,    0.9547
SU2_0150_0220,    1.1107,    0.9547
SU2_0100_0230,    1.1107,    0.9547
SU2_0320_0340,    1.1107,    0.9547
SU2_0040_0180,    1.1107,    0.9547
SU2_0020_0140,    1.1107,    0.9547
SU2_0030_0140,    1.1107,    0.9547
SU3_0140_0180,    1.1107,    0.9547
SU3_0180_0230,    1.1107,    0.9547
SU4_0230_0220,    1.1107,    0.9547
SU4_0220_0250,    1.1107,    0.9547
SU4_0250_0340,    1.1107,    0.9547
SU5_0340_0310,    1.1107,    0.9547
SU5_0310_0400,    1.1107,    0.9547
SU5_0400_0460,    1.1107,    0.9547
SU5_0460_0480,    1.1107,    0.9547
SU6_0480_0520,    1.1107,    0.9547
SU6_0520_0500,    1.1107,    0.9547
SU6_0500_0550,    1.1107,    0.9547
SU7_0550_0540,    1.1107,    0.9547
SU7_0540_0720,    1.1107,    0.9547
SU7_0720_0750,    1.1107,    0.9547
SU7_0750_0850,    1.1107,    0.9547
SU7_0850_0730,    1.1107,    0.9547
SU7_0730_0860,    1.3924,    0.9547
SU7_0860_0960,    1.3924,    0.9547
SU7_0960_0950,    1.3924,    0.9547
SU7_0950_1010,    1.3924,    0.9547
SU7_1010_0980,    1.3924,    0.9547
SU7_0980_1120,    1.3924,    0.9547
SU7_1120_1140,    1.3924,    0.9547
SU7_1140_1420,    1.3924,    0.9547
SU7_1420_1590,    1.3924,    0.9547
SU8_1590_1620,    1.3924,    0.9547
SU8_1620_1610,    1.3924,    0.9547
SU8_1610_1530,    1.3924,    0.9547
 seg ,TOTN,TOTP
SW1_1450_1510, -999.0000, -999.0000
SW1_1570_1640,    1.3589,    1.1988
SW1_1560_1460,    1.3589,    1.1988
SW1_1180_1190,    1.3589,    1.1988
SW1_1160_1260,    1.3589,    1.1988
SW2_1190_1410,    1.3589,    1.1988
SW3_1040_1220,    1.3589,    0.9312
SW2_1030_1060,    1.3589,    1.1988
SW2_1070_1060,    1.3589,    1.1988
SW3_1250_1340,    1.3589,    1.1988
SW3_1220_1320,    1.3589,    1.1988
SW3_1060_1260,    1.3589,    1.1988
SW4_1260_1300,    1.3589,    1.1988
SW3_1080_1350,    1.3589,    1.1988
SW0_1520_1600,    1.3589,    1.1988
SW2_1000_1110,    1.3589,    1.1988
SW2_0880_0930,    1.3589,    1.1988
SW2_1100_1130,    1.3589,    1.1988
SW1_1910_1890,    1.3589,    1.1988
SW2_1050_0930,    1.3589,    1.1988
SW3_1600_1580,    1.3589,    1.1988
SW3_1090_1091,    1.3589,    1.1988
SW2_1770_1690,    1.3589,    1.1988
SW3_0930_1110,    1.3589,    1.1988
SW4_1110_1150,    1.3589,    1.1988
SW1_1890_1830,    1.3589,    1.1988
SW3_1130_1390,    1.3589,    1.1988
SW3_1920_1750,    1.3589,    1.1988
SW1_1830_1690,    1.3589,    1.1988
SW4_1150_1350,    1.3589,    1.1988
SW5_1350_1470,    1.3589,    1.1988
SW3_1690_1660,    1.3589,    1.1988
SW2_1360_1430,    1.3589,    1.1988
SW3_1390_1330,    1.3589,    1.1988
SW3_1091_1380,    1.3589,    1.1988
SW3_1660_1580,    1.3589,    1.1988
SW3_1870_1800,    1.3589,    1.1988
SW3_1750_1540,    1.3589,    1.1988
SW1_1170_1270,    1.3589,    1.1988
SW2_1240_1270,    1.3589,    1.1988
SW3_1380_1490,    1.3589,    1.1988
SW3_1580_1440,    1.3589,    1.1988
SW2_1950_1940,    1.3589,    1.1988
SW3_1800_1650,    1.3589,    1.1988
SW2_2020_1940,    1.3589,    1.1988
SW3_1270_1370,    1.3589,    1.1988
SW3_1370_1430,    1.3589,    1.1988
SW4_1940_1860,    1.3589,    1.1988
SW4_1860_1720,    1.3589,    1.1988
SW4_1430_1490,    1.3589,    1.1988
SW4_1490_1400,    1.3589,    1.1988
SW4_1720_1650,    1.3589,    1.1988
SW5_1650_1540,    1.3589,    1.1988
SW5_1540_1400,    1.3589,    1.1988
SW6_1400_1330,    1.3589,    1.1988
SW6_1330_1230,    1.3589,    1.1988
SW6_1230_1440,    1.3589,    1.1988
SW6_1440_1470,    1.3589,    1.1988
SW7_1470_1340,    1.3589,    1.1988
SW7_1340_1320,    1.3589,    1.1988
SW7_1320_1300,    1.3589,    1.1988
SW7_1300_1410,    1.3589,    1.1988
SW7_1410_1460,    1.3589,    1.1988
SW7_1460_1640,    1.3589,    1.1988
SW7_1640_1680, -999.0000, -999.0000
 seg ,TOTN,TOTP
TU2_8790_9070,    0.9164,    0.9386
TU1_9220_9200, -999.0000, -999.0000
TU2_9070_9090, -999.0000, -999.0000
TU2_8950_9040,    1.0028,    0.9541
TU2_9100_9200, -999.0000, -999.0000
TU2_9200_9180, -999.0000, -999.0000
TU3_9040_9180, -999.0000, -999.0000
TU3_9180_9090, -999.0000, -999.0000
TU3_8880_9230, -999.0000, -999.0000
TU3_9060_9230, -999.0000, -999.0000
TU3_9230_9260, -999.0000, -999.0000
TU1_9010_9290, -999.0000, -999.0000
TU3_8650_8800,    1.0039,    0.9465
TU4_8800_9290, -999.0000, -999.0000
TU2_8970_9280, -999.0000, -999.0000
TU2_8860_9000, -999.0000, -999.0000
TU1_8570_8680,    0.9149,    0.7291
TU3_8480_8680,    0.9149,    0.7291
TU4_8680_8810,    0.9149,    0.7291
TU4_8810_9000, -999.0000, -999.0000
TU5_9000_9280, -999.0000, -999.0000
 seg ,TOTN,TOTP
XU0_4090_4270,    1.1684,    0.9783
XU0_4130_4070,    0.9309,    0.6442
XU0_4091_4270,    1.1684,    0.9783
XU2_4270_4650,    1.4707,    0.8227
XU2_4070_4330,    0.5171,    0.4380
XU2_4330_4480,    0.5171,    0.4380
XU2_4480_4650,    1.4707,    0.8227
XU3_4650_0001,    1.4707,    0.8227
 seg ,TOTN,TOTP
YM1_6370_6620,    0.8364,    0.7261
YM2_6120_6430,    0.8364,    0.8956
YM3_6430_6620,    0.8364,    0.7261
YM4_6620_0001, -999.0000, -999.0000
 seg ,TOTN,TOTP
YP1_6570_6680,    0.9160,    0.9882
YP3_6470_6690,    0.9160,    0.9855
YP2_6390_6330,    0.7056,    0.4243
YP1_6680_6670,    0.9160,    0.9855
YP3_6690_6720,    0.9160,    0.9855
YP3_6330_6700,    0.7056,    0.9855
YP3_6700_6670,    0.9160,    0.9855
YP3_6670_6720,    0.9160,    0.9855
YP4_6720_6750,    0.9160,    0.9855
YP4_6750_0001, -999.0000, -999.0000
