riverseg,Total EOF Loads (lbs/yr) ***
JU3_6640_6790,588131.1342
JU3_6650_7300,589682.9939
JU3_6790_7260,1212892.987
JU3_6900_6950,68629.65034
JU3_6950_7330,222467.112
JU3_7400_7510,92163.57812
JU3_7490_7400,246733.3206
JU4_7000_7300,212203.4251
JU4_7260_7380,162792.8957
JU4_7330_7000,28615.81973
JU4_7380_7160,46465.66412
JU5_7300_7510,196270.8926
JU5_7420_7160,399481.7918
JU5_7500_7420,523868.6727
JU5_7510_7500,66786.39294
KU0_8980_0000,436220.8992
MN0_7790_0000,34989.95901
MN0_7870_0000,681413.7385
MN0_8040_0000,812580.1847
MN0_8300_0001,184961.0244
MN1_7590_7860,710349.5413
MN1_7620_7710,630735.9753
MN1_7730_8160,512748.3491
MN1_7990_8100,164919.7479
MN1_8240_0000,846841.8264
MN2_7720_7830,449313.9525
MN2_7830_7950,662420.3195
MN2_7850_0000,1769476.898
MN2_8100_8190,320467.4972
MN2_8250_8190,422890.1649
MN2_8530_8510,209935.3714
MN3_7540_7680,1783225.697
MN3_7680_7860,318783.7277
MN3_7770_7930,1286408.862
MN3_7860_8080,517051.7398
MN3_7930_8010,980108.1837
MN3_8010_7950,58218.96869
MN3_8150_0000,1101038.764
MN3_8190_8260,1074745.499
MN4_7710_8161,1220456.63
MN4_7810_8080,684838.9206
MN4_7950_7710,53209.58497
MN4_8080_8110,356748.0125
MN4_8110_0000,1031219.905
MN4_8260_8400,721070.0345
MN4_8380_0000,896492.2079
MN4_8400_8380,325836.1774
MN4_8510_8380,893419.6411
MN5_8160_0000,1081522.209
MN5_8161_8160,188356.0516
MN5_8230_8161,1173365.408
NR0_8310_0000,392506.6212
NR1_7880_8050,86206.86862
NR1_8030_8051,277011.5426
NR1_8820_8760,631031.8492
NR1_8960_8870,418135.9292
NR1_9030_9080,272663.1822
NR1_9150_9050,720770.352
NR2_8210_8180,771879.641
NR2_8600_8700,1477817.502
NR2_9250_9170,398394.4496
NR3_8290_8170,964519.9102
NR3_8420_8430,1628733.313
NR3_8430_7820,311991.5038
NR3_8690_8500,1297932.14
NR3_8740_8500,414343.0896
NR3_9170_9130,268544.7162
NR3_9190_9170,146570.0883
NR3_9240_9130,559838.9375
NR3_9310_9240,781054.3027
NR4_9130_9080,262238.357
NR5_8700_8640,96417.1259
NR5_8760_8640,354353.4597
NR5_8870_8760,1086850.252
NR5_9050_8870,120159.6078
NR5_9080_9050,626731.2821
NR6_7820_7960,1685067.458
NR6_7960_8050,31201.23661
NR6_8000_0000,17019.24275
NR6_8050_8051,84756.79149
NR6_8051_8000,29183.24019
NR6_8170_7960,137118.9858
NR6_8180_8051,46037.43781
NR6_8500_7820,699035.6985
NR6_8640_8500,163097.0408
OD6_8621_8470,35347.4577
OD3_8931_9140,180657.438
OD1_8910_8930,320795.2415
OD1_9270_9110,460087.1822
OD2_8560_8630,556381.0589
OD2_8670_8890,505206.1357
OD2_8830_8710,289915.4916
OD2_8840_9020,457543.1229
OD2_8920_8830,681153.4925
OD3_8340_8520,2559114.752
OD3_8520_8621,198476.4568
OD3_8630_8720,541838.4628
OD3_8710_8470,446159.6292
OD3_8720_8900,532038.08
OD3_8850_8931,341029.4426
OD3_8930_8931,206272.8457
OD3_9020_9110,791035.0871
OD4_8990_8900,339460.757
