riverseg,Additional EOS Loads (lbs/yr) ***
PM1_4500_4580,2370.110748
PM2_2860_3040,7859.729067
PM2_3400_3340,0
PM2_4860_4670,9.122075
PM3_3040_3340,7351.76649
PM3_4660_4620,60.92326
PM3_4670_4660,3388.574739
PM4_3340_3341,6166.49731
PM4_3341_4040,89757.46004
PM4_4040_4410,10172.52805
PM7_4150_4290,5694.181798
PM7_4200_4410,1988.991935
PM7_4290_4200,337.65967
PM7_4410_4620,6218.3259
PM7_4580_4820,2195.2867
PM7_4620_4580,7493.05713
PM7_4820_0001,322.96703
PS0_6150_6160,253.9125
PS0_6160_6161,29.976052
PS1_4790_4830,6.274456
PS1_4830_5080,4487.569986
PS2_5550_5560,37.36837
PS2_5560_5100,30335.44192
PS2_6420_6360,5.676716
PS2_6490_6420,8.231351
PS2_6660_6490,30616.4975
PS2_6730_6660,5778.35
PS3_5100_5080,60965.41727
PS3_5990_6161,56962.89792
PS3_6161_6280,70382.51841
PS3_6280_6230,1058.501734
PS3_6460_6230,35927.27329
PS4_5080_4380,29.5236611
PS4_5840_5240,103511.882
PS4_6230_6360,16.78346
PS4_6360_5840,6.226124
PS5_4370_4150,8979.365
PS5_4380_4370,28184.02557
PS5_5200_4380,13709.94146
PS5_5240_5200,6663.042989
PU0_3000_3090,17872.59268
PU0_3601_3602,1138.62566
PU0_3611_3530,74.0096
PU0_3751_3752,39.07718
PU0_3871_3690,70.48695
PU0_5620_5380,3208.03707
PU0_6080_5620,313.193833
PU1_3030_3440,1829.69361
PU1_3100_3690,57.039524
PU1_3170_3580,1423.794
PU1_3580_3780,2709.1188
PU1_3850_4190,249.27862
PU1_3940_3970,4572.53445
PU1_4190_4300,2663.983
PU1_4300_4440,30.85695
PU1_4760_4450,16.41121
PU1_4840_4760,93028.33
PU1_5380_5050,1298.44172
PU1_5520_5210,13.57737
PU1_5820_5380,8788.34337
PU2_2790_3290,84979.21
PU2_2840_3080,2859.72033
PU2_3080_3640,60.39136
PU2_3090_4050,71254.0449
PU2_3140_3680,440.20102
PU2_3180_3370,20.84316
PU2_3370_4020,980.80833
PU2_3630_3590,3381.446597
PU2_3770_3600,915.9043
PU2_3900_3750,71890.19092
PU2_4050_4180,988.05091
PU2_4160_3930,6240.62875
PU2_4220_3900,18695.36453
PU2_4340_3860,979.29703
PU2_4360_4160,2272.96405
PU2_4720_4750,109456.9401
PU2_4730_4220,44475.72811
PU2_4750_4450,220.93961
PU2_5190_4310,17620.0823
PU2_5700_5210,476.0933245
PU2_6050_5190,1842.851
PU3_2510_3290,0
PU3_3290_3390,7774.79268
PU3_3390_3730,3734.2981
PU3_3680_3890,209.8072
PU3_3860_3610,3614.448
PU3_4280_3860,8769.131
PU3_4450_4440,7750.5495
PU3_5210_5050,1779.00452
PU4_3780_3930,21702.3575
PU4_3890_3990,360.92161
PU4_3970_3890,66648.78991
PU4_3990_3780,51208.17974
PU4_4210_4170,2008.45
PU4_4310_4210,21811.276
PU4_4440_3970,791.0867
PU4_5050_4310,64986.06745
PU5_3930_4170,15802.3962
PU5_4170_4020,1278.598145
PU6_3440_3590,424.83983
PU6_3530_3440,10732.18427
PU6_3590_3640,258.7569
PU6_3600_3602,1632.18481
PU6_3602_3730,690.9618
PU6_3610_3530,1069.276614
PU6_3640_3600,817.02963
PU6_3690_3610,199.08963
PU6_3730_3750,9664.5708
PU6_3750_3752,1221.11409
PU6_3752_4080,636.85381
PU6_3870_3690,8133.507
PU6_4020_3870,3001.80543
PU6_4080_4180,5415.6393
PU6_4180_4150,1326.70475
RL0_6450_0000,5353.181
RL0_6500_0000,2265.630965
RL0_6501_0000,1919.91134
RL0_6530_0000,994.0967
RL0_6540_0001,1.509261
RL1_6180_0001,7.778981
RL1_6322_0000,19.92591
RL5_6070_0000,38017.55739
RL5_6320_0000,7.04322
RL5_6321_0000,2544.755342
RU2_5220_5640,8565.774588
RU2_5500_5610,29.7938272
RU2_5810_5610,9.071636
RU2_5940_6200,32.4932246
RU2_6090_6220,18.9697736
RU2_6200_6170,0.8488716
RU2_6220_6170,5098.017055
RU3_5610_5640,3.195181
RU3_6170_6040,4.6610383
RU4_5640_6030,16117.04169
RU4_6040_6030,1660.8135
RU5_6030_0001,118.38491
SJ1_2280_2450,0
SJ2_1900_1930,7600.37195
SJ2_2110_2170,0
SJ2_2150_2130,2775.1123
SJ2_2500_2450,0
SJ2_2530_2820,874.601691
SJ2_2570_2660,20.82487
SJ2_2580_2500,0
SJ2_2820_2740,15.64609
SJ2_2900_2740,5296.445893
SJ3_1980_2060,0
SJ3_2040_1980,59180.51
SJ3_2160_2170,3.349544
SJ3_2170_1970,0
SJ3_2230_2060,12.36703
SJ3_2250_2230,85226.63
SJ3_2450_2120,0
SJ4_2010_2210,16565.38895
SJ4_2060_2010,0
SJ4_2340_2210,0
SJ4_2360_2340,229.0736
SJ4_2660_2360,416.4974
SJ4_2740_2660,5082.221
SJ5_2120_1930,0
SJ5_2210_2320,0
SJ5_2320_2120,1783.158
SJ6_1930_1970,18068.971
SJ6_1970_2130,435.4407
SJ6_2130_2050,1179.039
SL0_2180_2220,20758.32
SL0_2220_2140,0
SL0_2721_2720,193.48429
SL0_2831_2830,0
