 seg, sgtf_conc1N
 PL0_5131_0000, -999.
 PL0_5141_5140, -999.
 PL0_5250_0001, -999.
 PL0_5251_0000, -999.
 PL0_5290_0000, -999.
 PL0_5390_0000, -999.
 PL0_5440_0000, -999.
 PL0_5450_0000, -999.
 PL0_5490_0001, -999.
 PL0_5491_0000, -999.
 PL0_5510_0001, -999.
 PL0_5530_5710, -999.
 PL0_5540_5490,  1.32190073
 PL0_5580_0000, -999.
 PL0_5581_0000, -999.
 PL0_5582_0000, -999.
 PL0_5583_0000, -999.
 PL0_5584_0000, -999.
 PL0_5585_0000, -999.
 PL0_5670_0000, -999.
 PL0_5671_0000, -999.
 PL0_5672_0000, -999.
 PL0_5710_0001, -999.
 PL0_5720_0001, -999.
 PL0_5730_5690, -999.
 PL0_5750_0001, -999.
 PL0_5790_0000, -999.
 PL0_5830_0001, -999.
 PL0_5850_0000, -999.
 PL0_5860_0000, -999.
 PL0_5900_0000, -999.
 PL0_5920_0000, -999.
 PL0_5930_0000, -999.
 PL0_5950_0000, -999.
 PL0_5951_0000, -999.
 PL0_5952_0000, -999.
 PL0_5960_0000, -999.
 PL0_5961_0000, -999.
 PL0_5962_0000, -999.
 PL0_5980_0000, -999.
 PL0_5981_0000, -999.
 PL0_5982_0000, -999.
 PL0_5983_0000, -999.
 PL0_6020_0000, -999.
 PL0_6060_0000, -999.
 PL0_6100_0000, -999.
 PL0_6110_0000, -999.
 PL0_6130_0000, -999.
 PL0_6140_0000, -999.
 PL0_6270_0000, -999.
 PL1_4460_4780,  0.952535093
 PL1_4540_0001, -999.
 PL1_4780_0001, -999.
 PL1_5060_0000, -999.
 PL1_5061_0000, -999.
 PL1_5130_0001, -999.
 PL1_5230_0001, -999.
 PL1_5370_5470, -999.
 PL1_5690_0001, -999.
 PL1_5910_0001, -999.
 PL2_4810_0000, -999.
 PL2_4945_0004, -999.
 PL2_4970_5250, -999.
 PL2_5140_5360, -999.
 PL2_5300_5630, -999.
 PL2_5470_5360, -999.
 PL2_5630_0001, -999.
 PL2_5800_0000, -999.
 PL3_5360_5250, -999.
 PL7_4910_0000, -999.
 PL7_4940_0000, -999.
 PL7_4960_0000, -999.
 PL7_4980_0000, -999.
 PM0_4640_4820,  1.18137598
 PM1_3120_3400,  1.86185765
 PM1_3450_3400,  1.32997835
 PM1_3510_4000,  0.598259568
 PM1_3710_4040,  1.32997835
 PM1_4000_4290,  1.37646246
 PM1_4250_4500,  1.18137598
 PM1_4430_4200,  0.384862095
 PM1_4500_4580,  1.18137598
 PM2_2860_3040,  1.26839173
 PM2_3400_3340,  1.32997835
 PM2_4860_4670,  1.18137598
 PM3_3040_3340,  1.32997835
 PM3_4660_4620,  1.18137598
 PM3_4670_4660,  1.18137598
 PM4_3340_3341,  1.32997835
 PM4_3341_4040,  1.32997835
 PM4_4040_4410,  1.18137598
 PM7_4150_4290,  1.37646246
 PM7_4200_4410,  1.18137598
 PM7_4290_4200,  1.37646246
 PM7_4410_4620,  1.18137598
 PM7_4580_4820,  1.18137598
 PM7_4620_4580,  1.18137598
 PM7_4820_0001,  1.18137598
 PS0_6150_6160,  1.6477809
 PS0_6160_6161,  1.6477809
 PS1_4790_4830,  1.3452915
 PS1_4830_5080,  1.3452915
 PS2_5550_5560,  1.26334512
 PS2_5560_5100,  1.06471825
 PS2_6420_6360,  1.79607117
 PS2_6490_6420,  1.51900077
 PS2_6660_6490,  1.51900077
 PS2_6730_6660,  1.09977472
 PS3_5100_5080,  2.38208675
 PS3_5990_6161,  1.6477809
 PS3_6161_6280,  1.6477809
 PS3_6280_6230,  1.79607117
 PS3_6460_6230,  1.44455743
 PS4_5080_4380,  1.3452915
 PS4_5840_5240,  1.08739161
 PS4_6230_6360,  1.79607117
 PS4_6360_5840,  1.79607117
 PS5_4370_4150,  1.37646246
 PS5_4380_4370,  1.3452915
 PS5_5200_4380,  1.3452915
 PS5_5240_5200,  1.99973345
 PU0_3000_3090,  1.44812357
 PU0_3601_3602,  1.32784534
 PU0_3611_3530,  1.32784534
 PU0_3751_3752,  1.32784534
 PU0_3871_3690,  1.25409627
 PU0_5620_5380,  1.43243241
 PU0_6080_5620,  1.43243241
 PU1_3030_3440,  1.32784534
 PU1_3100_3690,  1.25409627
 PU1_3170_3580,  1.43243241
 PU1_3580_3780,  1.43243241
 PU1_3850_4190,  1.67973125
 PU1_3940_3970,  1.82869279
 PU1_4190_4300,  1.67973125
 PU1_4300_4440,  1.67973125
 PU1_4760_4450,  1.67973125
 PU1_4840_4760,  1.67973125
 PU1_5380_5050,  1.43243241
 PU1_5520_5210,  1.43243241
 PU1_5820_5380,  1.43243241
 PU2_2790_3290,  1.64714503
 PU2_2840_3080,  1.32784534
 PU2_3080_3640,  1.32784534
 PU2_3090_4050,  1.35517323
 PU2_3140_3680,  1.56918693
 PU2_3180_3370,  1.43243241
 PU2_3370_4020,  1.43243241
 PU2_3630_3590,  1.32784534
 PU2_3770_3600,  1.32784534
 PU2_3900_3750,  1.32784534
 PU2_4050_4180,  1.37646246
 PU2_4160_3930,  1.43243241
 PU2_4220_3900,  1.32784534
 PU2_4340_3860,  0.298701316
 PU2_4360_4160,  1.43243241
 PU2_4720_4750,  1.67973125
 PU2_4730_4220,  1.32784534
 PU2_4750_4450,  1.67973125
 PU2_5190_4310,  1.43243241
 PU2_5700_5210,  1.43243241
 PU2_6050_5190,  1.43243241
 PU3_2510_3290,  1.64714503
 PU3_3290_3390,  1.64714503
 PU3_3390_3730,  1.32784534
 PU3_3680_3890,  1.56918693
 PU3_3860_3610,  0.298701316
 PU3_4280_3860,  0.298701316
 PU3_4450_4440,  1.67973125
 PU3_5210_5050,  1.43243241
 PU4_3780_3930,  1.43243241
 PU4_3890_3990,  1.43243241
 PU4_3970_3890,  1.43243241
 PU4_3990_3780,  1.43243241
 PU4_4210_4170,  1.43243241
 PU4_4310_4210,  1.43243241
 PU4_4440_3970,  1.43243241
 PU4_5050_4310,  1.43243241
 PU5_3930_4170,  1.43243241
 PU5_4170_4020,  1.43243241
 PU6_3440_3590,  1.32784534
 PU6_3530_3440,  1.32784534
 PU6_3590_3640,  1.32784534
 PU6_3600_3602,  1.32784534
 PU6_3602_3730,  1.32784534
 PU6_3610_3530,  1.25409627
 PU6_3640_3600,  1.32784534
 PU6_3690_3610,  1.25409627
 PU6_3730_3750,  1.32784534
 PU6_3750_3752,  1.32784534
 PU6_3752_4080,  1.32784534
 PU6_3870_3690,  1.25409627
 PU6_4020_3870,  1.43243241
 PU6_4080_4180,  1.37646246
 PU6_4180_4150,  1.37646246
 RL0_6450_0000, -999.
 RL0_6500_0000, -999.
 RL0_6501_0000, -999.
 RL0_6530_0000, -999.
 RL0_6540_0001, -999.
 RL1_6180_0001,  1.4084506
 RL1_6322_0000, -999.
 RL5_6070_0000, -999.
 RL5_6320_0000, -999.
 RL5_6321_0000, -999.
 RU2_5220_5640,  1.35797274
 RU2_5500_5610,  1.35797274
 RU2_5810_5610,  1.35797274
 RU2_5940_6200,  0.70028013
 RU2_6090_6220,  1.35797274
 RU2_6200_6170,  1.35797274
 RU2_6220_6170,  1.35797274
 RU3_5610_5640,  1.35797274
 RU3_6170_6040,  1.35797274
 RU4_5640_6030,  1.35797274
 RU4_6040_6030,  1.35797274
 RU5_6030_0001,  1.35797274
 SJ1_2280_2450,  2.18181825
 SJ2_1900_1930,  2.18181825
 SJ2_2110_2170,  2.18181825
 SJ2_2150_2130,  2.18181825
 SJ2_2500_2450,  2.18181825
 SJ2_2530_2820,  1.22265124
 SJ2_2570_2660,  1.22265124
 SJ2_2580_2500,  2.18181825
 SJ2_2820_2740,  1.22265124
 SJ2_2900_2740,  1.22265124
 SJ3_1980_2060,  2.18181825
 SJ3_2040_1980,  2.18181825
 SJ3_2160_2170,  2.18181825
 SJ3_2170_1970,  2.18181825
 SJ3_2230_2060,  2.18181825
 SJ3_2250_2230,  2.18181825
 SJ3_2450_2120,  2.18181825
 SJ4_2010_2210,  2.18181825
 SJ4_2060_2010,  2.18181825
 SJ4_2340_2210,  2.18181825
 SJ4_2360_2340,  2.18181825
 SJ4_2660_2360,  1.22265124
 SJ4_2740_2660,  1.22265124
 SJ5_2120_1930,  2.18181825
 SJ5_2210_2320,  2.18181825
 SJ5_2320_2120,  2.18181825
 SJ6_1930_1970,  2.18181825
 SJ6_1970_2130,  2.18181825
 SJ6_2130_2050,  1.78571427
 SL0_2180_2220,  1.89483654
 SL0_2220_2140,  1.89483654
 SL0_2721_2720,  1.20195663
 SL0_2831_2830,  1.65052032
 SL1_1700_1780,  1.78571427
 SL1_1730_1700,  1.78571427
 SL1_1790_1840,  1.78571427
 SL1_2000_2090,  1.89483654
 SL1_2190_2350,  1.80708754
 SL1_2390_2420,  1.60280025
 SL1_2670_2370,  1.93340492
 SL1_2760_2730,  1.65052032
 SL1_2770_2730,  1.65052032
 SL1_2830_2760,  1.65052032
 SL2_1670_1880,  1.78571427
 SL2_1810_2030,  1.78571427
 SL2_1850_1990,  2.08252001
 SL2_1990_2070,  0.909090877
 SL2_2070_2090,  1.89483654
 SL2_2200_2350,  1.80708754
 SL2_2300_2520,  1.20195663
 SL2_2410_2700,  1.20195663
 SL2_2480_0001, -999.
 SL2_2540_2370,  1.93340492
 SL2_2750_2720,  1.20195663
 SL2_2910_3060, -999.
 SL2_3060_0001, -999.
 SL3_1710_1740,  1.78571427
 SL3_1740_1840,  1.78571427
 SL3_1840_1880,  1.78571427
 SL3_1960_2080,  1.78571427
 SL3_2260_2050,  1.78571427
 SL3_2290_2260,  1.83654726
 SL3_2350_2470,  1.80708754
 SL3_2400_2440,  1.56462574
 SL3_2420_2700,  1.80708754
 SL3_2440_2380,  1.56462574
 SL3_2460_2430,  1.42268038
 SL3_2470_2420,  1.80708754
 SL3_2550_2490,  1.56462574
 SL3_2730_2550,  1.65052032
 SL4_2090_2100,  1.89483654
 SL4_2100_2140,  1.89483654
 SL4_2140_2240,  1.89483654
 SL4_2240_2310,  1.56462574
 SL4_2330_2270,  1.78571427
 SL4_2370_2330,  1.93340492
 SL8_1760_1780,  1.78571427
 SL8_1780_1880,  1.78571427
 SL8_1880_2030,  1.78571427
