land,for,hvf,rpd,npd,cpd,rcn,ccn,rex,nex,cex,pas,trp,urs,alf,hyw,hyo,hom,hwm,lwm,nhy,npa,nal ,nho,nhi,nlo,afo,cfo,rid,nid,cid
A51023,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,6.85,82.2,65.08,2.17,2.17,2.17,8.46,8.46,5.08,2.17,6.85,2.17,8.46,8.46,5.08,65.08,65.08,5.18,5.18,5.18
A51025,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.83,21.96,17.39,2.58,2.58,2.58,10.09,10.09,6.05,2.58,1.83,2.58,10.09,10.09,6.05,17.39,17.39,5.18,5.18,5.18
A51027,0.48,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.4,40.8,32.3,0.54,0.54,0.54,2.11,2.11,1.27,0.54,3.4,0.54,2.11,2.11,1.27,32.3,32.3,5.18,5.18,5.18
A51029,0.22,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.97,23.64,18.72,0.97,0.97,0.97,3.78,3.78,2.27,0.97,1.97,0.97,3.78,3.78,2.27,18.72,18.72,5.18,5.18,5.18
A51031,0.22,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.08,12.96,10.26,0.99,0.99,0.99,3.88,3.88,2.33,0.99,1.08,0.99,3.88,3.88,2.33,10.26,10.26,5.18,5.18,5.18
A51033,0.17,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.09,1.08,0.86,1.26,1.26,1.26,4.92,4.92,2.95,1.26,0.09,1.26,4.92,4.92,2.95,0.86,0.86,5.18,5.18,5.18
A51035,0.26,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.52,42.24,33.44,2.69,2.69,2.69,10.52,10.52,6.31,2.69,3.52,2.69,10.52,10.52,6.31,33.44,33.44,5.18,5.18,5.18
A51036,0.15,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.19,2.28,1.81,1.12,1.12,1.12,4.39,4.39,2.63,1.12,0.19,1.12,4.39,4.39,2.63,1.81,1.81,5.18,5.18,5.18
A51037,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.33,15.96,12.64,1.37,1.37,1.37,5.35,5.35,3.21,1.37,1.33,1.37,5.35,5.35,3.21,12.64,12.64,5.18,5.18,5.18
A51041,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.28,3.36,2.66,1.51,1.51,1.51,5.9,5.9,3.54,1.51,0.28,1.51,5.9,5.9,3.54,2.66,2.66,5.18,5.18,5.18
A51043,0.23,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.67,8.04,6.37,0.55,0.55,0.55,2.15,2.15,1.29,0.55,0.67,0.55,2.15,2.15,1.29,6.37,6.37,5.18,5.18,5.18
A51045,0.32,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.95,23.4,18.53,0.97,0.97,0.97,3.8,3.8,2.28,0.97,1.95,0.97,3.8,3.8,2.28,18.53,18.53,5.18,5.18,5.18
A51047,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.71,20.52,16.25,2.29,2.29,2.29,8.95,8.95,5.37,2.29,1.71,2.29,8.95,8.95,5.37,16.25,16.25,5.18,5.18,5.18
A51049,0.18,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.03,12.36,9.79,0.92,0.92,0.92,3.58,3.58,2.15,0.92,1.03,0.92,3.58,3.58,2.15,9.79,9.79,5.18,5.18,5.18
A51051,0.4,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.85,46.2,36.58,2.22,2.22,2.22,8.67,8.67,5.2,2.22,3.85,2.22,8.67,8.67,5.2,36.58,36.58,5.18,5.18,5.18
A51053,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.29,15.48,12.26,3.22,3.22,3.22,12.57,12.57,7.54,3.22,1.29,3.22,12.57,12.57,7.54,12.26,12.26,5.18,5.18,5.18
A51057,0.18,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.22,2.64,2.09,1.59,1.59,1.59,6.23,6.23,3.74,1.59,0.22,1.59,6.23,6.23,3.74,2.09,2.09,5.18,5.18,5.18
A51059,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.32,15.84,12.54,1.35,1.35,1.35,5.28,5.28,3.17,1.35,1.32,1.35,5.28,5.28,3.17,12.54,12.54,5.18,5.18,5.18
A51061,0.21,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.73,8.76,6.94,1.22,1.22,1.22,4.78,4.78,2.87,1.22,0.73,1.22,4.78,4.78,2.87,6.94,6.94,5.18,5.18,5.18
A51063,0.25,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.5,18,14.25,0.52,0.52,0.52,2.04,2.04,1.22,0.52,1.5,0.52,2.04,2.04,1.22,14.25,14.25,5.18,5.18,5.18
A51065,0.21,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.66,7.92,6.27,0.65,0.65,0.65,2.54,2.54,1.52,0.65,0.66,0.65,2.54,2.54,1.52,6.27,6.27,5.18,5.18,5.18
A51067,0.23,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.77,33.24,26.32,2.01,2.01,2.01,7.87,7.87,4.72,2.01,2.77,2.01,7.87,7.87,4.72,26.32,26.32,5.18,5.18,5.18
A51069,0.24,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.88,10.56,8.36,1.07,1.07,1.07,4.2,4.2,2.52,1.07,0.88,1.07,4.2,4.2,2.52,8.36,8.36,5.18,5.18,5.18
A51071,0.36,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.48,5.76,4.56,0.03,0.03,0.03,0.11,0.11,0.07,0.03,0.48,0.03,0.11,0.11,0.07,4.56,4.56,5.18,5.18,5.18
A51073,0.18,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.18,2.16,1.71,1.18,1.18,1.18,4.61,4.61,2.77,1.18,0.18,1.18,4.61,4.61,2.77,1.71,1.71,5.18,5.18,5.18
A51075,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.5,6,4.75,0.45,0.45,0.45,1.76,1.76,1.06,0.45,0.5,0.45,1.76,1.76,1.06,4.75,4.75,5.18,5.18,5.18
A51077,0.26,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.22,38.64,30.59,0.94,0.94,0.94,3.67,3.67,2.2,0.94,3.22,0.94,3.67,3.67,2.2,30.59,30.59,5.18,5.18,5.18
A51079,0.21,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.24,14.88,11.78,1.22,1.22,1.22,4.77,4.77,2.86,1.22,1.24,1.22,4.77,4.77,2.86,11.78,11.78,5.18,5.18,5.18
A51081,0.15,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.08,0.96,0.76,1.86,1.86,1.86,7.27,7.27,4.36,1.86,0.08,1.86,7.27,7.27,4.36,0.76,0.76,5.18,5.18,5.18
A51083,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.62,19.44,15.39,2.26,2.26,2.26,8.84,8.84,5.3,2.26,1.62,2.26,8.84,8.84,5.3,15.39,15.39,5.18,5.18,5.18
A51085,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.58,42.96,34.01,1.81,1.81,1.81,7.07,7.07,4.24,1.81,3.58,1.81,7.07,7.07,4.24,34.01,34.01,5.18,5.18,5.18
A51087,0.14,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.24,2.88,2.28,1.64,1.64,1.64,6.4,6.4,3.84,1.64,0.24,1.64,6.4,6.4,3.84,2.28,2.28,5.18,5.18,5.18
A51089,0.25,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.04,24.48,19.38,2.45,2.45,2.45,9.57,9.57,5.74,2.45,2.04,2.45,9.57,9.57,5.74,19.38,19.38,5.18,5.18,5.18
A51091,0.34,3,0.74,0.74,0.74,24.7,24.7,10,10,10,5.5,66,52.25,0.11,0.11,0.11,0.42,0.42,0.25,0.11,5.5,0.11,0.42,0.42,0.25,52.25,52.25,5.18,5.18,5.18
A51093,0.14,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.05,0.6,0.48,1.55,1.55,1.55,6.07,6.07,3.64,1.55,0.05,1.55,6.07,6.07,3.64,0.48,0.48,5.18,5.18,5.18
A51095,0.17,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.64,7.68,6.08,1.51,1.51,1.51,5.92,5.92,3.55,1.51,0.64,1.51,5.92,5.92,3.55,6.08,6.08,5.18,5.18,5.18
A51097,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,10.85,130.2,103.08,1.04,1.04,1.04,4.07,4.07,2.44,1.04,10.85,1.04,4.07,4.07,2.44,103.08,103.08,5.18,5.18,5.18
A51099,0.18,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.68,20.16,15.96,0.63,0.63,0.63,2.45,2.45,1.47,0.63,1.68,0.63,2.45,2.45,1.47,15.96,15.96,5.18,5.18,5.18
A51101,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.39,4.68,3.71,1.35,1.35,1.35,5.27,5.27,3.16,1.35,0.39,1.35,5.27,5.27,3.16,3.71,3.71,5.18,5.18,5.18
A51103,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.16,1.92,1.52,0.2,0.2,0.2,0.8,0.8,0.48,0.2,0.16,0.2,0.8,0.8,0.48,1.52,1.52,5.18,5.18,5.18
A51105,0.39,3,0.74,0.74,0.74,24.7,24.7,10,10,10,7.96,95.52,75.62,2.13,2.13,2.13,8.32,8.32,4.99,2.13,7.96,2.13,8.32,8.32,4.99,75.62,75.62,5.18,5.18,5.18
A51107,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.66,7.92,6.27,1.33,1.33,1.33,5.19,5.19,3.12,1.33,0.66,1.33,5.19,5.19,3.12,6.27,6.27,5.18,5.18,5.18
A51109,0.18,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.27,3.24,2.57,1.15,1.15,1.15,4.49,4.49,2.7,1.15,0.27,1.15,4.49,4.49,2.7,2.57,2.57,5.18,5.18,5.18
A51111,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.32,15.84,12.54,3.42,3.42,3.42,13.38,13.38,8.03,3.42,1.32,3.42,13.38,13.38,8.03,12.54,12.54,5.18,5.18,5.18
A51113,0.23,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.54,18.48,14.63,2.75,2.75,2.75,10.75,10.75,6.45,2.75,1.54,2.75,10.75,10.75,6.45,14.63,14.63,5.18,5.18,5.18
A51115,0.14,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.07,0.84,0.67,0.52,0.52,0.52,2.03,2.03,1.22,0.52,0.07,0.52,2.03,2.03,1.22,0.67,0.67,5.18,5.18,5.18
A51117,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.23,14.76,11.69,3.41,3.41,3.41,13.33,13.33,8,3.41,1.23,3.41,13.33,13.33,8,11.69,11.69,5.18,5.18,5.18
A51119,0.18,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.09,1.08,0.86,1.57,1.57,1.57,6.14,6.14,3.68,1.57,0.09,1.57,6.14,6.14,3.68,0.86,0.86,5.18,5.18,5.18
A51121,0.34,3,0.74,0.74,0.74,24.7,24.7,10,10,10,7.07,84.84,67.17,2.16,2.16,2.16,8.46,8.46,5.07,2.16,7.07,2.16,8.46,8.46,5.07,67.17,67.17,5.18,5.18,5.18
A51125,0.3,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.34,28.08,22.23,2.01,2.01,2.01,7.86,7.86,4.72,2.01,2.34,2.01,7.86,7.86,4.72,22.23,22.23,5.18,5.18,5.18
A51127,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.34,28.08,22.23,1.31,1.31,1.31,5.11,5.11,3.07,1.31,2.34,1.31,5.11,5.11,3.07,22.23,22.23,5.18,5.18,5.18
A51131,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.34,28.08,22.23,0.58,0.58,0.58,2.25,2.25,1.35,0.58,2.34,0.58,2.25,2.25,1.35,22.23,22.23,5.18,5.18,5.18
A51133,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.26,15.12,11.97,1.11,1.11,1.11,4.33,4.33,2.6,1.11,1.26,1.11,4.33,4.33,2.6,11.97,11.97,5.18,5.18,5.18
A51135,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.76,9.12,7.22,2.31,2.31,2.31,9.02,9.02,5.41,2.31,0.76,2.31,9.02,9.02,5.41,7.22,7.22,5.18,5.18,5.18
A51137,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.66,19.92,15.77,1.86,1.86,1.86,7.26,7.26,4.35,1.86,1.66,1.86,7.26,7.26,4.35,15.77,15.77,5.18,5.18,5.18
A51139,0.3,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.89,10.68,8.46,1.95,1.95,1.95,7.61,7.61,4.57,1.95,0.89,1.95,7.61,7.61,4.57,8.46,8.46,5.18,5.18,5.18
A51141,0.26,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.75,45,35.63,2.31,2.31,2.31,9.03,9.03,5.42,2.31,3.75,2.31,9.03,9.03,5.42,35.63,35.63,5.18,5.18,5.18
A51143,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.62,19.44,15.39,2.88,2.88,2.88,11.25,11.25,6.75,2.88,1.62,2.88,11.25,11.25,6.75,15.39,15.39,5.18,5.18,5.18
A51145,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.32,3.84,3.04,0.79,0.79,0.79,3.09,3.09,1.86,0.79,0.32,0.79,3.09,3.09,1.86,3.04,3.04,5.18,5.18,5.18
A51147,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.97,11.64,9.22,1.16,1.16,1.16,4.53,4.53,2.72,1.16,0.97,1.16,4.53,4.53,2.72,9.22,9.22,5.18,5.18,5.18
A51149,0.15,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.64,7.68,6.08,2.25,2.25,2.25,8.79,8.79,5.27,2.25,0.64,2.25,8.79,8.79,5.27,6.08,6.08,5.18,5.18,5.18
A51153,0.18,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.34,4.08,3.23,0.92,0.92,0.92,3.58,3.58,2.15,0.92,0.34,0.92,3.58,3.58,2.15,3.23,3.23,5.18,5.18,5.18
A51155,0.35,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.14,25.68,20.33,0.73,0.73,0.73,2.83,2.83,1.7,0.73,2.14,0.73,2.83,2.83,1.7,20.33,20.33,5.18,5.18,5.18
A51157,0.25,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.83,9.96,7.89,3.81,3.81,3.81,14.88,14.88,8.93,3.81,0.83,3.81,14.88,14.88,8.93,7.89,7.89,5.18,5.18,5.18
A51159,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.73,44.76,35.44,0.24,0.24,0.24,0.92,0.92,0.55,0.24,3.73,0.24,0.92,0.92,0.55,35.44,35.44,5.18,5.18,5.18
A51161,0.6,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.13,37.56,29.74,1.81,1.81,1.81,7.06,7.06,4.24,1.81,3.13,1.81,7.06,7.06,4.24,29.74,29.74,5.18,5.18,5.18
A51163,0.34,3,0.74,0.74,0.74,24.7,24.7,10,10,10,9.9,118.8,94.05,1.85,1.85,1.85,7.24,7.24,4.34,1.85,9.9,1.85,7.24,7.24,4.34,94.05,94.05,5.18,5.18,5.18
A51165,0.24,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.56,42.72,33.82,2.83,2.83,2.83,11.06,11.06,6.64,2.83,3.56,2.83,11.06,11.06,6.64,33.82,33.82,5.18,5.18,5.18
A51167,0.5,3,0.74,0.74,0.74,24.7,24.7,10,10,10,8.93,107.16,84.84,1.38,1.38,1.38,5.41,5.41,3.24,1.38,8.93,1.38,5.41,5.41,3.24,84.84,84.84,5.18,5.18,5.18
A51169,0.46,3,0.74,0.74,0.74,24.7,24.7,10,10,10,11.5,138,109.25,0.92,0.92,0.92,3.61,3.61,2.16,0.92,11.5,0.92,3.61,3.61,2.16,109.25,109.25,5.18,5.18,5.18
A51171,0.27,3,0.74,0.74,0.74,24.7,24.7,10,10,10,3.2,38.4,30.4,2.1,2.1,2.1,8.19,8.19,4.91,2.1,3.2,2.1,8.19,8.19,4.91,30.4,30.4,5.18,5.18,5.18
A51173,0.39,3,0.74,0.74,0.74,24.7,24.7,10,10,10,4.85,58.2,46.08,0.76,0.76,0.76,2.96,2.96,1.78,0.76,4.85,0.76,2.96,2.96,1.78,46.08,46.08,5.18,5.18,5.18
A51175,0.14,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.38,4.56,3.61,1.38,1.38,1.38,5.4,5.4,3.24,1.38,0.38,1.38,5.4,5.4,3.24,3.61,3.61,5.18,5.18,5.18
A51177,0.17,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.89,10.68,8.46,1.41,1.41,1.41,5.52,5.52,3.31,1.41,0.89,1.41,5.52,5.52,3.31,8.46,8.46,5.18,5.18,5.18
A51179,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.48,17.76,14.06,3.2,3.2,3.2,12.52,12.52,7.51,3.2,1.48,3.2,12.52,12.52,7.51,14.06,14.06,5.18,5.18,5.18
A51181,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.26,3.12,2.47,1.86,1.86,1.86,7.28,7.28,4.37,1.86,0.26,1.86,7.28,7.28,4.37,2.47,2.47,5.18,5.18,5.18
A51183,0.14,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.09,1.08,0.86,1.87,1.87,1.87,7.31,7.31,4.39,1.87,0.09,1.87,7.31,7.31,4.39,0.86,0.86,5.18,5.18,5.18
A51185,0.45,3,0.74,0.74,0.74,24.7,24.7,10,10,10,10.24,122.88,97.28,1.43,1.43,1.43,5.58,5.58,3.35,1.43,10.24,1.43,5.58,5.58,3.35,97.28,97.28,5.18,5.18,5.18
A51187,0.47,3,0.74,0.74,0.74,24.7,24.7,10,10,10,1.31,15.72,12.45,1.92,1.92,1.92,7.52,7.52,4.51,1.92,1.31,1.92,7.52,7.52,4.51,12.45,12.45,5.18,5.18,5.18
A51191,0.44,3,0.74,0.74,0.74,24.7,24.7,10,10,10,8.09,97.08,76.86,2.09,2.09,2.09,8.18,8.18,4.91,2.09,8.09,2.09,8.18,8.18,4.91,76.86,76.86,5.18,5.18,5.18
A51193,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.01,24.12,19.1,0.3,0.3,0.3,1.19,1.19,0.71,0.3,2.01,0.3,1.19,1.19,0.71,19.1,19.1,5.18,5.18,5.18
A51195,0.39,3,0.74,0.74,0.74,24.7,24.7,10,10,10,4.84,58.08,45.98,0.13,0.13,0.13,0.52,0.52,0.31,0.13,4.84,0.13,0.52,0.52,0.31,45.98,45.98,5.18,5.18,5.18
A51197,0.34,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.38,28.56,22.61,0.86,0.86,0.86,3.37,3.37,2.02,0.86,2.38,0.86,3.37,3.37,2.02,22.61,22.61,5.18,5.18,5.18
A51199,0.15,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.38,28.56,22.61,0.95,0.95,0.95,3.73,3.73,2.24,0.95,2.38,0.95,3.73,3.73,2.24,22.61,22.61,5.18,5.18,5.18
A51510,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.38,28.56,22.61,0.95,0.95,0.95,3.73,3.73,2.24,0.95,2.38,0.95,3.73,3.73,2.24,22.61,22.61,5.18,5.18,5.18
A51515,0.5,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.38,28.56,22.61,0.95,0.95,0.95,3.73,3.73,2.24,0.95,2.38,0.95,3.73,3.73,2.24,22.61,22.61,5.18,5.18,5.18
A51520,0.5,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.38,28.56,22.61,0.95,0.95,0.95,3.73,3.73,2.24,0.95,2.38,0.95,3.73,3.73,2.24,22.61,22.61,5.18,5.18,5.18
A51530,0.6,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.38,28.56,22.61,0.95,0.95,0.95,3.73,3.73,2.24,0.95,2.38,0.95,3.73,3.73,2.24,22.61,22.61,5.18,5.18,5.18
A51540,0.4,3,0.74,0.74,0.74,24.7,24.7,10,10,10,2.38,28.56,22.61,0.95,0.95,0.95,3.73,3.73,2.24,0.95,2.38,0.95,3.73,3.73,2.24,22.61,22.61,5.18,5.18,5.18
A51550,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51570,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51580,0.6,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51590,0.4,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51595,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51600,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51610,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51620,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51630,0.58,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51640,0.5,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51650,0.15,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51660,0.47,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51670,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51678,0.6,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51680,0.24,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51683,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51685,0.33,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51690,0.4,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51700,0.19,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51710,0.14,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51720,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51730,0.2,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51735,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51740,0.14,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51750,0.5,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51760,0.16,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51770,0.5,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51775,0.5,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51790,0.47,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.02,0.24,0.19,0.66,0.66,0.66,2.57,2.57,1.54,0.66,0.02,0.66,2.57,2.57,1.54,0.19,0.19,5.18,5.18,5.18
A51800,0.13,3,0.74,0.74,0.74,24.7,24.7,10,10,10,0.06,0.72,0.57,0.95,0.95,0.95,3.72,3.72,2.23,0.95,0.06,0.95,3.72,3.72,2.23,0.57,0.57,5.18,5.18,5.18
