landseg,for,hvf,hwm,lwm,hom,hyw,pas,hyo,alf,trp,urs,rpd,rid,rcn,rex,npd,nid,nex,cpd,cid,ccn,cex,nhi,nlo,nho,nhy,npa,nal
A42099,1.0151,20.25,11.4069,11.4182,14.4421,2.8467,3.1007,2.7,4.95,17.0848,113.4,3.2027,0,7.5,8.8594,3.2027,0,8.8594,3.2027,0,7.5,8.8594,9.1255,9.1346,11.5537,2.2773,2.4805,3.96
A42105,0.8770,20.25,10.6064,10.6182,16.2867,2.6696,2.3502,2.7,4.95,12.9494,113.4,3.3831,0,7.5,8.8594,3.3831,0,8.8594,3.3831,0,7.5,8.8594,8.4851,8.4946,13.0294,2.1357,1.8801,3.96
A42107,1.0192,20.25,11.1390,11.1505,13.5269,2.9326,3.0193,2.7,4.95,16.6361,113.4,3.7902,0,7.5,8.8594,3.7902,0,8.8594,3.7902,0,7.5,8.8594,8.9112,8.9204,10.8215,2.3461,2.4154,3.96
A42109,1.0077,20.25,11.6626,11.6738,13.8618,3.1319,3.6879,2.7,4.95,20.3202,113.4,2.9829,0,7.5,8.8594,2.9829,0,8.8594,2.9829,0,7.5,8.8594,9.3301,9.3390,11.0894,2.5055,2.9503,3.96
A42111,0.9734,20.25,10.6712,10.6830,15.1580,2.6357,2.9142,2.7,4.95,16.0571,113.4,3.3348,0,7.5,8.8594,3.3348,0,8.8594,3.3348,0,7.5,8.8594,8.5370,8.5464,12.1264,2.1086,2.3313,3.96
A42113,0.9733,20.25,10.3878,10.3998,15.0008,2.6875,2.6110,2.7,4.95,14.3868,113.4,4.2241,0,7.5,8.8594,4.2241,0,8.8594,4.2241,0,7.5,8.8594,8.3103,8.3198,12.0007,2.1500,2.0888,3.96
A42115,0.9461,20.25,10.4982,10.5101,14.9667,2.6876,2.3289,2.7,4.95,12.8325,113.4,3.7270,0,7.5,8.8594,3.7270,0,8.8594,3.7270,0,7.5,8.8594,8.3986,8.4081,11.9734,2.1500,1.8632,3.96
A42117,0.8519,20.25,10.3079,10.3199,16.0655,2.5843,2.3035,2.7,4.95,12.6923,113.4,2.5573,0,7.5,8.8594,2.5573,0,8.8594,2.5573,0,7.5,8.8594,8.2463,8.2559,12.8524,2.0675,1.8428,3.96
A42119,0.9935,20.25,10.7664,10.7781,17.2780,3.1500,4.5605,2.7,4.95,25.1283,113.4,4.2570,0,7.5,8.8594,4.2570,0,8.8594,4.2570,0,7.5,8.8594,8.6131,8.6225,13.8224,2.5200,3.6484,3.96
A42127,0.9280,20.25,10.8063,10.8180,15.8412,2.6204,2.4587,2.7,4.95,13.5473,113.4,4.5825,0,7.5,8.8594,4.5825,0,8.8594,4.5825,0,7.5,8.8594,8.6451,8.6544,12.6730,2.0963,1.9669,3.96
