lsegmt,NO3,NH3,LON,RON,PO4,mNH3,mNO3,mLON,mRON,mPO4
F51099,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51101,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51107,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51113,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51121,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51125,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51131,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51137,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51139,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51145,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51147,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51149,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51153,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51157,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51159,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51161,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51163,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51165,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51171,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51177,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51179,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51181,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51187,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51193,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51199,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51510,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51530,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51540,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51550,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51580,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51630,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51650,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51660,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51670,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51700,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51710,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51730,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51735,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51740,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51760,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51790,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51800,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51810,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51820,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F51830,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F54003,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F54023,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F54027,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F54031,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F54037,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F54057,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F54063,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F54065,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
F54071,0.115,0.115,0.0025,0.0025,0.1,A,A,A,A,A
end,,,,,,,,,,
